loop_id	sample	group	center_value	background_mean	enrichment
1	ctrl_M1	ctrl	117.236000061035	117.236000061035	1
1	ctrl_M2	ctrl	127.271812438965	127.271812438965	1
1	ctrl_M3	ctrl	119.171432495117	119.171432495117	1
1	mut_M1	mut	98.7226028442383	98.7226028442383	1
1	mut_M2	mut	98.5299835205078	98.5299835205078	1
1	mut_M3	mut	101.936851501465	101.936851501465	1
2	ctrl_M1	ctrl	105.715133666992	105.715133666992	1
2	ctrl_M2	ctrl	122.771125793457	122.771125793457	1
2	ctrl_M3	ctrl	118.865692138672	118.865692138672	1
2	mut_M1	mut	83.2145233154297	83.2145233154297	1
2	mut_M2	mut	103.163230895996	103.163230895996	1
2	mut_M3	mut	68.2559814453125	68.2559814453125	1
3	ctrl_M1	ctrl	77.2638626098633	77.2638626098633	1
3	ctrl_M2	ctrl	96.7392959594727	96.7392959594727	1
3	ctrl_M3	ctrl	82.7042846679688	82.7042846679688	1
3	mut_M1	mut	65.7234039306641	65.7234039306641	1
3	mut_M2	mut	72.5049133300781	72.5049133300781	1
3	mut_M3	mut	60.3687362670898	60.3687362670898	1
4	ctrl_M1	ctrl	68.5999221801758	68.5999221801758	1
4	ctrl_M2	ctrl	72.135139465332	72.135139465332	1
4	ctrl_M3	ctrl	63.0124397277832	63.0124397277832	1
4	mut_M1	mut	70.4381561279297	70.4381561279297	1
4	mut_M2	mut	65.6093139648438	65.6093139648438	1
4	mut_M3	mut	48.7905883789062	48.7905883789062	1
5	ctrl_M1	ctrl	85.4270858764648	85.4270858764648	1
5	ctrl_M2	ctrl	86.9835357666016	86.9835357666016	1
5	ctrl_M3	ctrl	81.2766494750977	81.2766494750977	1
5	mut_M1	mut	71.6267013549805	71.6267013549805	1
5	mut_M2	mut	60.492733001709	60.492733001709	1
5	mut_M3	mut	62.6919479370117	62.6919479370117	1
6	ctrl_M1	ctrl	88.2004776000977	88.2004776000977	1
6	ctrl_M2	ctrl	111.559097290039	111.559097290039	1
6	ctrl_M3	ctrl	104.53002166748	104.53002166748	1
6	mut_M1	mut	91.8298492431641	91.8298492431641	1
6	mut_M2	mut	88.874755859375	88.874755859375	1
6	mut_M3	mut	71.8120574951172	71.8120574951172	1
7	ctrl_M1	ctrl	50.6230659484863	50.6230659484863	1
7	ctrl_M2	ctrl	56.7725296020508	56.7725296020508	1
7	ctrl_M3	ctrl	50.8695182800293	50.8695182800293	1
7	mut_M1	mut	43.9521179199219	43.9521179199219	1
7	mut_M2	mut	51.1270446777344	51.1270446777344	1
7	mut_M3	mut	38.6428718566895	38.6428718566895	1
8	ctrl_M1	ctrl	70.388671875	70.388671875	1
8	ctrl_M2	ctrl	77.6463928222656	77.6463928222656	1
8	ctrl_M3	ctrl	82.6211318969727	82.6211318969727	1
8	mut_M1	mut	57.5537414550781	57.5537414550781	1
8	mut_M2	mut	60.3711395263672	60.3711395263672	1
8	mut_M3	mut	48.5740013122559	48.5740013122559	1
9	ctrl_M1	ctrl	33.4096755981445	33.4096755981445	1
9	ctrl_M2	ctrl	34.0215682983398	34.0215682983398	1
9	ctrl_M3	ctrl	32.1525192260742	32.1525192260742	1
9	mut_M1	mut	16.701566696167	16.701566696167	1
9	mut_M2	mut	16.6294078826904	16.6294078826904	1
9	mut_M3	mut	16.6717205047607	16.6717205047607	1
10	ctrl_M1	ctrl	17.9031982421875	17.9031982421875	1
10	ctrl_M2	ctrl	16.4851856231689	16.4851856231689	1
10	ctrl_M3	ctrl	15.0914392471313	15.0914392471313	1
10	mut_M1	mut	8.03853607177734	8.03853607177734	1
10	mut_M2	mut	10.2146453857422	10.2146453857422	1
10	mut_M3	mut	6.35756635665894	6.35756635665894	1
11	ctrl_M1	ctrl	39.2721862792969	39.2721862792969	1
11	ctrl_M2	ctrl	35.2950706481934	35.2950706481934	1
11	ctrl_M3	ctrl	26.5533046722412	26.5533046722412	1
11	mut_M1	mut	29.6637363433838	29.6637363433838	1
11	mut_M2	mut	13.2705011367798	13.2705011367798	1
11	mut_M3	mut	28.7316780090332	28.7316780090332	1
12	ctrl_M1	ctrl	28.479040145874	28.479040145874	1
12	ctrl_M2	ctrl	21.1090755462646	21.1090755462646	1
12	ctrl_M3	ctrl	21.6555614471436	21.6555614471436	1
12	mut_M1	mut	7.9029483795166	7.9029483795166	1
12	mut_M2	mut	8.58508777618408	8.58508777618408	1
12	mut_M3	mut	5.86838245391846	5.86838245391846	1
13	ctrl_M1	ctrl	8.90748596191406	8.90748596191406	1
13	ctrl_M2	ctrl	5.2146143913269	5.2146143913269	1
13	ctrl_M3	ctrl	2.63556814193726	2.63556814193726	1
13	mut_M1	mut	1.93391489982605	1.93391489982605	1
13	mut_M2	mut	2.38710069656372	2.38710069656372	1
13	mut_M3	mut	2.17373156547546	2.17373156547546	1
14	ctrl_M1	ctrl	108.851669311523	108.851669311523	1
14	ctrl_M2	ctrl	127.548133850098	127.548133850098	1
14	ctrl_M3	ctrl	143.407836914062	143.407836914062	1
14	mut_M1	mut	81.8697509765625	81.8697509765625	1
14	mut_M2	mut	90.9142761230469	90.9142761230469	1
14	mut_M3	mut	71.0369338989258	71.0369338989258	1
15	ctrl_M1	ctrl	73.3713989257812	73.3713989257812	1
15	ctrl_M2	ctrl	71.5823440551758	71.5823440551758	1
15	ctrl_M3	ctrl	65.8952102661133	65.8952102661133	1
15	mut_M1	mut	56.7583885192871	56.7583885192871	1
15	mut_M2	mut	61.9576377868652	61.9576377868652	1
15	mut_M3	mut	53.4933128356934	53.4933128356934	1
16	ctrl_M1	ctrl	41.1424293518066	41.1424293518066	1
16	ctrl_M2	ctrl	51.9639587402344	51.9639587402344	1
16	ctrl_M3	ctrl	49.2938804626465	49.2938804626465	1
16	mut_M1	mut	37.257926940918	37.257926940918	1
16	mut_M2	mut	34.2910919189453	34.2910919189453	1
16	mut_M3	mut	38.7940483093262	38.7940483093262	1
17	ctrl_M1	ctrl	27.6973285675049	27.6973285675049	1
17	ctrl_M2	ctrl	29.9272079467773	29.9272079467773	1
17	ctrl_M3	ctrl	32.590877532959	32.590877532959	1
17	mut_M1	mut	21.175874710083	21.175874710083	1
17	mut_M2	mut	17.3280506134033	17.3280506134033	1
17	mut_M3	mut	19.7314186096191	19.7314186096191	1
18	ctrl_M1	ctrl	219.044906616211	219.044906616211	1
18	ctrl_M2	ctrl	251.396041870117	251.396041870117	1
18	ctrl_M3	ctrl	266.399505615234	266.399505615234	1
18	mut_M1	mut	206.218704223633	206.218704223633	1
18	mut_M2	mut	210.958847045898	210.958847045898	1
18	mut_M3	mut	151.523391723633	151.523391723633	1
19	ctrl_M1	ctrl	172.121887207031	172.121887207031	1
19	ctrl_M2	ctrl	233.586761474609	233.586761474609	1
19	ctrl_M3	ctrl	229.072647094727	229.072647094727	1
19	mut_M1	mut	108.504234313965	108.504234313965	1
19	mut_M2	mut	120.321075439453	120.321075439453	1
19	mut_M3	mut	112.34774017334	112.34774017334	1
20	ctrl_M1	ctrl	89.5184936523438	89.5184936523438	1
20	ctrl_M2	ctrl	121.88395690918	121.88395690918	1
20	ctrl_M3	ctrl	112.070510864258	112.070510864258	1
20	mut_M1	mut	83.2641983032227	83.2641983032227	1
20	mut_M2	mut	90.5569076538086	90.5569076538086	1
20	mut_M3	mut	77.8486633300781	77.8486633300781	1
21	ctrl_M1	ctrl	117.702980041504	117.702980041504	1
21	ctrl_M2	ctrl	126.964614868164	126.964614868164	1
21	ctrl_M3	ctrl	139.890640258789	139.890640258789	1
21	mut_M1	mut	94.4921951293945	94.4921951293945	1
21	mut_M2	mut	73.3602752685547	73.3602752685547	1
21	mut_M3	mut	89.3565444946289	89.3565444946289	1
22	ctrl_M1	ctrl	78.0586166381836	78.0586166381836	1
22	ctrl_M2	ctrl	84.1476440429688	84.1476440429688	1
22	ctrl_M3	ctrl	76.5067749023438	76.5067749023438	1
22	mut_M1	mut	66.011604309082	66.011604309082	1
22	mut_M2	mut	66.288459777832	66.288459777832	1
22	mut_M3	mut	62.4383201599121	62.4383201599121	1
23	ctrl_M1	ctrl	68.3132171630859	68.3132171630859	1
23	ctrl_M2	ctrl	83.3878479003906	83.3878479003906	1
23	ctrl_M3	ctrl	81.7204742431641	81.7204742431641	1
23	mut_M1	mut	66.53076171875	66.53076171875	1
23	mut_M2	mut	60.1737518310547	60.1737518310547	1
23	mut_M3	mut	52.2968673706055	52.2968673706055	1
24	ctrl_M1	ctrl	96.5536041259766	96.5536041259766	1
24	ctrl_M2	ctrl	92.726188659668	92.726188659668	1
24	ctrl_M3	ctrl	99.9773712158203	99.9773712158203	1
24	mut_M1	mut	81.4502410888672	81.4502410888672	1
24	mut_M2	mut	68.445930480957	68.445930480957	1
24	mut_M3	mut	60.823917388916	60.823917388916	1
25	ctrl_M1	ctrl	67.3921508789062	67.3921508789062	1
25	ctrl_M2	ctrl	79.0960083007812	79.0960083007812	1
25	ctrl_M3	ctrl	72.4618606567383	72.4618606567383	1
25	mut_M1	mut	22.5598258972168	22.5598258972168	1
25	mut_M2	mut	26.4077816009521	26.4077816009521	1
25	mut_M3	mut	28.0300159454346	28.0300159454346	1
26	ctrl_M1	ctrl	43.538990020752	43.538990020752	1
26	ctrl_M2	ctrl	50.1925964355469	50.1925964355469	1
26	ctrl_M3	ctrl	46.1216735839844	46.1216735839844	1
26	mut_M1	mut	38.4085235595703	38.4085235595703	1
26	mut_M2	mut	39.5625991821289	39.5625991821289	1
26	mut_M3	mut	33.3750038146973	33.3750038146973	1
27	ctrl_M1	ctrl	71.7489700317383	71.7489700317383	1
27	ctrl_M2	ctrl	91.3155059814453	91.3155059814453	1
27	ctrl_M3	ctrl	86.0634536743164	86.0634536743164	1
27	mut_M1	mut	58.8100166320801	58.8100166320801	1
27	mut_M2	mut	46.8905410766602	46.8905410766602	1
27	mut_M3	mut	65.1634368896484	65.1634368896484	1
28	ctrl_M1	ctrl	49.4890289306641	49.4890289306641	1
28	ctrl_M2	ctrl	39.5908584594727	39.5908584594727	1
28	ctrl_M3	ctrl	41.0818176269531	41.0818176269531	1
28	mut_M1	mut	37.2239227294922	37.2239227294922	1
28	mut_M2	mut	38.9958343505859	38.9958343505859	1
28	mut_M3	mut	28.2478256225586	28.2478256225586	1
29	ctrl_M1	ctrl	30.3861598968506	30.3861598968506	1
29	ctrl_M2	ctrl	35.4701843261719	35.4701843261719	1
29	ctrl_M3	ctrl	26.3017539978027	26.3017539978027	1
29	mut_M1	mut	31.8132724761963	31.8132724761963	1
29	mut_M2	mut	27.2113552093506	27.2113552093506	1
29	mut_M3	mut	21.3236179351807	21.3236179351807	1
30	ctrl_M1	ctrl	21.9253406524658	21.9253406524658	1
30	ctrl_M2	ctrl	23.7144832611084	23.7144832611084	1
30	ctrl_M3	ctrl	20.1351890563965	20.1351890563965	1
30	mut_M1	mut	16.0278854370117	16.0278854370117	1
30	mut_M2	mut	14.6007795333862	14.6007795333862	1
30	mut_M3	mut	9.53951644897461	9.53951644897461	1
31	ctrl_M1	ctrl	18.3963603973389	18.3963603973389	1
31	ctrl_M2	ctrl	16.7721138000488	16.7721138000488	1
31	ctrl_M3	ctrl	14.2760438919067	14.2760438919067	1
31	mut_M1	mut	4.64719915390015	4.64719915390015	1
31	mut_M2	mut	13.7402477264404	13.7402477264404	1
31	mut_M3	mut	8.70007133483887	8.70007133483887	1
32	ctrl_M1	ctrl	100.636390686035	100.636390686035	1
32	ctrl_M2	ctrl	136.734420776367	136.734420776367	1
32	ctrl_M3	ctrl	124.320243835449	124.320243835449	1
32	mut_M1	mut	83.6181488037109	83.6181488037109	1
32	mut_M2	mut	100.257431030273	100.257431030273	1
32	mut_M3	mut	78.2683563232422	78.2683563232422	1
33	ctrl_M1	ctrl	105.67749786377	105.67749786377	1
33	ctrl_M2	ctrl	125.311859130859	125.311859130859	1
33	ctrl_M3	ctrl	127.290199279785	127.290199279785	1
33	mut_M1	mut	81.766845703125	81.766845703125	1
33	mut_M2	mut	83.268440246582	83.268440246582	1
33	mut_M3	mut	80.3552932739258	80.3552932739258	1
34	ctrl_M1	ctrl	139.573165893555	139.573165893555	1
34	ctrl_M2	ctrl	168.171539306641	168.171539306641	1
34	ctrl_M3	ctrl	169.259765625	169.259765625	1
34	mut_M1	mut	115.611869812012	115.611869812012	1
34	mut_M2	mut	135.103042602539	135.103042602539	1
34	mut_M3	mut	109.37646484375	109.37646484375	1
35	ctrl_M1	ctrl	135.418212890625	135.418212890625	1
35	ctrl_M2	ctrl	176.543167114258	176.543167114258	1
35	ctrl_M3	ctrl	145.552673339844	145.552673339844	1
35	mut_M1	mut	135.363342285156	135.363342285156	1
35	mut_M2	mut	147.163970947266	147.163970947266	1
35	mut_M3	mut	121.313995361328	121.313995361328	1
36	ctrl_M1	ctrl	78.968147277832	78.968147277832	1
36	ctrl_M2	ctrl	95.181510925293	95.181510925293	1
36	ctrl_M3	ctrl	80.6141204833984	80.6141204833984	1
36	mut_M1	mut	64.6462860107422	64.6462860107422	1
36	mut_M2	mut	83.3701248168945	83.3701248168945	1
36	mut_M3	mut	74.4366836547852	74.4366836547852	1
37	ctrl_M1	ctrl	69.2248687744141	69.2248687744141	1
37	ctrl_M2	ctrl	87.1117935180664	87.1117935180664	1
37	ctrl_M3	ctrl	84.3613586425781	84.3613586425781	1
37	mut_M1	mut	62.3029365539551	62.3029365539551	1
37	mut_M2	mut	69.9224014282227	69.9224014282227	1
37	mut_M3	mut	50.0614776611328	50.0614776611328	1
38	ctrl_M1	ctrl	66.6525726318359	66.6525726318359	1
38	ctrl_M2	ctrl	76.2735977172852	76.2735977172852	1
38	ctrl_M3	ctrl	60.8994750976562	60.8994750976562	1
38	mut_M1	mut	43.5751914978027	43.5751914978027	1
38	mut_M2	mut	60.5189628601074	60.5189628601074	1
38	mut_M3	mut	49.8270606994629	49.8270606994629	1
39	ctrl_M1	ctrl	75.9789886474609	75.9789886474609	1
39	ctrl_M2	ctrl	92.1330108642578	92.1330108642578	1
39	ctrl_M3	ctrl	77.2264175415039	77.2264175415039	1
39	mut_M1	mut	62.7919044494629	62.7919044494629	1
39	mut_M2	mut	79.5029983520508	79.5029983520508	1
39	mut_M3	mut	58.4647979736328	58.4647979736328	1
40	ctrl_M1	ctrl	44.7605400085449	44.7605400085449	1
40	ctrl_M2	ctrl	54.2530899047852	54.2530899047852	1
40	ctrl_M3	ctrl	42.7829627990723	42.7829627990723	1
40	mut_M1	mut	37.2728462219238	37.2728462219238	1
40	mut_M2	mut	32.0161476135254	32.0161476135254	1
40	mut_M3	mut	22.4915142059326	22.4915142059326	1
41	ctrl_M1	ctrl	46.5253448486328	46.5253448486328	1
41	ctrl_M2	ctrl	35.9249038696289	35.9249038696289	1
41	ctrl_M3	ctrl	34.2020606994629	34.2020606994629	1
41	mut_M1	mut	32.0599479675293	32.0599479675293	1
41	mut_M2	mut	41.9596061706543	41.9596061706543	1
41	mut_M3	mut	36.8000793457031	36.8000793457031	1
42	ctrl_M1	ctrl	53.98486328125	53.98486328125	1
42	ctrl_M2	ctrl	61.0045776367188	61.0045776367188	1
42	ctrl_M3	ctrl	47.9753952026367	47.9753952026367	1
42	mut_M1	mut	27.4707279205322	27.4707279205322	1
42	mut_M2	mut	46.2570838928223	46.2570838928223	1
42	mut_M3	mut	37.3906326293945	37.3906326293945	1
43	ctrl_M1	ctrl	42.2000694274902	42.2000694274902	1
43	ctrl_M2	ctrl	53.9383506774902	53.9383506774902	1
43	ctrl_M3	ctrl	42.2986297607422	42.2986297607422	1
43	mut_M1	mut	36.6655464172363	36.6655464172363	1
43	mut_M2	mut	38.8483657836914	38.8483657836914	1
43	mut_M3	mut	27.807373046875	27.807373046875	1
44	ctrl_M1	ctrl	38.0062141418457	38.0062141418457	1
44	ctrl_M2	ctrl	43.8207893371582	43.8207893371582	1
44	ctrl_M3	ctrl	39.9855537414551	39.9855537414551	1
44	mut_M1	mut	33.0217132568359	33.0217132568359	1
44	mut_M2	mut	29.0240268707275	29.0240268707275	1
44	mut_M3	mut	20.8993263244629	20.8993263244629	1
45	ctrl_M1	ctrl	35.0981521606445	35.0981521606445	1
45	ctrl_M2	ctrl	39.0646057128906	39.0646057128906	1
45	ctrl_M3	ctrl	37.6221618652344	37.6221618652344	1
45	mut_M1	mut	28.6638431549072	28.6638431549072	1
45	mut_M2	mut	36.501823425293	36.501823425293	1
45	mut_M3	mut	22.898380279541	22.898380279541	1
46	ctrl_M1	ctrl	37.7534065246582	37.7534065246582	1
46	ctrl_M2	ctrl	34.8615455627441	34.8615455627441	1
46	ctrl_M3	ctrl	23.0044803619385	23.0044803619385	1
46	mut_M1	mut	20.4711494445801	20.4711494445801	1
46	mut_M2	mut	31.7672863006592	31.7672863006592	1
46	mut_M3	mut	33.3875427246094	33.3875427246094	1
47	ctrl_M1	ctrl	77.8124160766602	77.8124160766602	1
47	ctrl_M2	ctrl	86.1281051635742	86.1281051635742	1
47	ctrl_M3	ctrl	88.1313934326172	88.1313934326172	1
47	mut_M1	mut	43.1098365783691	43.1098365783691	1
47	mut_M2	mut	63.4898338317871	63.4898338317871	1
47	mut_M3	mut	56.5677947998047	56.5677947998047	1
48	ctrl_M1	ctrl	73.3023986816406	73.3023986816406	1
48	ctrl_M2	ctrl	95.249382019043	95.249382019043	1
48	ctrl_M3	ctrl	100.821067810059	100.821067810059	1
48	mut_M1	mut	81.4598159790039	81.4598159790039	1
48	mut_M2	mut	69.4672241210938	69.4672241210938	1
48	mut_M3	mut	63.291934967041	63.291934967041	1
49	ctrl_M1	ctrl	56.4541664123535	56.4541664123535	1
49	ctrl_M2	ctrl	71.900764465332	71.900764465332	1
49	ctrl_M3	ctrl	61.0459136962891	61.0459136962891	1
49	mut_M1	mut	34.7143440246582	34.7143440246582	1
49	mut_M2	mut	38.8287391662598	38.8287391662598	1
49	mut_M3	mut	31.5266666412354	31.5266666412354	1
50	ctrl_M1	ctrl	36.5022125244141	36.5022125244141	1
50	ctrl_M2	ctrl	35.3072891235352	35.3072891235352	1
50	ctrl_M3	ctrl	33.8186378479004	33.8186378479004	1
50	mut_M1	mut	24.8779716491699	24.8779716491699	1
50	mut_M2	mut	29.7948169708252	29.7948169708252	1
50	mut_M3	mut	24.5234527587891	24.5234527587891	1
51	ctrl_M1	ctrl	25.9766025543213	25.9766025543213	1
51	ctrl_M2	ctrl	29.7546310424805	29.7546310424805	1
51	ctrl_M3	ctrl	30.3556346893311	30.3556346893311	1
51	mut_M1	mut	27.445779800415	27.445779800415	1
51	mut_M2	mut	26.1427230834961	26.1427230834961	1
51	mut_M3	mut	16.5073356628418	16.5073356628418	1
52	ctrl_M1	ctrl	151.605545043945	151.605545043945	1
52	ctrl_M2	ctrl	196.618209838867	196.618209838867	1
52	ctrl_M3	ctrl	192.245574951172	192.245574951172	1
52	mut_M1	mut	169.672607421875	169.672607421875	1
52	mut_M2	mut	178.731460571289	178.731460571289	1
52	mut_M3	mut	145.791732788086	145.791732788086	1
53	ctrl_M1	ctrl	121.402229309082	121.402229309082	1
53	ctrl_M2	ctrl	149.134872436523	149.134872436523	1
53	ctrl_M3	ctrl	167.078384399414	167.078384399414	1
53	mut_M1	mut	126.690277099609	126.690277099609	1
53	mut_M2	mut	133.05778503418	133.05778503418	1
53	mut_M3	mut	109.14697265625	109.14697265625	1
54	ctrl_M1	ctrl	37.4898414611816	37.4898414611816	1
54	ctrl_M2	ctrl	52.0832824707031	52.0832824707031	1
54	ctrl_M3	ctrl	39.6862640380859	39.6862640380859	1
54	mut_M1	mut	33.0891304016113	33.0891304016113	1
54	mut_M2	mut	39.3469009399414	39.3469009399414	1
54	mut_M3	mut	31.0745506286621	31.0745506286621	1
55	ctrl_M1	ctrl	81.5745086669922	81.5745086669922	1
55	ctrl_M2	ctrl	83.9501113891602	83.9501113891602	1
55	ctrl_M3	ctrl	97.2130737304688	97.2130737304688	1
55	mut_M1	mut	75.6892852783203	75.6892852783203	1
55	mut_M2	mut	75.4826202392578	75.4826202392578	1
55	mut_M3	mut	62.9468116760254	62.9468116760254	1
56	ctrl_M1	ctrl	52.6961402893066	52.6961402893066	1
56	ctrl_M2	ctrl	52.9384498596191	52.9384498596191	1
56	ctrl_M3	ctrl	51.0556983947754	51.0556983947754	1
56	mut_M1	mut	35.0900535583496	35.0900535583496	1
56	mut_M2	mut	49.3432922363281	49.3432922363281	1
56	mut_M3	mut	35.3260383605957	35.3260383605957	1
