gene_id	enriched_in	symbol
14183	Control	Fgfr2
234023	Control	Arglu1
270028	Control	Nalf1
50770	Control	Atp11a
94109	Control	Csmd1
100503970	Control	AY761185
100505096	Control	Defa33
75029	Control	Purg
19053	Control	Ppp2cb
67276	Control	Eri1
244431	Control	Sgcz
69966	Control	2810404M03Rik
102636514	Control	Hand2os1
270049	Control	Galntl6
100271928	Control	Gm15881
71306	Control	Mfap3l
72333	Control	Palld
234353	Control	Psd3
620419	Control	Zfp963
234413	Control	Zfp961
72054	Control	Cyp4f18
622675	Control	Zfp827
74841	Control	Usp38
234515	Control	Inpp4b
20538	Control	Slc6a2
234736	Control	Rfwd3
170571	Control	Cntnap4
80707	Control	Wwox
108148	Control	Galnt2
234814	Control	Mthfsd
14802	Control	Gria4
102634431	Control	Gm32014
244694	Control	Kdm4d
66070	Control	Cwc15
270120	Control	Fat3
244757	Control	Glb1l2
235106	Control	Ntm
77119	Control	7630403G23Rik
67703	Control	Kirrel3
208098	Control	Panx3
21376	Control	Tbrg1
22619	Control	Siae
258276	Control	Or10d4b
110637	Control	Grik4
72565	Control	Uaca
213550	Control	Dis3l
56404	Control	Trip4
235439	Control	Herc1
74165	Control	Fbxl22
74951	Control	4930502A04Rik
12175	Control	Bnip2
100885839	Control	Mir5626
12442	Control	Ccnb2
71602	Control	Myo1e
68178	Control	Cgnl1
208898	Control	Unc13c
63859	Control	Impg1
319405	Control	D430036J16Rik
212943	Control	Tent5a
107885	Control	Mthfs
12045	Control	Bcl2a1b
74700	Control	4930524O08Rik
64085	Control	Clstn2
270190	Control	Ephb1
81907	Control	Tmem108
74020	Control	Cpne4
208583	Control	Nek11
321006	Control	Dcaf1
208869	Control	Dock3
102626	Control	Mapkapk3
12530	Control	Cdc25a
68292	Control	Stt3b
207181	Control	Rbms3
104099	Control	Itga9
104433	Control	Snora62
16785	Control	Rpsa
208638	Control	Slc25a38
17433	Control	Mobp
102465661	Control	Mir7090
12387	Control	Ctnnb1
654800	Control	A730085K08Rik
15273	Control	Hivep2
18101	Control	Nmbr
69412	Control	1700016L04Rik
76743	Control	Gje1
380629	Control	Heca
18634	Control	Pex7
29863	Control	Pde7b
72780	Control	Rspo3
432450	Control	Nkain2
72472	Control	Slc16a10
327747	Control	Mettl24
70503	Control	Ddo
71713	Control	Cdc40
83767	Control	Wasf1
75973	Control	Ccdc162
11793	Control	Atg5
23828	Control	Bves
380669	Control	Lin28b
18768	Control	Pkib
68488	Control	1110002J07Rik
73287	Control	Cabcoco1
11735	Control	Ank3
52696	Control	Zwint
110333	Control	Rmst
13713	Control	Elk3
237459	Control	Cdk17
74978	Control	Lrriq1
20979	Control	Syt1
320150	Control	Zdhhc17
67074	Control	Mon2
103142	Control	Rdh9
107605	Control	Rdh1
11536	Control	Gpr182
320080	Control	Zbtb39
74309	Control	Osbp2
74522	Control	Morc2a
216560	Control	Wdpcp
18423	Control	Otx1
216565	Control	Ehbp1
70626	Control	5730522E02Rik
70357	Control	Kcnip1
574403	Control	Insyn2b
94176	Control	Dock2
23964	Control	Tenm2
216705	Control	Clint1
30805	Control	Slc22a4
14799	Control	Gria1
23939	Control	Mapk7
27078	Control	B9d1
18858	Control	Pmp22
66456	Control	2810001G20Rik
70383	Control	Cox10
15478	Control	Hs3st3a1
214384	Control	Myocd
18208	Control	Ntn1
77579	Control	Myh10
216881	Control	Wscd1
55984	Control	Camkk1
66874	Control	Ncbp3
104184	Control	Blmh
237860	Control	Ssh2
16706	Control	Ksr1
790910	Control	Gm11201
18015	Control	Nf1
216987	Control	Utp6
11418	Control	Asic2
270893	Control	Tmem132e
21385	Control	Tbx2
66569	Control	Gdpd1
83560	Control	Tex14
217127	Control	Kat7
93670	Control	Tac4
11951	Control	Atp5mc1
268470	Control	Ube2z
78473	Control	Skap1
72973	Control	Fbxo47
217265	Control	Abca5
20682	Control	Sox9
217294	Control	BC006965
100038732	Control	Gm11681
237979	Control	Sdk2
105005	Control	Lratd1
14245	Control	Lpin1
69513	Control	1700030C10Rik
20259	Control	Scin
73278	Control	1700031P21Rik
238161	Control	Akap6
59036	Control	Dact1
104001	Control	Rtn1
238271	Control	Kcnh5
19363	Control	Rad51b
71818	Control	3200001D21Rik
72113	Control	Adck1
18191	Control	Nrxn3
14420	Control	Galc
104871	Control	Spata7
13411	Control	Dnah11
12671	Control	Chrm3
70430	Control	Tbce
97884	Control	B3galnt2
14593	Control	Ggps1
192136	Control	Sugct
218030	Control	Pou6f2
258067	Control	Or2b2
100503530	Control	Gm11351
12593	Control	Cdyl
69635	Control	Dapk1
16372	Control	Irx2
328287	Control	Gm20554
80289	Control	Lysmd3
553095	Control	Gm17750
66074	Control	Tmem167
320297	Control	A830009L08Rik
19418	Control	Rasgrf2
12116	Control	Bhmt
100885837	Control	Mir5624
11881	Control	Arsb
218454	Control	Lhfpl2
625662	Control	Ankrd31
238871	Control	Pde4d
14165	Control	Fgf10
666329	Control	Gm3317
74715	Control	4930521O11Rik
21834	Control	Thrb
218793	Control	Ube2e2
16531	Control	Kcnma1
78019	Control	4930519K11Rik
100039213	Control	NA
100039246	Control	NA
100039257	Control	NA
105594	Control	Cphx1
211623	Control	Plac9
66039	Control	Tmem254
278672	Control	Duxbl1
105522	Control	Ankrd28
114874	Control	Ddhd1
67419	Control	Armh4
50769	Control	Atp8a2
74195	Control	Elp3
13134	Control	Dach1
105689	Control	Mycbp2
223227	Control	Sox21
239273	Control	Abcc4
20024	Control	Sub1
73339	Control	1700047G03Rik
215654	Control	Cdh12
448987	Control	Fbxl7
110082	Control	Dnah5
12465	Control	Cct5
68073	Control	Atpsckmt
69574	Control	Cmbl
20356	Control	Sema5a
105245909	Control	Gm41289
19946	Control	Rpl30
239368	Control	Erich5
666899	Control	Gm12191
239405	Control	Rspo2
67429	Control	Nudcd1
69659	Control	2310069G16Rik
239447	Control	Colec10
20649	Control	Sntb1
15117	Control	Has2
594843	Control	Has2os
210463	Control	Slc22a22
11514	Control	Adcy8
13992	Control	Khdrbs3
268816	Control	Mroh5
18810	Control	Plec
106014	Control	Tafa5
239618	Control	Pdzrn4
102638434	Control	Gm16537
14555	Control	Gpd1
66379	Control	Cox14
71949	Control	Cers5
54483	Control	Mefv
268859	Control	Rbfox1
209018	Control	Vps8
17174	Control	Masp1
71338	Control	Tprg1
545156	Control	Kalrn
207227	Control	Stxbp5l
56490	Control	Zbtb20
212547	Control	Nepro
224170	Control	Dzip3
224171	Control	Cip2a
320712	Control	Abi3bp
67581	Control	Tbc1d23
74185	Control	Gbe1
19876	Control	Robo1
30940	Control	Usp25
14805	Control	Grik1
121022	Control	Mrps6
53881	Control	Slc5a3
100503166	Control	1700048M11Rik
246133	Control	Kcne2
68936	Control	Smim11
100037282	Control	Rsph3b
73617	Control	1700122H20Rik
751529	Control	Mir692-1
68655	Control	Fndc1
100041574	Control	Ermardl2
100041586	Control	Dynlt2a3
100041639	Control	Dynlt2a2
13388	Control	Dll1
12648	Control	Chd1
22759	Control	Zfp97
74149	Control	Zfp946
18607	Control	Pdpk1
245847	Control	Amdhd2
74762	Control	Mdga1
57773	Control	Wdr4
74377	Control	Hsf2bp
328801	Control	Zfp414
378460	Control	Pram1
18044	Control	Nfya
19725	Control	Rfx2
13640	Control	Efna5
50758	Control	Fbxl17
77889	Control	Lbh
268977	Control	Ltbp1
20463	Control	Cox7a2l
14236	Control	Foxn2
11516	Control	Adcyap1
106931	Control	Kctd1
13527	Control	Dtna
140492	Control	Kcnn2
107003	Control	A330093E20Rik
240411	Control	Loxhd1
225743	Control	Ark2c
105246506	Control	Rbfaos
27366	Control	Txnl4a
68731	Control	Rbfa
246102	Control	Rttn
20589	Control	Ighmbp2
353242	Control	Mrpl21
24115	Control	Best1
74760	Control	Rab3il1
68774	Control	Ms4a6d
320155	Control	C730002L08Rik
68994	Control	1500015L24Rik
102465114	Control	Mir3084-2
76088	Control	Dock8
226075	Control	Glis3
16452	Control	Jak2
14102	Control	Fas
226101	Control	Myof
192236	Control	Hps1
16814	Control	Lbx1
66673	Control	Sorcs3
170750	Control	Xpnpep1
21416	Control	Tcf7l2
226255	Control	Atrnl1
73442	Control	Hspa12a
13797	Control	Emx2
74998	Control	Rab11fip2
71096	Mutant	Sntg1
73331	Mutant	1700034P13Rik
69312	Mutant	Ppp1r42
109294	Mutant	Prex2
210933	Mutant	Adgrb3
56030	Mutant	Tmem131
72097	Mutant	Cracdl
20849	Mutant	Stat4
81898	Mutant	Sf3b1
227120	Mutant	Plcl1
14369	Mutant	Fzd7
77300	Mutant	Raph1
77341	Mutant	9530026F06Rik
241073	Mutant	Dytn
22779	Mutant	Ikzf2
109032	Mutant	Sp110
208718	Mutant	Dis3l2
77040	Mutant	Atg16l1
17164	Mutant	Mapkapk2
59125	Mutant	Nek7
329260	Mutant	Dennd1b
214403	Mutant	Cfhr4
269132	Mutant	Colgalt2
240816	Mutant	Rgsl1
226562	Mutant	Prrc2c
16579	Mutant	Kifap3
258713	Mutant	Or6n2
259162	Mutant	Or6k14
24012	Mutant	Rgs7
226751	Mutant	Cdc42bpa
18718	Mutant	Pip4k2a
74629	Mutant	4930426L09Rik
100125929	Mutant	0610009E02Rik
18128	Mutant	Notch1
227648	Mutant	Sec16a
22325	Mutant	Vav2
