12	5	E	-1617268.9781884968	32
probinit	1	1.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
emissionprobs	1	0	CTCF	0	1.0
emissionprobs	1	0	CTCF	1	2.624289783745521E-26
emissionprobs	1	1	H3K27ac	0	1.0
emissionprobs	1	1	H3K27ac	1	6.381020953410934E-86
emissionprobs	1	2	H3K27me3	0	1.0
emissionprobs	1	2	H3K27me3	1	1.812498076023794E-66
emissionprobs	1	3	H3K4me1	0	1.0
emissionprobs	1	3	H3K4me1	1	2.435743270349631E-42
emissionprobs	1	4	H3K4me3	0	1.0
emissionprobs	1	4	H3K4me3	1	4.893828058636049E-94
emissionprobs	2	0	CTCF	0	0.01925848183228405
emissionprobs	2	0	CTCF	1	0.980741518167716
emissionprobs	2	1	H3K27ac	0	1.0
emissionprobs	2	1	H3K27ac	1	1.1757418899212405E-46
emissionprobs	2	2	H3K27me3	0	1.0
emissionprobs	2	2	H3K27me3	1	7.981432186954753E-76
emissionprobs	2	3	H3K4me1	0	3.0700830141376344E-15
emissionprobs	2	3	H3K4me1	1	0.999999999999997
emissionprobs	2	4	H3K4me3	0	1.0
emissionprobs	2	4	H3K4me3	1	1.1633988148316328E-61
emissionprobs	3	0	CTCF	0	1.0
emissionprobs	3	0	CTCF	1	1.9110210488340584E-17
emissionprobs	3	1	H3K27ac	0	1.0
emissionprobs	3	1	H3K27ac	1	7.119998253836406E-55
emissionprobs	3	2	H3K27me3	0	1.0
emissionprobs	3	2	H3K27me3	1	7.672714004543601E-63
emissionprobs	3	3	H3K4me1	0	3.4244879154653594E-18
emissionprobs	3	3	H3K4me1	1	1.0
emissionprobs	3	4	H3K4me3	0	1.0
emissionprobs	3	4	H3K4me3	1	4.56102867393416E-65
emissionprobs	4	0	CTCF	0	0.9703687641754546
emissionprobs	4	0	CTCF	1	0.029631235824545354
emissionprobs	4	1	H3K27ac	0	7.253521434505382E-4
emissionprobs	4	1	H3K27ac	1	0.9992746478565494
emissionprobs	4	2	H3K27me3	0	0.9998976434394108
emissionprobs	4	2	H3K27me3	1	1.0235656058926359E-4
emissionprobs	4	3	H3K4me1	0	7.929205821136309E-23
emissionprobs	4	3	H3K4me1	1	1.0
emissionprobs	4	4	H3K4me3	0	1.0
emissionprobs	4	4	H3K4me3	1	1.9329715157978847E-58
emissionprobs	5	0	CTCF	0	0.9620216405515499
emissionprobs	5	0	CTCF	1	0.03797835944844999
emissionprobs	5	1	H3K27ac	0	9.699691629792914E-29
emissionprobs	5	1	H3K27ac	1	1.0
emissionprobs	5	2	H3K27me3	0	0.962958713415367
emissionprobs	5	2	H3K27me3	1	0.0370412865846331
emissionprobs	5	3	H3K4me1	0	2.5416019266993122E-18
emissionprobs	5	3	H3K4me1	1	1.0
emissionprobs	5	4	H3K4me3	0	2.992847181591044E-8
emissionprobs	5	4	H3K4me3	1	0.9999999700715282
emissionprobs	6	0	CTCF	0	0.9796516449353159
emissionprobs	6	0	CTCF	1	0.020348355064684197
emissionprobs	6	1	H3K27ac	0	1.0
emissionprobs	6	1	H3K27ac	1	3.351739636216292E-34
emissionprobs	6	2	H3K27me3	0	1.0
emissionprobs	6	2	H3K27me3	1	2.0353892211835828E-29
emissionprobs	6	3	H3K4me1	0	1.3536789885441578E-17
emissionprobs	6	3	H3K4me1	1	1.0
emissionprobs	6	4	H3K4me3	0	9.058596765557025E-12
emissionprobs	6	4	H3K4me3	1	0.9999999999909414
emissionprobs	7	0	CTCF	0	0.9678190714234529
emissionprobs	7	0	CTCF	1	0.03218092857654698
emissionprobs	7	1	H3K27ac	0	1.0
emissionprobs	7	1	H3K27ac	1	7.797890897378973E-36
emissionprobs	7	2	H3K27me3	0	0.9397417067350101
emissionprobs	7	2	H3K27me3	1	0.06025829326498997
emissionprobs	7	3	H3K4me1	0	1.0
emissionprobs	7	3	H3K4me1	1	2.3347341237797605E-17
emissionprobs	7	4	H3K4me3	0	4.465525152647529E-4
emissionprobs	7	4	H3K4me3	1	0.9995534474847353
emissionprobs	8	0	CTCF	0	0.9556632438763034
emissionprobs	8	0	CTCF	1	0.04433675612369656
emissionprobs	8	1	H3K27ac	0	5.192093370291317E-9
emissionprobs	8	1	H3K27ac	1	0.9999999948079067
emissionprobs	8	2	H3K27me3	0	0.9797020298660656
emissionprobs	8	2	H3K27me3	1	0.020297970133934463
emissionprobs	8	3	H3K4me1	0	1.0
emissionprobs	8	3	H3K4me1	1	2.816854770699969E-24
emissionprobs	8	4	H3K4me3	0	1.5985222688737753E-14
emissionprobs	8	4	H3K4me3	1	0.9999999999999841
emissionprobs	9	0	CTCF	0	0.9786554496486611
emissionprobs	9	0	CTCF	1	0.021344550351338934
emissionprobs	9	1	H3K27ac	0	0.01509871953313292
emissionprobs	9	1	H3K27ac	1	0.9849012804668671
emissionprobs	9	2	H3K27me3	0	0.9961250355631507
emissionprobs	9	2	H3K27me3	1	0.0038749644368493365
emissionprobs	9	3	H3K4me1	0	1.0
emissionprobs	9	3	H3K4me1	1	6.15089652370284E-17
emissionprobs	9	4	H3K4me3	0	1.0
emissionprobs	9	4	H3K4me3	1	2.5372821719533077E-42
emissionprobs	10	0	CTCF	0	0.009867968884299883
emissionprobs	10	0	CTCF	1	0.9901320311157001
emissionprobs	10	1	H3K27ac	0	1.0
emissionprobs	10	1	H3K27ac	1	4.164758531637864E-32
emissionprobs	10	2	H3K27me3	0	1.0
emissionprobs	10	2	H3K27me3	1	9.086827719956993E-35
emissionprobs	10	3	H3K4me1	0	1.0
emissionprobs	10	3	H3K4me1	1	2.1474343919092032E-26
emissionprobs	10	4	H3K4me3	0	1.0
emissionprobs	10	4	H3K4me3	1	8.061051790046682E-53
emissionprobs	11	0	CTCF	0	0.9907880289883682
emissionprobs	11	0	CTCF	1	0.009211971011631783
emissionprobs	11	1	H3K27ac	0	0.9990685024034156
emissionprobs	11	1	H3K27ac	1	9.314975965844335E-4
emissionprobs	11	2	H3K27me3	0	0.004494866346632466
emissionprobs	11	2	H3K27me3	1	0.9955051336533676
emissionprobs	11	3	H3K4me1	0	1.0
emissionprobs	11	3	H3K4me1	1	3.2514456368644853E-35
emissionprobs	11	4	H3K4me3	0	0.999736930856512
emissionprobs	11	4	H3K4me3	1	2.630691434879788E-4
emissionprobs	12	0	CTCF	0	0.9619671054622821
emissionprobs	12	0	CTCF	1	0.03803289453771774
emissionprobs	12	1	H3K27ac	0	0.9851667982297568
emissionprobs	12	1	H3K27ac	1	0.01483320177024314
emissionprobs	12	2	H3K27me3	0	4.0129215911129183E-4
emissionprobs	12	2	H3K27me3	1	0.9995987078408887
emissionprobs	12	3	H3K4me1	0	1.1549604665260396E-11
emissionprobs	12	3	H3K4me1	1	0.9999999999884505
emissionprobs	12	4	H3K4me3	0	0.9493280317575405
emissionprobs	12	4	H3K4me3	1	0.050671968242459536
