ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0070840	dynein complex binding	6/3354	24/28366	0.25	2.11434108527132	1.99989516367921	0.0561405076487585	0.133509773566134	0.0829240096000338	Bicd1/Snca/Numa1/Fbxw11/Apc/Smc3	6
GO:0032813	tumor necrosis factor receptor superfamily binding	10/3354	49/28366	0.204081632653061	1.72599272267046	1.86253910627643	0.0579836310589428	0.136921282656163	0.085042925728613	Stat1/Cflar/Bdnf/Nsmaf/Ntf3/Casp3/Fem1b/Trim37/Tnfsf12/Traf3	10
GO:0000340	RNA 7-methylguanosine cap binding	4/3354	13/28366	0.307692307692308	2.60226595110316	2.11595040455384	0.0580909435835871	0.136921282656163	0.085042925728613	Eif4e/Cyfip1/Larp1/Ago2	4
GO:0017166	vinculin binding	4/3354	13/28366	0.307692307692308	2.60226595110316	2.11595040455384	0.0580909435835871	0.136921282656163	0.085042925728613	Pxn/Coro2b/Utrn/Ctnna1	4
GO:0031994	insulin-like growth factor I binding	4/3354	13/28366	0.307692307692308	2.60226595110316	2.11595040455384	0.0580909435835871	0.136921282656163	0.085042925728613	Igfbp5/Igf1r/Insr/Itgb3	4
GO:0043121	neurotrophin binding	4/3354	13/28366	0.307692307692308	2.60226595110316	2.11595040455384	0.0580909435835871	0.136921282656163	0.085042925728613	Sort1/Ntf3/Ntrk3/Ntrk2	4
GO:0043531	ADP binding	9/3354	43/28366	0.209302325581395	1.77014602487831	1.85070156765093	0.0610983445096614	0.143625706326976	0.0892070979685262	Atp1a1/Prkag2/Ppp5c/Ruvbl2/Pkm/Mief1/Myh9/Prkag1/Msh2	9
GO:0016763	pentosyltransferase activity	11/3354	56/28366	0.196428571428571	1.66126799557032	1.81384551662102	0.0611518644120134	0.143625706326976	0.0892070979685262	Parp1/Upp2/Tiparp/Ppat/Sirt2/Large1/Nampt/Parp4/Gxylt1/Arl6/Tnks2	11
GO:0015079	potassium ion transmembrane transporter activity	26/3354	161/28366	0.161490683229814	1.36578554576532	1.70441418176971	0.0613478656349152	0.143831480030976	0.0893349056948831	Kcnh1/Atp1b1/Kcnj9/Slc12a6/Snap25/Slc9a8/Kcnab1/Kcnd3/Atp1a1/Kcnc4/Kcnk3/Pkd2/Kcnip4/Kcnd2/Kcnc1/Tmem38a/Slc9a5/Kcnk1/Atp1b3/Kcnmb4/Kcnk10/Hcn1/Slc12a8/Kcnj6/Kcnk12/Slc12a2	26
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding	17/3354	97/28366	0.175257731958763	1.48221849276752	1.74210055282512	0.0621477983799192	0.145449961993215	0.0903401580459978	Amer3/Fzd7/Mapkap1/Osbpl2/Sestd1/Sdcbp/Ldlrap1/Krit1/Chmp3/Picalm/Sytl2/Syt9/Syt1/Hcn1/Snx18/Amer2/Apba1	17
GO:0004177	aminopeptidase activity	8/3354	37/28366	0.216216216216216	1.82861931699141	1.84688139512672	0.0638851215142125	0.149252739875634	0.0927020944136924	Tpp2/Rnpep/Metap1/Metap2/Trhde/Blmh/Npepps/Lnpep	8
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	5/3354	19/28366	0.263157894736842	2.22562219502244	1.95694481441168	0.0649905322972373	0.150510360136883	0.0934832126182362	Polr1d/Polr1a/Polrmt/Polr2a/Polr3h	5
GO:0004890	GABA-A receptor activity	5/3354	19/28366	0.263157894736842	2.22562219502244	1.95694481441168	0.0649905322972373	0.150510360136883	0.0934832126182362	Gabrr2/Gabrb1/Gabrb2/Gabrg2/Gabra1	5
GO:0005346	purine ribonucleotide transmembrane transporter activity	5/3354	19/28366	0.263157894736842	2.22562219502244	1.95694481441168	0.0649905322972373	0.150510360136883	0.0934832126182362	Slc25a25/Slc35b1/Ank/Slc25a17/Slc25a23	5
GO:0035613	RNA stem-loop binding	5/3354	19/28366	0.263157894736842	2.22562219502244	1.95694481441168	0.0649905322972373	0.150510360136883	0.0934832126182362	Rc3h2/Csde1/Dazap1/Mettl16/Cpeb3	5
GO:0140939	histone H4 methyltransferase activity	5/3354	19/28366	0.263157894736842	2.22562219502244	1.95694481441168	0.0649905322972373	0.150510360136883	0.0934832126182362	Smyd3/Kmt5a/Carm1/Nsd1/N6amt1	5
GO:0047617	fatty acyl-CoA hydrolase activity	7/3354	31/28366	0.225806451612903	1.90972743185796	1.85579176019825	0.0659881803617216	0.152554556341471	0.0947528795584596	Abcd3/Acot7/Acot2/Acot4/Mblac2/Acot13/Cln5	7
GO:0120227	acyl-CoA binding	6/3354	25/28366	0.24	2.02976744186047	1.88625450058042	0.0667661912848498	0.154084757973906	0.0957033002764987	Acbd6/Acbd3/Acadm/Acot7/Pitpna/Pank1	6
GO:0051539	4 iron, 4 sulfur cluster binding	9/3354	44/28366	0.204545454545455	1.72991543340381	1.77433507851683	0.0690972211487529	0.159187521639575	0.0988726684200905	Ndufs1/Ndufs2/Polr3f/Tyw1/Ppat/Ireb2/Rev3l/Cdkal1/Aco2	9
GO:0017022	myosin binding	14/3354	78/28366	0.17948717948718	1.51798847147684	1.67750949414711	0.072288609466292	0.166083318785184	0.103155704286518	Trak2/Snap25/Rab14/Trpm7/Limch1/Rab6a/Rab27a/Rab11a/Vezt/Taok1/Rab10/Rala/Rab3c/Stxbp5l	14
GO:0005006	epidermal growth factor receptor activity	10/3354	51/28366	0.196078431372549	1.65830673354613	1.72307354851282	0.072804158189066	0.166083318785184	0.103155704286518	Erbb4/Epha7/Igf1r/Ntrk3/Fgfr2/Fgfr1/Insr/Ntrk2/Epha3/Nrg2	10
GO:0005030	neurotrophin receptor activity	10/3354	51/28366	0.196078431372549	1.65830673354613	1.72307354851282	0.072804158189066	0.166083318785184	0.103155704286518	Erbb4/Sort1/Epha7/Igf1r/Ntrk3/Fgfr2/Fgfr1/Insr/Ntrk2/Epha3	10
GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	8/3354	38/28366	0.210526315789474	1.78049775601795	1.76300771700647	0.0728979096492535	0.166083318785184	0.103155704286518	Mrpl44/Ago3/Pop5/Dbr1/Gen1/Drosha/Ago2/Rpp30	8
GO:0000774	adenyl-nucleotide exchange factor activity	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Bag2/Bag4/Sil1/Grpel2	4
GO:0001161	intronic transcription regulatory region sequence-specific DNA binding	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Smyd3/Hsf2/Hsf1/Bcl6	4
GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Irs1/Irs2/Frs2/Grb2	4
GO:0005161	platelet-derived growth factor receptor binding	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Ptprj/Lyn/Rasa1/Pten	4
GO:0008142	oxysterol binding	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Insig2/Insig1/Rora/Vdac1	4
GO:0008429	phosphatidylethanolamine binding	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Gabarapl2/Gabarap/Nf1/Esyt2	4
GO:0031748	D1 dopamine receptor binding	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Grk3/Ptpn11/Vps35/Dlg4	4
GO:0045295	gamma-catenin binding	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Ptprj/Ptprk/Apc/Ctnna1	4
GO:0061578	K63-linked deubiquitinase activity	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Otud4/Cyld/Atxn3/Usp14	4
GO:0070003	threonine-type peptidase activity	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Psmb7/Tasp1/Psmb5/Asrgl1	4
GO:0097157	pre-mRNA intronic binding	4/3354	14/28366	0.285714285714286	2.41638981173865	1.94112576885683	0.0739677779970185	0.166083318785184	0.103155704286518	Rnpc3/Elavl4/Tardbp/Rbm4	4
GO:0019212	phosphatase inhibitor activity	11/3354	58/28366	0.189655172413793	1.60398289227479	1.68609776946835	0.0753843861705791	0.168978176433038	0.104953723989266	Tprn/Ywhab/Cry2/Ensa/Uri1/Cabin1/Hsp90b1/Ppp1r9b/Bod1/Phactr1/Styx	11
GO:0016289	acyl-CoA hydrolase activity	7/3354	32/28366	0.21875	1.8500484496124	1.76182771313251	0.0762169034933969	0.170556207311531	0.105933851842247	Abcd3/Acot7/Acot2/Acot4/Mblac2/Acot13/Cln5	7
GO:0051287	NAD binding	12/3354	65/28366	0.184615384615385	1.5613595706619	1.65918813009048	0.077109221131202	0.17226251926112	0.106993656115065	Aldh9a1/Parp1/Ndufs2/Idh3b/Hibadh/Sirt2/Me3/Ctbp2/Sirt7/Dld/Glyr1/Me2	12
GO:0016248	channel inhibitor activity	9/3354	45/28366	0.2	1.69147286821705	1.6999095824922	0.0777189732219764	0.172576695291209	0.107188793410555	Bcl2/Stom/Ensa/Camk2d/Wnk1/Tmc7/Micu1/Calm2/Nedd4l	9
GO:0042169	SH2 domain binding	9/3354	45/28366	0.2	1.69147286821705	1.6999095824922	0.0777189732219764	0.172576695291209	0.107188793410555	Irs1/Dab1/Fgfr1/Adam10/Crk/Nlk/Arhgap5/Jak2/Afap1l2	9
GO:0015296	monoatomic anion:monoatomic cation symporter activity	6/3354	26/28366	0.230769230769231	1.95169946332737	1.77780976988733	0.0784792444197441	0.172576695291209	0.107188793410555	Slc12a6/Slc13a1/Slc5a5/Slc39a14/Slc12a8/Slc12a2	6
