term	estimate	std_error	t_value	p_value
(Intercept)	-0.0376019569624602	0.00644065964538176	-5.83821518800834	5.59097942492193e-09
loop_dir_binaryLost	-0.0173614595747477	0.00118709912565546	-14.6251136063819	1.63205239677693e-47
log_loop_distance	0.0025298335024736	0.00100933565477993	2.50643429714686	0.0122253874429931
anchor_typeRepressed_Promoter	0.0306825288078001	0.00188793176064418	16.2519268161106	5.41809962448627e-58
anchor_typeBivalent_Promoter	0.0279338063627122	0.00522709405142953	5.34404127568218	9.47127909199697e-08
anchor_typePolycomb	0.0259955508872794	0.0021373909551662	12.1622816941592	1.38324215813687e-33
anchor_typeActive_Enhancer	-0.00574689730821975	0.00273128510607029	-2.10410011589316	0.0354168587433266
anchor_typePoised_Enhancer	0.0153185782792436	0.00200231078725646	7.6504498586021	2.36541513837807e-14
anchor_typeOther	0.0188068272722328	0.00172636670929274	10.8938773963833	2.4039720838449e-27
log_dist_tss	0.000468771950088772	0.000958858219448826	0.488885573049823	0.624943007984339
