met_group	n	median_fc	mean_fc	p_vs_zero	p_vs_bg	cliffs_delta
mC Up	6174	0.058658	0.0976475398445093	3.75625224097479e-83	3.73471798215786e-22	0.0887303635108501
mC Down	2033	-0.069863	-0.0380788627643876	3.11709367011258e-19	4.92648361718588e-32	-0.164097069646708
hmC Down	7975	0.012135	0.0430633705329153	3.13143562785212e-16	0.666013698460195	-0.00365893394312362
hmC Up	1236	0.0149855	0.0566070752427184	2.91903662721351e-05	0.491884002495192	0.0119001862249566
All DMR Genes	11089	0.012067	0.0489627524573903	9.83324788589289e-25	NA	NA
