gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
Klf7	invariant	K27ac_ChIP	29	3422.5	629607
Klf7	invariant	P60	2	2963.5	24256.75
Klf9	invariant	ChromHMM_ActiveEnhancer	85	9626	746274
Klf9	invariant	K27ac_ChIP	62	1111.5	535012.25
Klf9	invariant	P60	5	9317	311553
Klhdc10	invariant	ChromHMM_ActiveEnhancer	96	46168	1391918
Klhdc10	invariant	K27ac_ChIP	42	506	1000939
Klhdc10	invariant	P60	5	65158	1407012.5
Klhdc2	invariant	ChromHMM_ActiveEnhancer	41	121519	1071119
Klhdc2	invariant	K27ac_ChIP	19	237	595165.5
Klhdc7b	invariant	ChromHMM_ActiveEnhancer	37	19517	819517
Klhdc7b	invariant	K27ac_ChIP	48	6932.5	265890.75
Klhdc7b	invariant	P60	7	91449	282402
Klhdc8a	DEG_down	ChromHMM_ActiveEnhancer	105	3474	805926
Klhdc8a	DEG_down	K27ac_ChIP	61	467	883203.5
Klhdc8a	DEG_down	P60	9	78640.5	977887.5
Klhdc8b	DEG_down	ChromHMM_ActiveEnhancer	20	260381	1035281
Klhdc8b	DEG_down	ENCODE	1	331813.5	331813.5
Klhdc8b	DEG_down	K27ac_ChIP	55	29111	834337
Klhdc8b	DEG_down	P60	7	311672.5	1113550.5
Klhl12	invariant	ChromHMM_ActiveEnhancer	87	148031	1276331
Klhl12	invariant	ENCODE	1	257221	257221
Klhl12	invariant	K27ac_ChIP	71	39142	655439
Klhl12	invariant	P60	8	148338.5	477602
Klhl13	invariant	ChromHMM_ActiveEnhancer	1	355018	355018
Klhl13	invariant	K27ac_ChIP	1	328566	328566
Klhl15	invariant	ChromHMM_ActiveEnhancer	12	309101	776401
Klhl15	invariant	K27ac_ChIP	16	19	900777
Klhl18	invariant	ChromHMM_ActiveEnhancer	15	147594	1641906
Klhl18	invariant	K27ac_ChIP	30	56020	613182
Klhl18	invariant	P60	3	207674.5	415612.5
Klhl2	invariant	ChromHMM_ActiveEnhancer	48	2517	555267
Klhl2	invariant	K27ac_ChIP	17	1768	205986.5
Klhl2	invariant	P60	1	205908	205908
Klhl20	invariant	ChromHMM_ActiveEnhancer	108	268411	1052239
Klhl20	invariant	K27ac_ChIP	22	304.5	852010.25
Klhl21	invariant	ChromHMM_ActiveEnhancer	28	175597	785303
Klhl21	invariant	K27ac_ChIP	39	641	879470
Klhl21	invariant	P60	5	223098	874512
Klhl23	DEG_down	ChromHMM_ActiveEnhancer	77	6556	1353044
Klhl23	DEG_down	K27ac_ChIP	24	1686	868540.25
Klhl29	DEG_up	ChromHMM_ActiveEnhancer	68	38182	1356532
Klhl29	DEG_up	K27ac_ChIP	31	1252	1368906
Klhl29	DEG_up	P60	2	1357000	1440945
Klhl3	invariant	ChromHMM_ActiveEnhancer	62	3592	434942
Klhl3	invariant	K27ac_ChIP	41	1062	809041.5
Klhl3	invariant	P60	3	90254.5	819839
Klhl32	invariant	ChromHMM_ActiveEnhancer	45	3424	306124
Klhl32	invariant	K27ac_ChIP	11	477.5	774180.5
Klhl34	invariant	ChromHMM_ActiveEnhancer	35	235	623565
Klhl34	invariant	K27ac_ChIP	13	330.5	511834
Klhl35	invariant	ChromHMM_ActiveEnhancer	49	20304	988804
Klhl35	invariant	K27ac_ChIP	38	69684.5	1110672.25
Klhl35	invariant	P60	1	1864212	1864212
Klhl4	invariant	ChromHMM_ActiveEnhancer	2	1294233	1341433
Klhl4	invariant	K27ac_ChIP	1	1872404.5	1872404.5
Klhl41	invariant	ChromHMM_ActiveEnhancer	79	158380	1204020
Klhl41	invariant	K27ac_ChIP	24	42731	759534.75
Klhl42	invariant	ChromHMM_ActiveEnhancer	44	10421	1107729
Klhl42	invariant	K27ac_ChIP	20	1	723618.75
Klhl42	invariant	P60	1	1228459	1228459
Klhl5	invariant	ChromHMM_ActiveEnhancer	83	13639	1368561
Klhl5	invariant	K27ac_ChIP	23	92544.5	1150549.5
Klhl9	invariant	ChromHMM_ActiveEnhancer	54	37635	742650
Klhl9	invariant	K27ac_ChIP	13	1675	767940
Kndc1	invariant	ChromHMM_ActiveEnhancer	15	2396	792596
Kndc1	invariant	K27ac_ChIP	40	3450	798543.5
Kndc1	invariant	P60	5	10905	807358.5
Knop1	invariant	ChromHMM_ActiveEnhancer	22	14754	124296
Knop1	invariant	K27ac_ChIP	11	138036	1005427
Knop1	invariant	P60	2	598817	1298568.5
Knstrn	invariant	ChromHMM_ActiveEnhancer	38	21503	458097
Knstrn	invariant	K27ac_ChIP	40	22763	602248
Knstrn	invariant	P60	2	268462.5	631435
Kntc1	invariant	ChromHMM_ActiveEnhancer	32	56884	1212684
Kntc1	invariant	K27ac_ChIP	66	65424.5	1093001.25
Kntc1	invariant	P60	14	78102	1166526.25
Kpna1	invariant	ChromHMM_ActiveEnhancer	49	7550	926450
Kpna1	invariant	K27ac_ChIP	24	92606.5	1487494.5
Kpna1	invariant	P60	1	1468916.5	1468916.5
Kpna3	invariant	ChromHMM_ActiveEnhancer	80	6674	1039150
Kpna3	invariant	K27ac_ChIP	32	79509.5	1063379
Kpna3	invariant	P60	1	1063556	1063556
Kpna4	invariant	ChromHMM_ActiveEnhancer	54	26787	394737
Kpna4	invariant	K27ac_ChIP	29	483	517700
Kpna4	invariant	P60	1	529583	529583
Kras	invariant	ChromHMM_ActiveEnhancer	42	9339	733411
Kras	invariant	K27ac_ChIP	17	38901	1328092.5
Kras	invariant	P60	1	612681	612681
Krbox5	invariant	ChromHMM_ActiveEnhancer	14	405794	1711394
Krbox5	invariant	K27ac_ChIP	21	17124.5	722418.5
Krbox5	invariant	P60	1	1699474.5	1699474.5
Kremen1	invariant	ChromHMM_ActiveEnhancer	37	52642	907742
Kremen1	invariant	ENCODE	1	748986	748986
Kremen1	invariant	K27ac_ChIP	63	52726.5	1506225.5
Kremen1	invariant	P60	7	763108	1514694.5
