gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
0610030E20Rik	invariant	ChromHMM_ActiveEnhancer	71	9474	609926
0610030E20Rik	invariant	K27ac_ChIP	39	8460.5	624181
0610030E20Rik	invariant	P60	2	107277	231541.25
1110019D14Rik	DEG_down	ChromHMM_ActiveEnhancer	38	1174	663450
1110019D14Rik	DEG_down	K27ac_ChIP	12	425	532687
1110038B12Rik	invariant	ChromHMM_ActiveEnhancer	6	65829	1184079
1110038B12Rik	invariant	K27ac_ChIP	38	63946	480877
1110038B12Rik	invariant	P60	3	322686	751641.5
1110038F14Rik	invariant	ChromHMM_ActiveEnhancer	32	86294	1121950
1110038F14Rik	invariant	ENCODE	1	861038	861038
1110038F14Rik	invariant	K27ac_ChIP	61	68880.5	856894
1110038F14Rik	invariant	P60	5	427968.5	558118
1110059G10Rik	invariant	ChromHMM_ActiveEnhancer	35	334600	960500
1110059G10Rik	invariant	ENCODE	1	913789	913789
1110059G10Rik	invariant	K27ac_ChIP	39	434305.5	1130681
1110059G10Rik	invariant	P60	3	807110	908872.5
1300002E11Rik	invariant	ChromHMM_ActiveEnhancer	38	58182	884332
1300002E11Rik	invariant	K27ac_ChIP	36	274.5	990996.75
1300002E11Rik	invariant	P60	2	992932	1041793
1500004A13Rik	invariant	ChromHMM_ActiveEnhancer	39	203047	1201647
1500004A13Rik	invariant	ENCODE	1	684271	684271
1500004A13Rik	invariant	K27ac_ChIP	53	762	682211.5
1500004A13Rik	invariant	P60	4	212595	643541.25
1600010M07Rik	invariant	ChromHMM_ActiveEnhancer	32	163598	747450
1600010M07Rik	invariant	K27ac_ChIP	31	28188	931899.5
1600010M07Rik	invariant	P60	1	1114735.5	1114735.5
1700019A02Rik	DEG_down	ChromHMM_ActiveEnhancer	148	23864	928750
1700019A02Rik	DEG_down	K27ac_ChIP	47	37764	1005891
1700025G04Rik	invariant	ChromHMM_ActiveEnhancer	95	8125	885175
1700025G04Rik	invariant	K27ac_ChIP	57	1085	908625.5
1700025G04Rik	invariant	P60	4	3356.5	494965.75
1700026D11Rik	DEG_down	ChromHMM_ActiveEnhancer	53	18766	380834
1700026D11Rik	DEG_down	K27ac_ChIP	34	18968	324217.25
1700026D11Rik	DEG_down	P60	2	21796.5	127946.5
1700034P13Rik	invariant	ChromHMM_ActiveEnhancer	5	49552	98448
1700034P13Rik	invariant	K27ac_ChIP	7	230.5	196097.5
1700063D05Rik	DEG_down	ChromHMM_ActiveEnhancer	22	10546	670496
1700063D05Rik	DEG_down	K27ac_ChIP	44	7122	768994.75
1700063D05Rik	DEG_down	P60	7	421	451572.5
1700069L16Rik	DEG_up	ChromHMM_ActiveEnhancer	22	138128	1176622
1700069L16Rik	DEG_up	ENCODE	1	154752.5	154752.5
1700069L16Rik	DEG_up	K27ac_ChIP	70	594.5	714803.75
1700069L16Rik	DEG_up	P60	9	54844.5	685294.5
1700086O06Rik	invariant	ChromHMM_ActiveEnhancer	131	14335	789435
1700086O06Rik	invariant	K27ac_ChIP	76	620.5	732794.75
1700086O06Rik	invariant	P60	5	53325.5	681486.5
1700109H08Rik	invariant	ChromHMM_ActiveEnhancer	36	48834	912584
1700109H08Rik	invariant	K27ac_ChIP	15	24847.5	914070
1700112J16Rik	DEG_down	ChromHMM_ActiveEnhancer	56	5764	858714
1700112J16Rik	DEG_down	K27ac_ChIP	16	65	719900.75
1700112J16Rik	DEG_down	P60	1	286720	286720
1700123M08Rik	invariant	ChromHMM_ActiveEnhancer	35	7865	1821235
1700123M08Rik	invariant	K27ac_ChIP	22	417	792610.75
1810014B01Rik	invariant	ChromHMM_ActiveEnhancer	44	102575	621675
1810014B01Rik	invariant	K27ac_ChIP	21	477	1464364.5
1810024B03Rik	invariant	ChromHMM_ActiveEnhancer	39	67920	342820
1810024B03Rik	invariant	K27ac_ChIP	21	40136.5	549494
1810024B03Rik	invariant	P60	1	318731	318731
2010308F09Rik	invariant	ChromHMM_ActiveEnhancer	32	39636	1195300
2010308F09Rik	invariant	K27ac_ChIP	14	5101	339762.5
2210016L21Rik	invariant	ChromHMM_ActiveEnhancer	16	243758	1290500
2210016L21Rik	invariant	ENCODE	1	1372138.5	1372138.5
2210016L21Rik	invariant	K27ac_ChIP	65	146832.5	1216295
2210016L21Rik	invariant	P60	7	572725	1453302
2210414B05Rik	DEG_down	ChromHMM_ActiveEnhancer	26	10292	44892
2210414B05Rik	DEG_down	K27ac_ChIP	7	22113	81575.5
2300009A05Rik	invariant	ChromHMM_ActiveEnhancer	26	21659	1138459
2300009A05Rik	invariant	ENCODE	2	863637	902994.5
2300009A05Rik	invariant	K27ac_ChIP	39	301.5	983279
2300009A05Rik	invariant	P60	5	911255	1042745.5
2310010J17Rik	DEG_down	ChromHMM_ActiveEnhancer	46	9784	472534
2310010J17Rik	DEG_down	K27ac_ChIP	16	411.5	530677.5
2310011J03Rik	invariant	ChromHMM_ActiveEnhancer	50	75837	899513
2310011J03Rik	invariant	ENCODE	1	1096585	1096585
2310011J03Rik	invariant	K27ac_ChIP	92	2115.5	535339.25
2310011J03Rik	invariant	P60	10	296755	658440.5
2310030G06Rik	DEG_down	ChromHMM_ActiveEnhancer	13	45436	872536
2310030G06Rik	DEG_down	K27ac_ChIP	22	19826	968282.75
2310030G06Rik	DEG_down	P60	2	18344.5	1015537.25
2310033P09Rik	invariant	ChromHMM_ActiveEnhancer	17	322379	1056279
2310033P09Rik	invariant	K27ac_ChIP	49	19736.5	1000407.5
2310033P09Rik	invariant	P60	3	252524	1051294
2410004B18Rik	invariant	ChromHMM_ActiveEnhancer	20	396386	958736
2410004B18Rik	invariant	K27ac_ChIP	12	13501	825434
2510009E07Rik	invariant	ChromHMM_ActiveEnhancer	38	29365	921550
2510009E07Rik	invariant	K27ac_ChIP	36	872	984933
2510009E07Rik	invariant	P60	2	991001	1041793
2510039O18Rik	invariant	ChromHMM_ActiveEnhancer	15	114905	1458705
2510039O18Rik	invariant	K27ac_ChIP	17	97742.5	1504785.5
2510039O18Rik	invariant	P60	2	1361336.5	1575370.25
2610005L07Rik	invariant	ChromHMM_ActiveEnhancer	37	1814	339014
2610005L07Rik	invariant	K27ac_ChIP	27	480.5	272798
2610005L07Rik	invariant	P60	1	252064.5	252064.5
2610008E11Rik	invariant	ChromHMM_ActiveEnhancer	89	316100	1147100
2610008E11Rik	invariant	K27ac_ChIP	95	174	1215531
2610008E11Rik	invariant	P60	9	614055	1570389.5
2610020C07Rik	invariant	ChromHMM_ActiveEnhancer	69	13066	502866
2610020C07Rik	invariant	K27ac_ChIP	33	26808	654753.5
2610020C07Rik	invariant	P60	2	1211151	1258141.5
2610035D17Rik	invariant	ChromHMM_ActiveEnhancer	22	36338	1260612
2610035D17Rik	invariant	K27ac_ChIP	21	945	1483129.5
2610035D17Rik	invariant	P60	6	1301606.5	1621073.25
2610307P16Rik	invariant	ChromHMM_ActiveEnhancer	52	131280	884480
2610307P16Rik	invariant	K27ac_ChIP	15	66459	470587.5
2700049A03Rik	invariant	ChromHMM_ActiveEnhancer	91	13148	740452
2700049A03Rik	invariant	K27ac_ChIP	39	117.5	1148897
2700062C07Rik	invariant	ChromHMM_ActiveEnhancer	211	4750	1077550
2700062C07Rik	invariant	ENCODE	1	1141538	1141538
2700062C07Rik	invariant	K27ac_ChIP	68	3427	1061534.25
2700062C07Rik	invariant	P60	2	627696.5	887883.5
2700097O09Rik	invariant	ChromHMM_ActiveEnhancer	23	78190	383090
2700097O09Rik	invariant	K27ac_ChIP	12	241.5	342600
2810032G03Rik	invariant	ChromHMM_ActiveEnhancer	68	38370	1356720
2810032G03Rik	invariant	K27ac_ChIP	31	1440	1369094
2810032G03Rik	invariant	P60	2	1357188	1441133
2900005J15Rik	invariant	ChromHMM_ActiveEnhancer	78	13883	700567
2900005J15Rik	invariant	K27ac_ChIP	41	1059	659986.5
2900005J15Rik	invariant	P60	4	42876.5	307692.75
2900009J06Rik	invariant	ChromHMM_ActiveEnhancer	57	106992	267992
2900009J06Rik	invariant	K27ac_ChIP	12	314.5	297290
2900052L18Rik	invariant	ChromHMM_ActiveEnhancer	22	11285	1061135
2900052L18Rik	invariant	ENCODE	1	1361155.5	1361155.5
2900052L18Rik	invariant	K27ac_ChIP	61	58.5	715286.5
2900052L18Rik	invariant	P60	9	9861.5	700450.5
2900076A07Rik	invariant	ChromHMM_ActiveEnhancer	26	70250	880100
2900076A07Rik	invariant	K27ac_ChIP	29	364	935212.5
2900076A07Rik	invariant	P60	2	879807	1441653.25
3010001F23Rik	invariant	ChromHMM_ActiveEnhancer	16	30473	921700
3010001F23Rik	invariant	K27ac_ChIP	21	1273.5	771681
3010001F23Rik	invariant	P60	1	195503.5	195503.5
3110009E18Rik	invariant	ChromHMM_ActiveEnhancer	38	5487	1229250
3110009E18Rik	invariant	K27ac_ChIP	13	718.5	626118
3110040N11Rik	invariant	ChromHMM_ActiveEnhancer	38	79122	1492928
3110040N11Rik	invariant	K27ac_ChIP	38	174	1440515.25
3110040N11Rik	invariant	P60	2	1145735	1543201.5
3110056K07Rik	invariant	ChromHMM_ActiveEnhancer	91	3668	732332
3110056K07Rik	invariant	K27ac_ChIP	39	407.5	1212149.5
4632404H12Rik	invariant	ChromHMM_ActiveEnhancer	22	12260	1454740
4632404H12Rik	invariant	ENCODE	1	1624964	1624964
4632404H12Rik	invariant	K27ac_ChIP	46	1322	795198.5
4632404H12Rik	invariant	P60	4	499794.5	1352556
4833411C07Rik	invariant	ChromHMM_ActiveEnhancer	63	78578	1384322
4833411C07Rik	invariant	K27ac_ChIP	35	106315	1129272.5
4833411C07Rik	invariant	P60	2	892099.5	1452847.75
4833422C13Rik	DEG_down	ChromHMM_ActiveEnhancer	79	472	614572
4833422C13Rik	DEG_down	K27ac_ChIP	22	65574.5	803893
4921504A21Rik	DEG_down	ChromHMM_ActiveEnhancer	87	1555	896355
4921504A21Rik	DEG_down	K27ac_ChIP	17	885.5	896373.5
4921504A21Rik	DEG_down	P60	1	888345.5	888345.5
4921524J17Rik	DEG_down	ChromHMM_ActiveEnhancer	77	63467	1081933
4921524J17Rik	DEG_down	ENCODE	1	673860	673860
4921524J17Rik	DEG_down	K27ac_ChIP	68	59989	1010135.25
4921524J17Rik	DEG_down	P60	9	505538.5	1075291.5
4921531C22Rik	invariant	ChromHMM_ActiveEnhancer	104	4007	1679843
4921531C22Rik	invariant	K27ac_ChIP	68	1824.5	1274553
4921531C22Rik	invariant	P60	5	845405.5	1164144
4930404I05Rik	invariant	ChromHMM_ActiveEnhancer	105	15949	1065749
4930404I05Rik	invariant	K27ac_ChIP	45	138.5	893995
4930404I05Rik	invariant	P60	3	871215.5	1007408.5
4930412C18Rik	DEG_down	ChromHMM_ActiveEnhancer	61	149085	662985
4930412C18Rik	DEG_down	K27ac_ChIP	66	103890	916445.25
4930412C18Rik	DEG_down	P60	4	131574.5	705708.25
4930433N12Rik	invariant	ChromHMM_ActiveEnhancer	9	437501	1405501
4930433N12Rik	invariant	ENCODE	1	184973.5	184973.5
4930433N12Rik	invariant	K27ac_ChIP	9	332319.5	1355660
4930453N24Rik	invariant	ChromHMM_ActiveEnhancer	57	47661	1103861
4930453N24Rik	invariant	K27ac_ChIP	18	599	933691.5
4930455G09Rik	DEG_down	ChromHMM_ActiveEnhancer	72	12198	440002
4930455G09Rik	DEG_down	K27ac_ChIP	37	39402	755596
4930455G09Rik	DEG_down	P60	4	51953.5	1600329.25
4930506C21Rik	invariant	ChromHMM_ActiveEnhancer	62	158020	1383900
4930506C21Rik	invariant	K27ac_ChIP	39	27245.5	1454738
4930506C21Rik	invariant	P60	4	238199.5	1764981.5
4930512B01Rik	invariant	ChromHMM_ActiveEnhancer	62	23265	1071465
4930512B01Rik	invariant	K27ac_ChIP	24	255	603534
4930525G20Rik	invariant	ChromHMM_ActiveEnhancer	14	405915	1711515
4930525G20Rik	invariant	K27ac_ChIP	21	17003.5	722297.5
4930525G20Rik	invariant	P60	1	1699595.5	1699595.5
4930539J05Rik	invariant	ChromHMM_ActiveEnhancer	103	31635	1316135
4930539J05Rik	invariant	K27ac_ChIP	42	345.5	1396159.75
4930539J05Rik	invariant	P60	2	1271737	1470406
4930570G19Rik	invariant	ChromHMM_ActiveEnhancer	75	35046	469354
4930570G19Rik	invariant	K27ac_ChIP	43	793.5	419663
4930570G19Rik	invariant	P60	4	1285.5	466266.75
4930586N03Rik	invariant	ChromHMM_ActiveEnhancer	41	120375	923375
4930586N03Rik	invariant	K27ac_ChIP	32	55501	1118839.25
4930593A02Rik	DEG_down	ChromHMM_ActiveEnhancer	74	5289	480311
4930593A02Rik	DEG_down	K27ac_ChIP	28	1187.5	601257.75
4930594M22Rik	DEG_down	ChromHMM_ActiveEnhancer	61	4670	1610930
4930594M22Rik	DEG_down	K27ac_ChIP	46	484	1084037.5
4930594M22Rik	DEG_down	P60	7	13382.5	449027
4931406C07Rik	invariant	ChromHMM_ActiveEnhancer	40	42748	1618448
4931406C07Rik	invariant	K27ac_ChIP	16	403470	1591069.25
4931406C07Rik	invariant	P60	2	1697374.5	1717576.25
4931414P19Rik	DEG_down	ChromHMM_ActiveEnhancer	37	116007	516207
4931414P19Rik	DEG_down	K27ac_ChIP	34	123709.5	486850.75
4931414P19Rik	DEG_down	P60	5	142370.5	509904.5
4933406I18Rik	DEG_down	ChromHMM_ActiveEnhancer	38	232261	966039
4933406I18Rik	DEG_down	K27ac_ChIP	12	1266	676010.75
4933434E20Rik	invariant	ChromHMM_ActiveEnhancer	21	222864	1652736
4933434E20Rik	invariant	ENCODE	1	1903360	1903360
4933434E20Rik	invariant	K27ac_ChIP	45	90796	959582
4933434E20Rik	invariant	P60	4	221398.5	1630952
5031425E22Rik	invariant	ChromHMM_ActiveEnhancer	70	11231	1261919
5031425E22Rik	invariant	K27ac_ChIP	53	521.5	1237249
5031425E22Rik	invariant	P60	7	11441.5	1176804
5031439G07Rik	DEG_up	ChromHMM_ActiveEnhancer	53	6651	1124349
5031439G07Rik	DEG_up	ENCODE	1	689680	689680
5031439G07Rik	DEG_up	K27ac_ChIP	40	14382	873689.75
5031439G07Rik	DEG_up	P60	4	666183	1145212.75
5430416N02Rik	invariant	ChromHMM_ActiveEnhancer	17	59535	831635
5430416N02Rik	invariant	K27ac_ChIP	16	218.5	1400578
5430416N02Rik	invariant	P60	2	1460271	1573239.25
5730480H06Rik	DEG_down	ChromHMM_ActiveEnhancer	41	204523	1038523
5730480H06Rik	DEG_down	K27ac_ChIP	10	211280.5	1248572.5
5730522E02Rik	invariant	ChromHMM_ActiveEnhancer	6	223437	729100
5730522E02Rik	invariant	K27ac_ChIP	1	227298	227298
5830444B04Rik	invariant	ChromHMM_ActiveEnhancer	12	50796	311054
5830444B04Rik	invariant	ENCODE	1	150145	150145
5830444B04Rik	invariant	K27ac_ChIP	50	20171	268317.25
5830444B04Rik	invariant	P60	8	35721.5	299082.25
6230400D17Rik	invariant	ChromHMM_ActiveEnhancer	56	2428	751500
6230400D17Rik	invariant	K27ac_ChIP	27	4952	619918.5
6330403K07Rik	invariant	ChromHMM_ActiveEnhancer	16	356287	1259750
6330403K07Rik	invariant	K27ac_ChIP	48	345931.5	1343016.5
6330403K07Rik	invariant	P60	4	1096703	1779941.5
6430584L05Rik	invariant	ChromHMM_ActiveEnhancer	67	387	935887
6430584L05Rik	invariant	K27ac_ChIP	55	383.5	1198593
6430584L05Rik	invariant	P60	3	865366.5	942702
6820408C15Rik	invariant	ChromHMM_ActiveEnhancer	69	4987	1038913
6820408C15Rik	invariant	K27ac_ChIP	49	1204	675163
6820408C15Rik	invariant	P60	4	285408.5	506555.5
6820431F20Rik	invariant	ChromHMM_ActiveEnhancer	37	8732	306432
6820431F20Rik	invariant	K27ac_ChIP	27	873.5	284528.5
6820431F20Rik	invariant	P60	1	379446.5	379446.5
8030442B05Rik	invariant	ChromHMM_ActiveEnhancer	23	96899	1382501
8030442B05Rik	invariant	K27ac_ChIP	7	103723.5	1020947
9130401M01Rik	DEG_down	ChromHMM_ActiveEnhancer	88	2825	448675
9130401M01Rik	DEG_down	K27ac_ChIP	35	288.5	347417.5
9130401M01Rik	DEG_down	P60	1	341582	341582
9330111N05Rik	invariant	ChromHMM_ActiveEnhancer	14	112	292100
9330111N05Rik	invariant	K27ac_ChIP	5	160.5	695379
9330162012Rik	invariant	ChromHMM_ActiveEnhancer	40	5701	709451
9330162012Rik	invariant	K27ac_ChIP	21	391	1238918.5
9330175M20Rik	DEG_down	ChromHMM_ActiveEnhancer	130	921	617200
9330175M20Rik	DEG_down	K27ac_ChIP	43	129.5	845545.5
9430015G10Rik	invariant	ChromHMM_ActiveEnhancer	11	144718	920182
9430015G10Rik	invariant	ENCODE	1	838423	838423
9430015G10Rik	invariant	K27ac_ChIP	50	93522	831223
9430015G10Rik	invariant	P60	8	367976.5	879294.75
9430021M05Rik	invariant	ChromHMM_ActiveEnhancer	62	21463	1175650
9430021M05Rik	invariant	K27ac_ChIP	34	1903.5	1248678.5
9430021M05Rik	invariant	P60	3	780789	1032182.5
9430037G07Rik	invariant	ChromHMM_ActiveEnhancer	40	112884	1541750
9430037G07Rik	invariant	K27ac_ChIP	17	51159	1515016
9430041J12Rik	invariant	ChromHMM_ActiveEnhancer	3	436272	490972
9430041J12Rik	invariant	K27ac_ChIP	14	1458.5	641531.75
9430091E24Rik	invariant	ChromHMM_ActiveEnhancer	76	154820	617000
9430091E24Rik	invariant	K27ac_ChIP	46	179555.5	482844
9430091E24Rik	invariant	P60	5	197691.5	461037.5
9530036O11Rik	invariant	ChromHMM_ActiveEnhancer	82	43874	1233574
9530036O11Rik	invariant	K27ac_ChIP	55	43880	1140647.5
9530036O11Rik	invariant	P60	3	212158	276695
9530082P21Rik	DEG_up	ChromHMM_ActiveEnhancer	1	1190066	1190066
9530082P21Rik	DEG_up	K27ac_ChIP	33	3127	787664.5
9530082P21Rik	DEG_up	P60	1	461542.5	461542.5
A230056P14Rik	DEG_up	ChromHMM_ActiveEnhancer	14	36669	1674019
A230056P14Rik	DEG_up	K27ac_ChIP	8	56494	192668
A330008L17Rik	DEG_down	ChromHMM_ActiveEnhancer	57	4958	192842
A330008L17Rik	DEG_down	K27ac_ChIP	9	950.5	192759
A330023F24Rik	DEG_up	ChromHMM_ActiveEnhancer	77	5325	398175
A330023F24Rik	DEG_up	K27ac_ChIP	16	866.5	793922.5
A330023F24Rik	DEG_up	P60	1	1646459	1646459
A330094K24Rik	invariant	ChromHMM_ActiveEnhancer	50	161	1056961
A330094K24Rik	invariant	ENCODE	1	502261.5	502261.5
A330094K24Rik	invariant	K27ac_ChIP	27	475156	1069851
A330094K24Rik	invariant	P60	2	513713	906653
A4galt	invariant	ChromHMM_ActiveEnhancer	32	25726	1057150
A4galt	invariant	K27ac_ChIP	33	81189	1333731.5
A4galt	invariant	P60	3	978074.5	1405550
A530016L24Rik	invariant	ChromHMM_ActiveEnhancer	39	39048	1157448
A530016L24Rik	invariant	K27ac_ChIP	42	53964.5	726400
A530016L24Rik	invariant	P60	2	230212.5	524487.75
A630001G21Rik	invariant	ChromHMM_ActiveEnhancer	34	31057	1252607
A630001G21Rik	invariant	K27ac_ChIP	18	15447	787444.5
A630001G21Rik	invariant	P60	3	121238	660277.5
A730020E08Rik	invariant	ChromHMM_ActiveEnhancer	75	29690	1015790
A730020E08Rik	invariant	K27ac_ChIP	10	196	1019802.5
A730036I17Rik	invariant	ChromHMM_ActiveEnhancer	80	25031	650931
A730036I17Rik	invariant	K27ac_ChIP	31	20728	1092048
A730036I17Rik	invariant	P60	2	351851.5	1021904.75
A730085K08Rik	invariant	ChromHMM_ActiveEnhancer	44	190401	953151
A730085K08Rik	invariant	ENCODE	1	361590	361590
A730085K08Rik	invariant	K27ac_ChIP	39	223813.5	982354
A730085K08Rik	invariant	P60	3	254911	356673.5
A730098A19Rik	invariant	ChromHMM_ActiveEnhancer	88	57986	642300
A730098A19Rik	invariant	K27ac_ChIP	61	61805	697563.5
A730098A19Rik	invariant	P60	9	70609	692230.5
A830018L16Rik	DEG_up	ChromHMM_ActiveEnhancer	22	1614805	1815995
A830018L16Rik	DEG_up	K27ac_ChIP	9	1181580	1666226.5
A930004D18Rik	invariant	ChromHMM_ActiveEnhancer	45	56763	798563
A930004D18Rik	invariant	K27ac_ChIP	18	9720.5	554502.5
A930015D03Rik	invariant	ChromHMM_ActiveEnhancer	5	2747	281447
A930015D03Rik	invariant	K27ac_ChIP	34	75776.5	914024.25
A930015D03Rik	invariant	P60	3	290340.5	1364668
A930018P22Rik	invariant	ChromHMM_ActiveEnhancer	110	11831	1087469
A930018P22Rik	invariant	ENCODE	1	1558525	1558525
A930018P22Rik	invariant	K27ac_ChIP	37	24969.5	693481.5
A930018P22Rik	invariant	P60	3	257170.5	1570892.5
A930037H05Rik	invariant	ChromHMM_ActiveEnhancer	26	60002	788398
A930037H05Rik	invariant	ENCODE	1	620868.5	620868.5
A930037H05Rik	invariant	K27ac_ChIP	67	25000.5	610103.5
A930037H05Rik	invariant	P60	10	39836.5	544922.5
AA465934	invariant	ChromHMM_ActiveEnhancer	16	101601	797900
AA465934	invariant	K27ac_ChIP	13	118403	1221910.5
AA465934	invariant	P60	2	1232891.5	1452964.25
AI837181	invariant	ChromHMM_ActiveEnhancer	25	2644	1344444
AI837181	invariant	ENCODE	2	875787	992651
AI837181	invariant	K27ac_ChIP	98	5291.5	1072250
AI837181	invariant	P60	11	60364	1117108.5
AU022252	invariant	ChromHMM_ActiveEnhancer	53	485988	1215812
AU022252	invariant	K27ac_ChIP	42	189822	1337222
AU022252	invariant	P60	5	561781.5	1321823.5
AU041133	invariant	ChromHMM_ActiveEnhancer	52	527013	1096250
AU041133	invariant	ENCODE	2	710891	1107554.25
AU041133	invariant	K27ac_ChIP	79	303	1335610
AU041133	invariant	P60	8	714949.5	1225865.25
AW046200	DEG_down	ChromHMM_ActiveEnhancer	42	5357	142693
AW046200	DEG_down	K27ac_ChIP	23	1102.5	102779.5
AW046200	DEG_down	P60	1	57902.5	57902.5
AW822252	invariant	ChromHMM_ActiveEnhancer	8	104078	599278
AW822252	invariant	K27ac_ChIP	6	58.5	90530
Aaas	invariant	ChromHMM_ActiveEnhancer	28	78129	972500
Aaas	invariant	K27ac_ChIP	32	54869	358359.25
Aaas	invariant	P60	1	1451256	1451256
Aacs	DEG_down	ChromHMM_ActiveEnhancer	37	15486	632314
Aacs	DEG_down	K27ac_ChIP	40	1004.5	1130771.75
Aacs	DEG_down	P60	8	71493.5	880032.5
Aagab	invariant	ChromHMM_ActiveEnhancer	27	56840	1027440
Aagab	invariant	ENCODE	2	1067056	1106413.5
Aagab	invariant	K27ac_ChIP	40	203720.5	1087031.75
Aagab	invariant	P60	5	793733	992055
Aars1	invariant	ChromHMM_ActiveEnhancer	75	67744	712856
Aars1	invariant	K27ac_ChIP	46	67219.5	499837
Aars1	invariant	P60	5	85355.5	348701.5
Aars2	invariant	ChromHMM_ActiveEnhancer	26	11859	518159
Aars2	invariant	K27ac_ChIP	32	11401.5	857042.25
Aars2	invariant	P60	2	12404.5	27336
Aasdh	invariant	ChromHMM_ActiveEnhancer	5	18286	615514
Aasdh	invariant	K27ac_ChIP	6	45862.5	502808.25
Aasdhppt	invariant	ChromHMM_ActiveEnhancer	10	224629	409629
Aasdhppt	invariant	ENCODE	1	1294645.5	1294645.5
Aasdhppt	invariant	K27ac_ChIP	9	162.5	295804
Aatf	invariant	ChromHMM_ActiveEnhancer	15	194378	1047222
Aatf	invariant	K27ac_ChIP	17	87.5	459774.5
Aatf	invariant	P60	2	11068.5	231141.25
Abca1	DEG_down	ChromHMM_ActiveEnhancer	21	12695	238605
Abca1	DEG_down	K27ac_ChIP	18	15437.5	329124.5
Abca1	DEG_down	P60	1	323214.5	323214.5
Abca7	invariant	ChromHMM_ActiveEnhancer	58	37606	1417100
Abca7	invariant	ENCODE	1	1420628	1420628
Abca7	invariant	K27ac_ChIP	95	1152.5	795909
Abca7	invariant	P60	10	202149.5	905653.75
Abcb1a	invariant	ChromHMM_ActiveEnhancer	53	38877	494277
Abcb1a	invariant	K27ac_ChIP	14	37478.5	492912
Abcb7	invariant	ChromHMM_ActiveEnhancer	10	85744	819556
Abcb7	invariant	K27ac_ChIP	9	100	977658.5
Abcb8	invariant	ChromHMM_ActiveEnhancer	59	22637	570337
Abcb8	invariant	K27ac_ChIP	34	9912	598949.25
Abcb8	invariant	P60	5	217410	664443.5
Abcc1	invariant	ChromHMM_ActiveEnhancer	12	19942	933658
Abcc1	invariant	K27ac_ChIP	17	435.5	542065.5
Abcc1	invariant	P60	1	938767	938767
Abcc10	invariant	ChromHMM_ActiveEnhancer	26	196252	708402
Abcc10	invariant	K27ac_ChIP	34	404	739131.5
Abcc10	invariant	P60	2	779243.5	794175
Abcc3	invariant	ChromHMM_ActiveEnhancer	12	84603	874197
Abcc3	invariant	K27ac_ChIP	45	31517	682861.5
Abcc3	invariant	P60	6	168783.5	771056.5
Abcc8	DEG_up	ChromHMM_ActiveEnhancer	10	265967	412617
Abcc8	DEG_up	ENCODE	1	367135	367135
Abcc8	DEG_up	K27ac_ChIP	72	13971.5	765685
Abcc8	DEG_up	P60	8	43015.5	761550.75
Abcd1	invariant	ChromHMM_ActiveEnhancer	10	66703	211697
Abcd1	invariant	K27ac_ChIP	26	725	209078.5
Abcd1	invariant	P60	1	196353.5	196353.5
Abcd4	invariant	ChromHMM_ActiveEnhancer	59	57387	1267313
Abcd4	invariant	K27ac_ChIP	48	66833.5	1060675
Abcd4	invariant	P60	5	225415.5	1204110.5
Abcf1	invariant	ChromHMM_ActiveEnhancer	5	20939	306139
Abcf1	invariant	K27ac_ChIP	35	51084.5	892026
Abcf1	invariant	P60	3	265648.5	1339976
Abcg1	invariant	ChromHMM_ActiveEnhancer	28	13725	1098325
Abcg1	invariant	K27ac_ChIP	40	1987.5	472581.5
Abcg1	invariant	P60	3	16665	68211.5
Abhd11	invariant	ChromHMM_ActiveEnhancer	24	12948	944852
Abhd11	invariant	K27ac_ChIP	20	190.5	801175.5
Abhd11	invariant	P60	4	170726	942853
Abhd12	invariant	ChromHMM_ActiveEnhancer	60	5841	1007941
Abhd12	invariant	K27ac_ChIP	35	512.5	1074307
Abhd12	invariant	P60	2	1796254.5	1843056.75
Abhd14b	DEG_down	ChromHMM_ActiveEnhancer	21	102559	924059
Abhd14b	DEG_down	ENCODE	1	1682308.5	1682308.5
Abhd14b	DEG_down	K27ac_ChIP	49	673.5	1133393
Abhd14b	DEG_down	P60	6	15311	1035928.25
Abhd15	invariant	ChromHMM_ActiveEnhancer	32	271279	697921
Abhd15	invariant	K27ac_ChIP	44	15741.5	985902.25
Abhd15	invariant	P60	4	1241093.5	1564475.75
Abhd16a	invariant	ChromHMM_ActiveEnhancer	6	70963	1047287
Abhd16a	invariant	K27ac_ChIP	41	978.5	578313.5
Abhd16a	invariant	P60	3	459478	614849.5
Abhd17a	invariant	ChromHMM_ActiveEnhancer	33	142459	724041
Abhd17a	invariant	ENCODE	1	826781	826781
Abhd17a	invariant	K27ac_ChIP	83	18844.5	473655.5
Abhd17a	invariant	P60	9	26951	560815
Abhd17b	invariant	ChromHMM_ActiveEnhancer	65	27585	799715
Abhd17b	invariant	K27ac_ChIP	47	836	1096259
Abhd17b	invariant	P60	4	983162	1237759.75
Abhd3	invariant	ChromHMM_ActiveEnhancer	42	1329	1523329
Abhd3	invariant	K27ac_ChIP	17	534.5	1421946
Abhd4	DEG_down	ChromHMM_ActiveEnhancer	33	195112	848812
Abhd4	DEG_down	K27ac_ChIP	37	222764	854774
Abhd4	DEG_down	P60	5	494175.5	861709.5
Abhd5	invariant	ChromHMM_ActiveEnhancer	44	143208	911808
Abhd5	invariant	ENCODE	1	314397	314397
