direction_label	distance_category	H3K27ac	H3K27me3	H3K4me1	H3K4me3
Lost in BAP1-KO	<100kb	77.08333333333334	3.125	97.91666666666666	36.45833333333333
Lost in BAP1-KO	100-500kb	67.06443914081146	7.637231503579953	89.26014319809069	40.09546539379475
Lost in BAP1-KO	500kb-1Mb	57.14285714285714	16.602316602316602	88.8030888030888	32.432432432432435
Lost in BAP1-KO	>1Mb	37.04600484261501	37.28813559322034	87.89346246973365	30.26634382566586
Gained in BAP1-KO	<100kb	12.62135922330097	45.14563106796117	68.44660194174757	16.019417475728158
Gained in BAP1-KO	100-500kb	11.264822134387352	52.4703557312253	71.44268774703558	12.648221343873518
Gained in BAP1-KO	500kb-1Mb	16.049382716049383	56.79012345679012	73.14814814814815	14.814814814814813
Gained in BAP1-KO	>1Mb	25.96685082872928	45.85635359116022	76.79558011049724	19.337016574585636
