term	estimate	or	or_lower	or_upper	p_value	model	standardized_beta	standardized_se
(Intercept)	-1.21684196610927	0.296163987539206	0.277514928369307	0.316066267247424	2.19509066452691e-294	A: Baseline 5hmC	0.503463497436481	0.0172516048368657
wt_hmc	13.955968289686	1150800.43618379	672502.185626354	1969274.85475358	0	A: Baseline 5hmC	1.07287995001471	0.0210710050975298
(Intercept)	0.682638426779377	1.97909254051815	1.89431087966902	2.06766868414911	4.37662213247227e-205	B: K119ub signal	0.37155069358239	0.0151770576907508
gb_ctrl_signal	-0.233414324394348	0.791825432957748	0.77247337894302	0.81166229590544	2.52673575817832e-76	B: K119ub signal	-0.337268927212953	0.018241487083081
(Intercept)	-0.830314710809907	0.435912078489004	0.406197663664725	0.467800179986869	1.45108409935219e-117	C: Combined	0.495165365338287	0.0176491676354534
wt_hmc	15.2238175870617	4089026.93725488	2302203.40167465	7262669.0071927	0	C: Combined	1.17034721724832	0.0225313914571012
gb_ctrl_signal	-0.413506234112149	0.661327411578335	0.638885057066582	0.684558107076404	7.37009154160159e-122	C: Combined	-0.597490339707058	0.0254523541719874
