variable	5mC diff	5hmC diff	Delta ratio	H3K36me3	H3K36me2	H2AK119ub	H3K27me3	H3K27ac	ATAC-seq
5mC diff	1	-0.685309480790782	-0.809701636511732	0.0180382076365537	-0.184626122550363	0.410448508460194	0.261019518508173	-0.337801986973562	-0.340552509245553
5hmC diff	-0.685309480790782	1	0.917050036767317	-0.0339739719290274	0.319816834977293	-0.300177438899504	-0.397516944093328	0.180525458662689	0.320341100381655
Delta ratio	-0.809701636511732	0.917050036767317	1	-0.0327009731522447	0.311640029992876	-0.342897570089923	-0.381380775604807	0.263854186292272	0.358563815861804
H3K36me3	0.0180382076365537	-0.0339739719290274	-0.0327009731522447	1	-0.0821313828264082	-0.0398441770706252	0.259913494985042	0.0642661856367949	-0.00946924810432392
H3K36me2	-0.184626122550363	0.319816834977293	0.311640029992876	-0.0821313828264082	1	0.0510016825531952	-0.483291482890792	0.253471288620581	0.381034963060466
H2AK119ub	0.410448508460194	-0.300177438899504	-0.342897570089923	-0.0398441770706252	0.0510016825531952	1	0.310484721347643	-0.291029501693046	-0.222629028281399
H3K27me3	0.261019518508173	-0.397516944093328	-0.381380775604807	0.259913494985042	-0.483291482890792	0.310484721347643	1	-0.497483365672781	-0.426603312661674
H3K27ac	-0.337801986973562	0.180525458662689	0.263854186292272	0.0642661856367949	0.253471288620581	-0.291029501693046	-0.497483365672781	1	0.432306349495279
ATAC-seq	-0.340552509245553	0.320341100381655	0.358563815861804	-0.00946924810432392	0.381034963060466	-0.222629028281399	-0.426603312661674	0.432306349495279	1
