gene_id	enriched_in	symbol
75504	Control	Cfap276
229725	Control	Clcc1
76123	Control	Gpsm2
80883	Control	Ntng1
109959	Control	Amy2a5
100043688	Control	Amy2a2
100043686	Control	Amy2a3
66368	Control	Rtca
77559	Control	Agl
76561	Control	Snx7
99586	Control	Dpyd
320739	Control	6530403H02Rik
242202	Control	Pde5a
71647	Control	4930447N08Rik
83398	Control	Ndst3
13645	Control	Egf
271981	Control	Tbck
77669	Control	Arhgef38
74776	Control	Ppa2
67006	Control	Cisd2
74446	Control	Slc9b1
59308	Control	Emcn
26377	Control	Dapp1
108943	Control	Trmt10a
17777	Control	Mttp
26876	Control	Adh4
381476	Control	Stpg2
12167	Control	Bmpr1b
69219	Control	Ddah1
66421	Control	2410004B18Rik
99167	Control	Ssx2ip
99542	Control	AI115009
20447	Control	St6galnac3
19352	Control	Rabggtb
55993	Control	Msh4
242259	Control	Slc44a5
433667	Control	Ankrd13c
70143	Control	2210414B05Rik
17096	Control	Lyn
18201	Control	Nsmaf
252838	Control	Tox
72201	Control	Otud6b
100201	Control	Tmem64
17389	Control	Mmp16
30952	Control	Cngb3
269513	Control	Nkain3
13841	Control	Epha7
12014	Control	Bach2
140577	Control	Ankrd6
102638670	Control	4930578G10Rik
433698	Control	Spata31f1a
17279	Control	Melk
269529	Control	Fbxo10
64424	Control	Polr1e
230126	Control	Shb
74735	Control	Trim14
94181	Control	Nans
12819	Control	Col15a1
272031	Control	Plppr1
209186	Control	Acnat2
17841	Control	Mup2
17840	Control	Mup1
100039008	Control	Mup10
326623	Control	Tnfsf15
56079	Control	Astn2
100502896	Control	Msantd5f3
100862015	Control	Msantd5f4
545637	Control	Msantd5f7
623281	Control	Msantd5f9
242506	Control	Frmd3
19266	Control	Ptprd
17475	Control	Mpdz
77634	Control	Snapc3
329877	Control	Dennd4c
545652	Control	Gm13275
545654	Control	Gm13285
668208	Control	Gm13288
12695	Control	Patj
320438	Control	Alg6
11639	Control	Ak4
72685	Control	Dnajc6
18578	Control	Pde4b
381538	Control	Mroh7
72475	Control	Ssbp3
15572	Control	Elavl4
230674	Control	Kdm4a
16656	Control	Hivep3
11426	Control	Macf1
230737	Control	Gnl2
332937	Control	Tfap2e
329942	Control	Csmd2
230815	Control	Man1c1
15903	Control	Id3
212632	Control	Iffo2
72754	Control	Arhgef10l
71529	Control	Kazn
230895	Control	Vps13d
100041379	Control	Zfp980
667666	Control	Zfp600
17769	Control	Mthfr
26372	Control	Clcn6
63958	Control	Ube4b
75330	Control	4930558F17Rik
545728	Control	Speer1e
69345	Control	1700003C15Rik
12293	Control	Cacna2d1
50791	Control	Magi2
320719	Control	6030443J06Rik
