ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0010976	positive regulation of neuron projection development	22/1311	239/28832	0.09205020920502092	2.0244024651404753	3.4708735908832904	0.0014195984890878809	0.018777885099000226	0.014581322571745024	Ep300/Cx3cl1/Adnp/Tenm3/Alk/Abl2/Bmp7/Ret/P2ry2/Cobl/Pak3/Kalrn/Ptprd/Pcp4/Rgs2/Fzd1/Gprc5b/Cd24a/Ptn/Wnt5a/Ptprz1/Zfp804a	22
GO:0022600	digestive system process	14/1311	123/28832	0.11382113821138211	2.5031968397487177	3.6463509922305724	0.001429806549174448	0.01886722989888891	0.014650700211474766	Cracd/Ireb2/Npsr1/Hrh2/Slc5a1/Abcg2/Tifab/Neurog1/Vil1/Epb41/Chrm3/Slc9a4/Isx/Gpr39	14
GO:0003208	cardiac ventricle morphogenesis	11/1311	84/28832	0.13095238095238096	2.8799535069557956	3.7660148445861794	0.001456527113604235	0.019127422167355614	0.014852743592674763	Tnni1/Myl3/Tgfbr1/Eva1a/Foxc2/Foxf1/Tnnc1/Tbx5/Tgfb2/Pou4f1/Sfrp2	11
GO:0051279	regulation of release of sequestered calcium ion into cytosol	11/1311	84/28832	0.13095238095238096	2.8799535069557956	3.7660148445861794	0.001456527113604235	0.019127422167355614	0.014852743592674763	Cx3cl1/Bdkrb1/Jph2/Npsr1/Drd1/Aplnr/Casq2/Ms4a2/Tgfb2/Thy1/Gpr39	11
GO:0030850	prostate gland development	9/1311	60/28832	0.15	3.298855835240275	3.8904642597259307	0.001475976195417626	0.01929009080279065	0.014979058341810712	Cyp19a1/Gli2/Bmp7/Apc/Sfrp1/Hoxd13/Psapl1/Esr1/Wnt5a	9
GO:0090659	walking behavior	9/1311	60/28832	0.15	3.298855835240275	3.8904642597259307	0.001475976195417626	0.01929009080279065	0.014979058341810712	Cln8/Chat/Drd1/Abl2/Dmrt3/Cwh43/Trh/Atg7/Scn1a	9
GO:2000241	regulation of reproductive process	21/1311	225/28832	0.09333333333333334	2.0526214085939487	3.4596040226492746	0.0015169187993414228	0.019777869691652013	0.015357826306609559	Msx2/Grb14/Ythdc2/Meioc/Vegfa/Dmrt1/Src/Snai1/Bmp7/P2ry2/Arhgdib/Crisp4/Apc/Shb/Sfrp1/Hoxd13/Adam7/Prdm14/Msx1/Esr1/Wnt5a	21
GO:1903524	positive regulation of blood circulation	8/1311	49/28832	0.16326530612244897	3.5905913852955362	3.961211415169268	0.001530795103338468	0.019911270594138216	0.015461414201639163	Slc1a1/Ptpn1/Hsp90aa1/Tgfb2/Scn5a/Adra1b/Rgs2/Avpr1a	8
GO:0002176	male germ cell proliferation	4/1311	12/28832	0.3333333333333333	7.330790744978388	4.7874107131292565	0.0015702760161730677	0.020058604785964548	0.015575821514578866	Spink2/Dmrt1/Src/Eif2s2	4
GO:0021892	cerebral cortex GABAergic interneuron differentiation	4/1311	12/28832	0.3333333333333333	7.330790744978388	4.7874107131292565	0.0015702760161730677	0.020058604785964548	0.015575821514578866	Nkx2-1/Drd1/Ascl1/Dlx2	4
GO:0033632	regulation of cell-cell adhesion mediated by integrin	4/1311	12/28832	0.3333333333333333	7.330790744978388	4.7874107131292565	0.0015702760161730677	0.020058604785964548	0.015575821514578866	Dpp4/Skap1/Podxl/Cd24a	4
