gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score
Ntf3	-1.724033	5e-6	299.889718	TRUE	-0.285282	-0.547582	10	3	2	FALSE	NA	4	4	0	0.530984267119101	-0.505327199925212	TRUE	TRUE	2	0	4.421687961938113	3.1543900611881472	0.45122468060345583	8.027302703729715
Adgra3	0.620559	4e-6	116.62857	TRUE	0.145487	0.081821	11	4	6	TRUE	Mutant	4	3	1	0.468984760584422	-0.2522730202685127	TRUE	TRUE	3	1	4.421687961938113	2.7454159788521024	-0.1448308589661983	8.022273081824016
Atp8a1	-0.128662	0.230332	4934.116161	FALSE	-0.389988	-0.69543	8	0	2	FALSE	NA	3	3	0	0.638633307655441	-0.467283196042312	TRUE	TRUE	2	0	3.249284911282674	3.8644871253168738	0.8976683397198779	8.011440376319426
Srgap1	0.16824	0.245299	880.286967	FALSE	-0.066366	0.336566	11	6	2	TRUE	Control	4	0	4	0.518034814074546	0.3899679174323385	TRUE	TRUE	3	1	4.421687961938113	3.0689701768752244	-0.48218563092721706	8.00847250788612
Syt17	0.122355	0.864784	30.263146	FALSE	0.3846	0.832646	13	6	5	FALSE	NA	4	0	4	0.46079191713743	0.37381386122816473	TRUE	TRUE	2	0	4.421687961938113	2.6913726353202914	0.8746950771053259	7.987755674363729
Tox3	0.57469	0.415945	13.299608	FALSE	0.062786	0.247462	15	8	4	FALSE	NA	5	0	5	0.489643717385458	0.4463939684621732	TRUE	TRUE	2	0	5.594091012593551	2.8816909005726132	-0.49744997394134033	7.978331939224824
Ppp2r5c	-0.10565	0.333555	1021.454355	FALSE	-0.314629	-0.377368	6	0	2	TRUE	Control	3	0	3	0.530490907371143	0.4357380908360607	TRUE	TRUE	3	1	3.249284911282674	3.1511356586701242	0.5763539192725831	7.976774489225381
Atrnl1	0.777725	0	937.712174	TRUE	-0.052731	0.164755	8	0	1	TRUE	Control	3	2	1	0.696587804835094	-0.040197393549359986	TRUE	TRUE	3	1	3.249284911282674	4.246778672880047	-0.5403223116527954	7.955741272509924
Dicer1	0.097371	0.393049	1333.912679	FALSE	0.283024	0.522716	3	2	0	FALSE	NA	4	0	4	0.517357134314328	0.43616706301529096	TRUE	TRUE	2	0	4.421687961938113	3.064499924230587	0.44159705866884963	7.9277849448375495
Dll1	0.502112	0.280706	15.09395	FALSE	0.661265	1.201201	11	4	4	FALSE	NA	3	1	2	0.449490280780529	0.16195845438983034	TRUE	TRUE	2	0	3.249284911282674	2.6168224232895883	2.0543345910724806	7.920441925644743
Mocs1	-0.306454	0.12252	245.332121	FALSE	-0.176809	-0.584443	7	2	3	TRUE	Mutant	3	3	0	0.610648956106594	-0.5707876022366843	TRUE	TRUE	3	1	3.249284911282674	3.6798909061831395	-0.01128064894151427	7.917895168524299
Fstl4	1.021347	0	1376.841758	TRUE	0.29406	0.395167	6	3	2	TRUE	Mutant	4	0	4	0.356058151486337	0.32478229352364074	TRUE	TRUE	3	1	4.421687961938113	2.000505915715103	0.48865216746881174	7.910846045122027
Iqsec3	1.629625	0	1043.078088	TRUE	-0.021762	0.250987	6	1	3	TRUE	Mutant	2	0	2	0.879348111485193	0.8404621257224735	FALSE	TRUE	2	1	2.0768818606272355	5.452340343889004	-0.6723674062908914	7.856854798225348
