1700037H04Rik	2
1700039M15Rik	5
1700040D17Rik	1
1700040E09Rik	3
1700041C23Rik	3
1700041G16Rik	3
1700041I07Rik	5
1700041M05Rik	8
1700041M19Rik	5
1700042D02Rik	2
1700042G07Rik	5
1700042G15Rik	6
1700042O05Rik	5
1700044C05Rik	5
1700044K03Rik	9
1700046C09Rik	5
1700047F07Rik	7
1700047G03Rik	6
1700047G07Rik	7
1700047K16Rik	2
1700047M11Rik	2
1700048F04Rik	5
1700048O14Rik	8
1700048O20Rik	9
1700048P04Rik	7
1700049E15Rik	3
1700049E17Rik1	3
1700049E17Rik2	3
1700049E22Rik	12
1700051A21Rik	6
1700052H01Rik	9
1700052I22Rik	6
1700054A03Rik	6
1700054K19Rik	6
1700054O05Rik	4
1700055C04Rik	6
1700056E22Rik	1
1700056N10Rik	2
1700057G04Rik	6
1700057H15Rik	5
1700057H21Rik	10
1700060C16Rik	5
1700061F12Rik	9
1700061I17Rik	6
1700061J23Rik	5
1700061N14Rik	7
1700062C10Rik	4
1700063A18Rik	5
1700063D05Rik	8
1700063H04Rik	3
1700063H06Rik	4
1700063O14Rik	6
1700064H15Rik	6
1700064J06Rik	6
1700064M15Rik	9
1700065J11Rik	3
1700065J18Rik	6
1700065L07Rik	8
1700065O20Rik	1
1700066B17Rik	8
1700066B19Rik	3
1700066C05Rik	7
1700066J03Rik	4
1700066M21Rik	2
1700066O22Rik	3
1700067G17Rik	6
1700067K01Rik	2
1700067P10Rik	8
1700069L16Rik	6
1700069P05Rik	6
1700072B07Rik	10
1700072G22Rik	5
1700072O05Rik	5
1700074H08Rik	1
1700074P13Rik	4
1700080C20Rik	2
1700080O16Rik	8
1700081B01Rik	6
1700081H04Rik	7
1700083H02Rik	5
1700084D21Rik	4
1700084F23Rik	8
1700084M14Rik	5
1700086D15Rik	8
1700086O06Rik	5
1700086P04Rik	7
1700087I21Rik	6
1700088E04Rik	4
1700092C02Rik	4
1700092C17Rik	4
1700092E19Rik	8
1700092K14Rik	7
