sample_id,batch,condition,genotype,mice_pooled,original_sample_name,sex,asm_low_cpg_coverage_al1_al2_count,asm_low_cpg_coverage_al1_count,asm_low_cpg_coverage_al2_count,asm_low_meth_diff_hmc_count,asm_low_meth_diff_mc_count,asm_low_meth_diff_modc_count,asm_no_cpg_coverage_al1_count,asm_no_cpg_coverage_al2_count,asm_no_cpg_reads_count,asm_no_reads_count,asm_pass_hmc_count,asm_pass_mc_count,asm_pass_modc_count,bamlet_duplicate_reads_genome,bamlet_inc_duplicates_reads_genome,bamlet_mapped_bases_cigar_genome,bamlet_mapped_reads_genome,bamlet_mean_mapped_length_genome,bamlet_mean_phred_genome,bamlet_prop_duplicated_reads_genome,cpg_cov_to_gw_cov_incl_ns,dqs_lambda_hmc_specificity,dqs_lambda_mc_sensitivity,dqs_lambda_modc_sensitivity,dqs_lambda_other_perc,dqs_puc19_hmc_specificity,dqs_puc19_mc_specificity,dqs_puc19_modc_specificity,dqs_puc19_other_perc,dqs_ss_sq2hmc_percent_hmc_at_hmc,fraction_of_pipeline_input_bamlet_mapped_bases_cigar_genome,fraction_of_pipeline_input_prelude_general_stats_rr_total_bases_retained,fraction_of_pipeline_input_prelude_naive_resolve_attempted_resolve_bases,fraction_of_pipeline_input_prelude_naive_resolve_attempted_resolve_reads,gen_acc_long_ctrl_a_accuracy,gen_acc_long_ctrl_a_qscore,gen_acc_long_ctrl_c_accuracy,gen_acc_long_ctrl_c_qscore,gen_acc_long_ctrl_g_accuracy,gen_acc_long_ctrl_g_qscore,gen_acc_long_ctrl_overall_accuracy,gen_acc_long_ctrl_overall_qscore,gen_acc_long_ctrl_t_accuracy,gen_acc_long_ctrl_t_qscore,modality_summary_cg_MT_c,modality_summary_cg_autosomes_c,modality_summary_cg_autosomes_hmc,modality_summary_cg_autosomes_mc,modality_summary_cg_autosomes_modc,modality_summary_chg_MT_c,modality_summary_chg_autosomes_c,modality_summary_chg_autosomes_modc,modality_summary_chh_MT_c,modality_summary_chh_autosomes_c,modality_summary_chh_autosomes_modc,prelude_biopython_resolve_attempted_resolve_reads,prelude_biopython_resolve_attempted_resolve_reads_percentage,prelude_biopython_resolve_resolved_reads,prelude_biopython_resolve_resolved_reads_percentage,prelude_general_stats_create_resolved_read_discarded,prelude_general_stats_create_resolved_read_discarded_percentage,prelude_general_stats_r1_total_bases_processed,prelude_general_stats_r2_total_bases_processed,prelude_general_stats_reads_remaining_before_compute_mm_tag_percentage,prelude_general_stats_rr_total_bases_retained_percentage,prelude_general_stats_total_reads_processed,prelude_general_stats_total_reads_retained,prelude_general_stats_total_reads_retained_percentage,prelude_hp_trim_r1_adapters_found,prelude_hp_trim_r2_adapters_found,prelude_naive_resolve_attempted_resolve_bases,prelude_naive_resolve_attempted_resolve_reads,prelude_naive_resolve_resolved_reads,prelude_naive_resolve_resolved_reads_percentage,prelude_polyg_trim_r1_adapters_found,prelude_polyg_trim_r2_adapters_found,prelude_trimming_reads_discarded,qlmap_mean_cov_excl_ns,qlmap_mean_cov_incl_ns,qlmap_perc_cov_0000,qlmap_perc_cov_0001,qlmap_perc_cov_0002,qlmap_perc_cov_0005,qlmap_perc_cov_0010,qlmap_perc_cov_0025,qlmap_perc_cov_0030,tss_coverage_bias_ratio
evoC-Bap1-ctrl-F,1,control,Bap1-ff,3398-3379-3138,JR_CF,female,56183.0,29326.0,70200.0,35964.0,24391.0,24001.0,490.0,3849.0,49925.0,1084.0,745.0,12318.0,12708.0,157246602.0,524620181.0,47734066780.0,367373579.0,129.93331450218417,34.36792207250941,0.29973418426310977,0.45096,0.997265,0.986421,0.989169,0.09410874227324334,0.999607,0.999853,0.999411,0.0637473642916687,0.9865979436981649,0.492412,0.840631,0.886208,0.98376,0.9998735308602942,38.98015435678166,0.9996154686416379,34.150682378955246,0.999873944755353,38.99439080381154,0.9997473759325066,35.97525276576995,0.9996144717956651,34.13943844489935,99.8565925728293,17.48670326733721,10.251570430556932,72.09390365517567,82.513297,99.94153681909458,99.37865212034411,0.6181019614366112,99.92997198879551,99.14556002080204,0.8519533009766255,85699202.0,0.13569517099742656,71284690.0,0.8318010942505626,14414512.0,0.022823779277249944,96939344363.0,96939344363.0,0.97717622072275,0.9485702927519994,641982413.0,617142244.0,0.9613070880183131,249580987.0,265436971.0,85908429066.0,631556756.0,545857554.0,0.8643048290025734,390413.0,10434797.0,10425657.0,17.358118605315372,17.47578990795926,10.689999999999998,89.31,88.86,87.02,79.97,23.89,8.28,nan
evoC-Bap1-ctrl-F-B2,2,control,Bap1-ff,,,female,38224.0,3508.0,46682.0,49397.0,34130.0,33581.0,63.0,3288.0,39557.0,1034.0,1172.0,16439.0,16988.0,196145540.0,628312746.0,54631232883.0,432167206.0,126.41225924717666,34.39448532221769,0.31217819668423535,0.447948,0.995266,0.982432,0.987182,0.04244663403215395,0.999542,0.999491,0.999034,0.06098490623570667,0.97942419483309,0.469575,0.828721,0.878843,0.991919,0.9998960186005796,39.83044341966386,0.9995581931049576,33.54767510611519,0.9998612426285146,38.57743935697981,0.9997190029552596,35.51298247567138,0.9995460989796671,33.43038840997036,99.879419202492,17.398352414856486,10.243043296417838,72.20956420492651,82.601648,99.95535543451918,99.37096532750117,0.6262364891440949,99.9359155273282,99.1423280542323,0.8555749942922946,106664084.0,0.13956710435826425,88882892.0,0.8332972887106029,17781192.0,0.023266214703332882,116341802161.0,116341802161.0,0.9767337852966671,0.9429681069596476,770475511.0,746468267.0,0.968841003176284,319608830.0,334564589.0,102246216321.0,764249459.0,657585375.0,0.8604328956417358,752648.0,6300432.0,6226052.0,19.87754183620633,20.0011069688547,10.659999999999997,89.34,88.92,87.39,82.11,37.78,19.31,nan
evoC-Bap1-ctrl-M,1,control,Bap1-ff,3139-3147-3387,JR_CM,male,57737.0,4701.0,106658.0,35418.0,23332.0,22976.0,96.0,4907.0,56448.0,1033.0,643.0,12729.0,13085.0,129150791.0,465236581.0,44399237513.0,336085790.0,132.10685733841945,34.29775319058417,0.2776023990254541,0.451708,0.997332,0.98685,0.989529,0.090760482585019,0.999539,0.99959,0.999129,0.08187493603520622,0.9864826724945364,0.507964,0.849414,0.89564,0.981319,0.9998814006401933,39.25917655264774,0.9996039859966183,34.022894567919344,0.9998712924291968,38.90395906387419,0.9997487557898401,35.99903937629527,0.9996242940910254,34.25151974447152,99.86181636560393,17.22190882376665,10.188803226396876,72.42784856159264,82.778091,99.92648456809684,99.37455753361819,0.6224358008855703,99.93068021878925,99.14057081066693,0.8572201533143683,76934734.0,0.13543992761428664,63391473.0,0.8239642838045037,13543261.0,0.023842264659047124,87406282352.0,87406282352.0,0.9761577353409528,0.9483884566304808,578849552.0,554492586.0,0.957921767554551,206848195.0,222801274.0,78284529530.0,568035847.0,491101113.0,0.8645600723857133,588188.0,10958162.0,10813705.0,16.143209988738196,16.254991605475507,10.219999999999999,89.78,89.13,86.39,76.53,19.09,6.02,nan
evoC-Bap1-ctrl-M-B2,2,control,Bap1-ff,,,male,44651.0,11813.0,60497.0,66485.0,46444.0,45614.0,126.0,4188.0,47955.0,1087.0,1598.0,21639.0,22469.0,196424525.0,666259619.0,59036807621.0,469835094.0,125.65431653558004,34.362696486765714,0.2948167942322796,0.452289,0.996187,0.982736,0.986566,0.039356173368989354,0.999294,0.999798,0.999092,0.07561627262186824,0.9749572079739749,0.472318,0.822654,0.877523,0.993559,0.9999029329418295,40.1292813242069,0.9995236347556629,33.22059932208611,0.999860787379059,38.563213900376084,0.9997091623481323,35.36349370371987,0.9995318569795535,33.29621447135683,99.8760676603584,17.6328448866374,10.082796838735094,72.13383066560024,82.367155,99.93609733653699,99.35138688954846,0.645285494899592,99.93089869961983,99.11430030552683,0.8831968428376502,121023140.0,0.1471510047326521,100068114.0,0.8268510798843923,20955026.0,0.02547903756338538,124993860259.0,124993860259.0,0.9745209624366146,0.937473112816399,827773909.0,801486793.0,0.9682436040636309,345034518.0,361826564.0,109685009920.0,822441819.0,701418679.0,0.8528489952673479,638150.0,5435471.0,5332090.0,21.477167445724238,21.614016471576743,10.079999999999998,89.92,89.47,87.95,83.19,44.51,27.44,nan
evoC-Bap1-mut-F,1,mutant,Bap1-ff-cre,3380-3388-3381,JR_MF,female,50766.0,10537.0,49426.0,102394.0,70854.0,69766.0,126.0,3737.0,59778.0,1099.0,1755.0,33295.0,34383.0,205536201.0,681119262.0,61469646933.0,475583061.0,129.2511276657938,34.36041008360024,0.30176242615202975,0.448684,0.99727,0.987251,0.989994,0.08871464294241088,0.99935,0.999101,0.998451,0.05492859282932188,0.9866927411503399,0.488199,0.835672,0.880339,0.985055,0.9998669859812942,38.76102585155219,0.9996419049840993,34.46001723617806,0.9998744051342187,39.010281138504695,0.9997477584685969,35.981834055732264,0.9995984552770383,33.962660771503984,99.73455759599332,17.532656522936254,9.679515402753145,72.62280332617082,82.467343,99.92998536057539,99.35564206005762,0.6410695671046008,99.94703636694899,99.1292161310649,0.868244526467326,108303800.0,0.1318548089699464,89691566.0,0.8281479135542797,18612234.0,0.022659524029387163,125911161703.0,125911161703.0,0.9773404759706128,0.9492618777062415,833848753.0,802774569.0,0.9627340283376307,342276939.0,361286223.0,110844458895.0,821386803.0,713083003.0,0.8681451910300536,461771.0,12463412.0,12461950.0,22.35301637454326,22.504641918057334,10.61,89.39,89.03,87.77,83.81,48.79,31.08,nan
evoC-Bap1-mut-F-B2,2,mutant,Bap1-ff-cre,,,female,56956.0,11080.0,57968.0,78581.0,53730.0,52995.0,120.0,3668.0,59995.0,1125.0,1382.0,26233.0,26968.0,170626519.0,589200757.0,52779890827.0,418574238.0,126.09445597796203,34.395621183443566,0.2895897823837996,0.448064,0.995381,0.982721,0.987353,0.04042301048487527,0.999544,0.99848,0.998023,0.0911438553850828,0.9788044929811297,0.4843,0.827047,0.875932,0.992762,0.9999003357591042,40.01460636746952,0.9995210063221722,33.196702187412406,0.9998654895648056,38.71244022192768,0.9997123634868602,35.41155984601407,0.9995454623314907,33.42430120037469,99.90922996755812,17.597898369821095,9.771169949077876,72.48680847023898,82.402102,99.9385261648011,99.33509163503179,0.66136330387613,99.95400781441302,99.11566321200723,0.8816031147598505,96687163.0,0.13494178585136582,80865384.0,0.8363611206587993,15821779.0,0.022081722613017787,108981792777.0,108981792777.0,0.9779182773869822,0.9441907202453467,721733727.0,700688399.0,0.9708405922950584,307744169.0,322084454.0,95460670276.0,716510178.0,619823015.0,0.8650582141486342,536920.0,5222222.0,5223549.0,19.20502048808389,19.32371429021918,10.680000000000007,89.32,88.88,87.24,81.51,34.34,16.29,nan
evoC-Bap1-mut-M,1,mutant,Bap1-ff-cre,3391-3392-3386,JR_MM,male,59728.0,12330.0,63718.0,96367.0,66799.0,65876.0,143.0,3565.0,58366.0,1078.0,1622.0,31190.0,32113.0,168159014.0,573792430.0,53226176282.0,405633416.0,131.21743471450094,34.3374136798377,0.2930659332678892,0.45364,0.99704,0.986247,0.98922,0.10155288146898123,0.999302,0.999252,0.998553,0.06978714919495539,0.9867882839103044,0.493674,0.847424,0.893494,0.984009,0.9998659767806288,38.728199540889406,0.9995936972800139,33.91150270287425,0.9998771703015159,39.10696614234149,0.9997357939337281,35.78057215040372,0.9995925612983549,33.89937720763955,99.85852903483514,17.481622972772286,9.83422104269024,72.51621466136707,82.518377,99.92383757092627,99.3452950967047,0.6511118698715666,99.92889455294296,99.11509943039002,0.8821680623890857,95859025.0,0.1364351066323435,79763351.0,0.8320901553087985,16095674.0,0.022908797565064313,107816374324.0,107816374324.0,0.9770912024349356,0.9484375390652902,714015724.0,686502267.0,0.9614665950970009,270131642.0,288240203.0,96333319065.0,702597941.0,606738916.0,0.8635648933676565,439907.0,11392974.0,11417783.0,19.35319649797662,19.486592831143305,10.11,89.89,89.37,87.51,81.1,35.4,18.09,nan
evoC-Bap1-mut-M-B2,2,mutant,Bap1-ff-cre,,,male,52730.0,43806.0,29833.0,95168.0,67051.0,66142.0,1070.0,3191.0,59343.0,1151.0,1951.0,30068.0,30977.0,225667090.0,715075361.0,62334485356.0,489408271.0,127.36704516381171,34.37393604363425,0.31558504502856166,0.452228,0.995393,0.982386,0.987007,0.04670573117190991,0.999487,0.998769,0.998206,0.05636400901824144,0.9799718019179232,0.466583,0.834,0.884384,0.992629,0.9998967211391779,39.85988561034236,0.9995525653715654,33.49270407463191,0.9998594212548787,38.520803377396035,0.9997175484913223,35.490561011944685,0.9995465193986884,33.43441286164054,99.86347895578051,17.441728864119824,9.903161185056742,72.50832426349186,82.558271,99.95179561340082,99.3110248000059,0.6845756282509069,99.93927407213734,99.08215030377755,0.914456079304306,122733211.0,0.13975038683330876,102407503.0,0.8343911331383647,20325708.0,0.02314390320693947,133597733502.0,133597733502.0,0.9768560967930605,0.9430292803397434,884753202.0,857905929.0,0.9696556362392232,362403905.0,380673162.0,118151689028.0,878231637.0,755498426.0,0.8602496131666912,771328.0,6552875.0,6521565.0,22.680446783950686,22.821544912639315,10.049999999999997,89.95,89.51,88.11,83.91,48.96,32.88,nan
