Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph - Tags
-250000	-1.18015047894258	-0.000235452132498528	-0.000235100176593353	-1.19090212447156	-0.000237245411248462	-0.000236756408198213
-249000	-1.18051875635469	-0.000238029432225611	-0.000237661154813507	-1.19116401776636	-0.000240757692513512	-0.000240495799218709
-248000	-1.18141670680152	-0.000236521003906459	-0.000235623053459625	-1.19183469791834	-0.00023914625140472	-0.000238475571252742
-247000	-1.18209022314978	-0.00023615534863809	-0.000235481832289827	-1.19235575533794	-0.000237767217851983	-0.000237246160432386
-246000	-1.18289741531546	-0.000236739498046771	-0.000235932305881094	-1.19296056081768	-0.000238043987799005	-0.000237439182319259
-245000	-1.18360881896506	-0.000236163536148125	-0.000235452132498528	-1.193295446032	-0.000237580296462782	-0.000237245411248462
-244000	-1.18425996682185	-0.00023868058008241	-0.000238029432225611	-1.19370856745331	-0.000241170813934821	-0.000240757692513512
-243000	-1.18494209878525	-0.000237203135869856	-0.000236521003906459	-1.1943178680366	-0.000239755551988013	-0.00023914625140472
-242000	-1.18584721999251	-0.000237060469845347	-0.00023615534863809	-1.1949681596832	-0.000238417509498583	-0.000237767217851983
-241000	-1.18651971959116	-0.000237411997645422	-0.000236739498046771	-1.19560084550757	-0.000238676673623374	-0.000238043987799005
-240000	-1.18661079895114	-0.000236254615508107	-0.000236163536148125	-1.19587568898165	-0.000237855139936855	-0.000237580296462782
-239000	-1.18688013057206	-0.000238949911703322	-0.00023868058008241	-1.19638122759137	-0.00024167635254455	-0.000241170813934821
-238000	-1.18747589233157	-0.000237798897629367	-0.000237203135869856	-1.19694349012683	-0.000240317814523466	-0.000239755551988013
-237000	-1.18832905228234	-0.000237913629796115	-0.000237060469845347	-1.19786873227377	-0.000239342751645529	-0.000238417509498583
-236000	-1.18887708032322	-0.000237960025686306	-0.000237411997645422	-1.19840386364853	-0.000239211804998127	-0.000238676673623374
-235000	-1.19004495103548	-0.000237422486220368	-0.000236254615508107	-1.19939069941671	-0.000238841975705035	-0.000237855139936855
-234000	-1.19072884893241	-0.000239633809600257	-0.000238949911703322	-1.19984309948092	-0.000242128752608766	-0.00024167635254455
-233000	-1.19170080804838	-0.000238770856745331	-0.000237798897629367	-1.20065815807781	-0.000241132873120352	-0.000240317814523466
-232000	-1.19292652646225	-0.000239139348209986	-0.000237913629796115	-1.20194964413764	-0.000240634237705357	-0.000239342751645529
-231000	-1.19382324610692	-0.000238856745330979	-0.000237960025686306	-1.20278990742227	-0.000240052068282764	-0.000239211804998127
