group	n	median_gc	q25_gc	q75_gc	mean_gc
Lost CTCF anchors	1085	0.428514297140572	0.401783928642854	0.45870825834833	0.431782297040645
Gained CTCF anchors	2192	0.450532421262973	0.422915416916617	0.483271337012946	0.453794105801297
All CTCF peaks (baseline)	32474	0.506493506493506	0.458874458874459	0.554112554112554	0.50674853831888
