.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Bap1_Math1_ctrl_3139_1	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
Bap1_Math1_ctrl_3139_2	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
Bap1_Math1_ctrl_3200_1	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
Bap1_Math1_ctrl_3200_2	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
Bap1_Math1_mut_3201_1	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
Bap1_Math1_mut_3201_2	1	1	0.25	1	0.25	0.25	1	1	1	0.25	0.25
Bap1_Math1_mut_3391_1	1	1	0.25	1	0.25	0.25	1	1	1	0.25	0.25
Bap1_Math1_mut_3391_2	1	1	0.25	1	0.25	0.25	1	1	1	0.25	0.25
