stripe_id	direction	direction_confidence	significant_FDR05	stripe_logFC	stripe_FDR	anchor_type	symbol	dist_to_tss	gene_pool	log2FoldChange	padj	baseMean	is_deg
stripe_0005	gained	high	TRUE	0.244460333857849	4.68186497475822e-06	Active_Promoter	Xkr4	0	anchor	0.573696911286475	0.00522588950563854	4384.58765974474	TRUE
stripe_0007	gained	low	FALSE	0.0290610526731544	0.352498081295614	Other	St18	0	anchor	-0.230646895188298	0.120114553019918	5952.42229020602	FALSE
stripe_0010	unchanged	high	TRUE	-0.0807967904188398	0.0200344918647619	Other	Adhfe1	0	anchor	0.261704999391799	0.375434334570346	48.9797707034943	FALSE
stripe_0012	unchanged	high	TRUE	0.102793512099755	0.00655120946801396	Other	Ncoa2	0	anchor	0.23916830222389	0.012291690739028	4069.06322107074	FALSE
stripe_0014	unchanged	low	FALSE	0.00224664496650804	0.965410087003305	Other	Tram1	0	anchor	0.0850840213482889	0.687810393197558	438.209520394143	FALSE
stripe_0017	unchanged	high	TRUE	0.0883020543182901	0.0150291201975996	Active_Promoter	Kcnb2	0	anchor	0.406662345692994	0.365409377772122	2034.89534932954	FALSE
stripe_0019	unchanged	low	FALSE	-0.0229500823223355	0.506099141808691	Active_Promoter	Rdh10	0	anchor	-0.219348017168898	0.0794731705142659	381.718356598442	FALSE
stripe_0020	unchanged	low	FALSE	-0.0140586431835345	0.729920324243256	Active_Promoter	Tmem70	0	anchor	0.0250817662645364	0.959554885048107	84.9824340430853	FALSE
stripe_0038	gained	low	FALSE	-0.0233312486338965	0.460364056033056	Active_Promoter	B3gat2	0	anchor	-0.582353175939614	2.78639616379013e-13	387.684198361824	TRUE
stripe_0039	lost	low	FALSE	-0.0390908615878929	0.230890729389164	Active_Promoter	B3gat2	0	anchor	-0.582353175939614	2.78639616379013e-13	387.684198361824	TRUE
stripe_0040	gained	low	FALSE	-0.0221691117363285	0.659023188944259	Active_Promoter	B3gat2	0	anchor	-0.582353175939614	2.78639616379013e-13	387.684198361824	TRUE
stripe_0042	unchanged	low	FALSE	-0.0123686376975063	0.730319954813442	Other	Sdhaf4	0	anchor	0.210778664520395	0.750621887576356	19.0653466590306	FALSE
stripe_0051	unchanged	low	FALSE	-0.01675684874533	0.556560816042353	Active_Promoter	Adgrb3	0	anchor	0.132846652053808	0.641327028095928	26119.8143448606	FALSE
stripe_0058	gained	low	FALSE	-0.015583165826339	0.681633771432339	Active_Promoter	Zfp451	0	anchor	0.081996926066111	0.53025203290554	1022.61878618503	FALSE
stripe_0060	unchanged	low	FALSE	0.0117189517574832	0.703707120942364	Other	Ccdc115	0	anchor	-0.0364721571783775	0.963714141551431	36.4240374390702	FALSE
stripe_0061	unchanged	low	FALSE	-0.00495100575675433	0.878755351552745	Active_Promoter	Amer3	0	anchor	-0.380452660824883	0.00150910411236948	546.781337342106	TRUE
stripe_0072	lost	low	FALSE	-0.013633423309784	0.659981208290704	Active_Promoter	Hs6st1	0	anchor	-0.29451866132578	0.00173974987115286	682.35213810006	FALSE
stripe_0073	lost	low	FALSE	0.0243011900106456	0.601771827325733	Active_Promoter	Hs6st1	0	anchor	-0.29451866132578	0.00173974987115286	682.35213810006	FALSE
stripe_0074	unchanged	low	FALSE	-0.0447882952040764	0.154736307389092	Other	Kansl3	0	anchor	0.112784132973296	0.425097003481703	684.164779861605	FALSE
stripe_0075	unchanged	low	FALSE	-0.0206148670129161	0.513730539518303	Active_Promoter	Sema4c	0	anchor	-0.593305219169466	0.000685449816092053	160.558835645822	TRUE
stripe_0078	gained	low	FALSE	0.0187627475335342	0.710015611861104	Active_Promoter	Tmem131	0	anchor	-0.107534729613465	0.474099843691299	2032.32845791727	FALSE
stripe_0081	unchanged	high	TRUE	-0.0840956587123781	0.0182247780706134	Active_Promoter	Lipt1	0	anchor	-0.35967229758595	0.810641617033027	5.51690882278826	FALSE
