#Coverage (X)	Coverage
1.0	37.54639628134231
2.0	14.416535147142739
3.0	4.2775500895122605
4.0	1.1987932645960342
5.0	0.30277097593838675
6.0	0.07909705393250022
7.0	0.024502064586926053
8.0	0.011392210921570722
9.0	0.00774918660643209
10.0	0.006410735099606768
11.0	0.005713294729716267
12.0	0.005219337146485259
13.0	0.004869167706218036
14.0	0.0045976983339812705
15.0	0.004352168797694844
16.0	0.004147658690811795
17.0	0.003960796477969097
18.0	0.003776319115672777
19.0	0.003615726948851261
20.0	0.003455795202185641
21.0	0.0032915707245422254
22.0	0.003130574967642019
23.0	0.0029717072312251958
24.0	0.0028180861660018763
25.0	0.0026651255209344527
26.0	0.002530179670003463
27.0	0.002395710789173222
28.0	0.002267332449747528
29.0	0.002150878363053721
30.0	0.0020526592105341024
31.0	0.0019546968880774784
32.0	0.0018736119694864328
33.0	0.0017920500807946382
34.0	0.0017297504465147995
35.0	0.0016682946824317924
36.0	0.0016196070412775043
37.0	0.0015764229013797149
38.0	0.0015345962917905354
39.0	0.001494530802602867
40.0	0.0014597853646307613
41.0	0.0014277549872900863
42.0	0.0013997605108784228
43.0	0.0013733437048273345
44.0	0.0013494218193415008
45.0	0.0013237021234431268
46.0	0.0012994500278864507
47.0	0.0012757482824525823
48.0	0.0012490012663164407
49.0	0.0012222175601834806
50.0	0.0011956906840993042
51.0	0.0011691638080151279
