pair_class	sample	group	center_value	background_mean	enrichment
Invariant-SE	ctrl_M1	ctrl	7.00610952165262	6.02169044725584	1.16347885747687
Invariant-SE	ctrl_M2	ctrl	9.34063478736542	8.34025468450932	1.11994598974467
Invariant-SE	ctrl_M3	ctrl	9.43895633488239	8.21609332233324	1.14883752710368
Invariant-SE	mut_M1	mut	8.04280654911301	7.1385021768435	1.12667984821844
Invariant-SE	mut_M2	mut	8.25178959330574	7.23917604600007	1.13987966874561
Invariant-SE	mut_M3	mut	7.26784657861948	6.43802684818748	1.12889348708846
