gene	me2_fold	me2_fdr	me2_n_peaks	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	chromatin_state	dmr_status
1700066C05Rik	1.29521657752165	3.98986217372441e-05	2	NA	NA	NA	NA	NA	NA	NA	NA
1700069L16Rik	-0.6093430457206	0.0242552851402116	1	0.0225587601456088	5.51634804871161e-07	TRUE	-0.0142802064223104	0.000171893003923092	TRUE	Other	Both mC+hmC DMR
1700073E17Rik	-0.667073340247252	0.0158066043472278	5	NA	NA	NA	NA	NA	NA	NA	NA
1700080N15Rik	0.73344093048118	7.35744941659234e-05	2	NA	NA	NA	NA	NA	NA	NA	NA
1700083H02Rik	-0.65725578208055	0.00449468270667369	2	NA	NA	NA	NA	NA	NA	NA	NA
1700084J12Rik	-0.551180483415315	0.0397041922289157	1	NA	NA	NA	NA	NA	NA	NA	NA
1700085C21Rik	-0.650601403929446	0.0187636423464559	4	NA	NA	NA	NA	NA	NA	NA	NA
1700092E19Rik	0.582645134366194	0.00284126004206492	1	NA	NA	NA	NA	NA	NA	NA	NA
1700092K14Rik	0.837675970388706	0.00418142098224391	18	NA	NA	NA	NA	NA	NA	NA	NA
1700095B10Rik	-0.5235779066058	0.0448974012429991	1	NA	NA	NA	NA	NA	NA	NA	NA
1700095J03Rik	-0.568110769713313	0.03493762398451	4	NA	NA	NA	NA	NA	NA	NA	NA
1700096J18Rik	-0.615974088731621	0.0201698280865223	1	NA	NA	NA	NA	NA	NA	NA	NA
1700099I09Rik	-0.555631255335025	0.0384215619059004	1	NA	NA	NA	NA	NA	NA	NA	NA
1700101O22Rik	0.695661992059167	0.00201742131760557	2	NA	NA	NA	NA	NA	NA	NA	NA
1700104L18Rik	0.901830163338889	0.000408801441645568	1	NA	NA	NA	NA	NA	NA	NA	NA
1700108F19Rik	-0.58582378034999	0.0244791816314891	3	NA	NA	NA	NA	NA	NA	NA	NA
1700108J01Rik	0.612588371055105	0.0122123186267545	1	NA	NA	NA	NA	NA	NA	NA	NA
1700110C19Rik	-0.493350822118627	0.0492702589092481	2	NA	NA	NA	NA	NA	NA	NA	NA
1700112H15Rik	0.536404002586772	0.0343813813996741	1	NA	NA	NA	NA	NA	NA	NA	NA
1700112J16Rik	0.78359412645243	0.002356970250218	7	NA	NA	NA	NA	NA	NA	NA	NA
1700120G07Rik	0.64630190590954	0.0167193370018734	1	NA	NA	NA	NA	NA	NA	NA	NA
1700123O21Rik	0.431937340905541	0.0354923882680074	2	NA	NA	NA	NA	NA	NA	NA	NA
1700128A07Rik	-0.559209876895066	0.0315503391417303	2	NA	NA	NA	NA	NA	NA	NA	NA
1700129C05Rik	-0.56208022580357	0.0362613831495731	8	0.000164603255766838	0.980884937373101	FALSE	-0.00386053498479841	0.41028264125257	FALSE	Other	Not DMR
1810007C17Rik	0.557976418621318	0.0377939276102695	3	NA	NA	NA	NA	NA	NA	NA	NA
1810013A23Rik	0.583163292160279	0.0284512219780985	1	NA	NA	NA	NA	NA	NA	NA	NA
2010106C02Rik	0.55051956286117	0.0398825850503024	2	NA	NA	NA	NA	NA	NA	NA	NA
2010109A12Rik	0.736909641361346	0.00116734731495913	1	0.0369192890993502	0.000579136637655779	TRUE	-0.0168626599619253	0.0225133515666527	TRUE	Active_Promoter	Both mC+hmC DMR
2210039B01Rik	0.573599284973865	0.0324581984004451	1	NA	NA	NA	NA	NA	NA	NA	NA
2210408I21Rik	1.26071766851847	6.13567734577205e-05	3	-6.24580149879428e-05	0.956953398502527	FALSE	-0.0040161707970014	1.85534626122736e-07	TRUE	Active_Promoter	hmC DMR only
2210414B05Rik	-0.84213430640434	0.00371098804054091	1	NA	NA	NA	NA	NA	NA	NA	NA
2210420H20Rik	-0.572712993285765	0.0336427954510586	1	NA	NA	NA	NA	NA	NA	NA	NA
2310008N11Rik	-0.538833239232321	0.0398391856675819	2	NA	NA	NA	NA	NA	NA	NA	NA
2310043L19Rik	0.480396380817758	0.0105653129492841	3	NA	NA	NA	NA	NA	NA	NA	NA
2310057J18Rik	0.626428622453367	0.0173744741514563	1	-0.00629268178353737	0.557099661306312	FALSE	-0.00715717507494784	0.194181931844986	FALSE	Other	Not DMR
2810001G20Rik	0.902610775408513	0.00173047266650223	1	NA	NA	NA	NA	NA	NA	NA	NA
2810032G03Rik	0.400181352834418	0.00929414952307092	13	NA	NA	NA	NA	NA	NA	NA	NA
