feature	display_name	lr_standardized_beta	lr_rank	linear_standardized_beta	linear_abs_beta	linear_rank
baseline_hmc	Baseline 5hmC	1.25057903448455	1	-0.00839635616422939	0.00839635616422939	1
k119ub	H2AK119ub	-1.04905932630743	2	0.00685371981349398	0.00685371981349398	2
baseline_mc	Baseline 5mC	0.106823212121539	5	0.00677081229207365	0.00677081229207365	3
log_expression	Expression (log10)	0.749163908306879	3	-0.00518318127958201	0.00518318127958201	4
log_gene_length	Gene length (log10)	-0.2420714422565	4	0.00505901048024013	0.00505901048024013	5
atac_count	ATAC peaks	-0.104618311741778	6	0.00133908289454573	0.00133908289454573	6
cpg_density	CpG density	0.0819900645664465	7	-0.000104168665821559	0.000104168665821559	7
