Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04022	cGMP-PKG signaling pathway	22/804	172/11035	0.127906976744186	1.75553916464191	2.7995084788682	0.0068496649109216	0.0497742316860303	0.0390951634681841	333329/107589/16644/73181/18795/11548/11550/11607/11651/11549/16369/18018/18158/67653/11554/18159/207728/16533/16531/70405/110893/12315	22
D1 (Least impaired)	Human Diseases	Neurodegenerative disease	mmu05012	Parkinson disease	63/845	274/11035	0.22992700729927	3.00265624325141	9.66636359506746	8.887105606977e-16	2.88830932226752e-13	2.31064745781402e-13	215999/12867/14977/30791/12868/68194/68197/20422/22190/14677/66916/66594/12861/68202/17991/14678/22142/19184/67130/26444/12866/22153/17992/12314/68342/12048/12859/78330/20617/140499/11950/20655/110323/19185/22146/66052/12865/20463/22145/66142/66218/69875/66413/66152/66495/26440/22334/13063/12857/106947/16573/333182/170731/12864/407785/108058/56228/19172/67264/50868/12858/214922/19167	63
D1 (Least impaired)	Human Diseases	Neurodegenerative disease	mmu05014	Amyotrophic lateral sclerosis	74/845	374/11035	0.197860962566845	2.58390026263329	8.97371789386803	1.34120823850117e-14	2.17946338756439e-12	1.74357071005152e-12	56009/215999/12867/18643/12868/229279/53379/68194/68197/20422/66916/66594/12861/68202/11465/17991/12015/22241/22142/19184/67819/67130/26444/103172/12866/22153/17992/230908/68342/12048/14813/12859/225027/630952/78330/11950/67443/20655/110323/19185/22146/66052/12865/20463/22145/66142/66218/19386/69875/66413/19058/66152/66495/26440/13063/14775/56488/18412/12857/19324/16573/333182/12864/407785/53598/51897/19172/68942/67264/21681/56085/110379/12858/19167	74
D1 (Least impaired)	Organismal Systems	Environmental adaptation	mmu04714	Thermogenesis	55/845	238/11035	0.23109243697479	3.017875789369	9.06231407974885	5.11949112016563e-14	5.54611538017943e-12	4.43689230414354e-12	12867/66706/12801/66379/12868/68194/68197/23945/52469/66916/66594/12861/68202/11465/17991/29861/67130/16890/12866/17992/68342/12859/67605/66853/78330/11950/20104/231430/69802/110323/329003/66052/12865/20463/66142/66218/67155/69875/66152/432530/66495/83766/327826/56716/20663/16653/19744/12857/333182/12864/407785/11909/108079/67264/12858	55
D1 (Least impaired)	Human Diseases	Neurodegenerative disease	mmu05020	Prion disease	56/845	273/11035	0.205128205128205	2.67880443028372	8.08802879145844	5.63440896150098e-12	4.57795728121955e-10	3.66236582497564e-10	215999/12867/13653/12868/68194/68197/20422/19122/66916/66594/12861/68202/17991/12015/22142/19184/67130/26444/13001/12866/22153/17992/68342/14813/12859/78330/11950/20655/110323/19185/22146/66052/12865/20463/22145/26417/66142/66218/69875/66413/19058/66152/66495/26440/22334/13063/12857/16573/333182/12864/407785/11909/19172/67264/12858/19167	56
D1 (Least impaired)	Human Diseases	Neurodegenerative disease	mmu05010	Alzheimer disease	70/845	389/11035	0.179948586118252	2.34997946486972	7.80578318978314	8.41731978504393e-12	5.47125786027855e-10	4.37700628822284e-10	14296/215999/14362/12867/14977/30791/12868/68194/68197/14369/20422/66916/66594/12861/68202/17991/12015/22241/22142/19184/67130/26444/13001/12866/384783/22153/17992/12314/68342/14813/12859/78330/20617/11950/93687/110323/19185/22146/66052/12865/20463/22145/26417/66142/66218/69875/66413/19058/66152/66495/26440/22334/13063/16653/11938/12857/106947/16573/333182/12864/407785/51897/19172/212398/67264/23797/208117/12858/214922/19167	70
D1 (Least impaired)	Metabolism	Energy metabolism	mmu00190	Oxidative phosphorylation	37/845	141/11035	0.26241134751773	3.42687481640018	8.35162524092518	1.44448815308508e-11	7.77810272898461e-10	6.22248218318769e-10	12867/76252/12868/68194/68197/11984/66916/66594/12861/68202/17991/67130/12866/17992/68342/12859/78330/11950/69802/110323/66052/12865/20463/66142/66218/69875/66290/66152/66495/13063/12857/333182/12864/407785/67264/11975/12858	37
D1 (Least impaired)	Human Diseases	Neurodegenerative disease	mmu05022	Pathways of neurodegeneration - multiple diseases	80/845	481/11035	0.166320166320166	2.17200359212194	7.56834094537943	1.67528366470438e-11	7.77810272898461e-10	6.22248218318769e-10	14296/215999/14362/12867/12868/68194/68197/14369/20422/22190/19122/66916/66594/12861/68202/17991/12015/22241/22142/19184/67819/67130/26444/13001/12866/22153/17992/230908/12314/68342/12048/14813/12859/12064/78330/20617/140499/11950/67443/93687/20655/110323/19185/22146/66052/12865/20463/22145/26417/66142/66218/69875/66413/19058/66152/66495/26440/22334/13063/14775/16653/11938/18412/12857/19324/16573/333182/170731/12864/407785/108058/53598/56228/51897/19172/68942/212398/67264/12858/19167	80
D1 (Least impaired)	Human Diseases	Cancer: overview	mmu05208	Chemical carcinogenesis - reactive oxygen species	49/845	229/11035	0.213973799126638	2.79432056019224	7.90119982360782	2.54528982549938e-11	1.03402399160912e-09	8.27219193287298e-10	12867/12868/68194/68197/66916/66594/12861/68202/17991/16476/12015/67130/384214/12866/17992/66447/68342/12859/78330/14872/11950/20655/110323/66052/12865/20463/26417/66142/66218/69875/66152/66495/22334/20663/16653/15251/12857/333182/56484/12864/19271/407785/11352/67264/19211/14871/50868/23797/12858	49
D1 (Least impaired)	Human Diseases	Neurodegenerative disease	mmu05016	Huntington disease	56/845	308/11035	0.181818181818182	2.3743948359333	7.04458615532279	7.52596976012948e-10	2.71771130226898e-08	2.17416904181518e-08	12867/66491/12868/68194/68197/20422/66916/66594/12861/68202/17991/22241/22142/19184/67130/26444/237336/12866/22153/17992/68342/12859/12064/74325/78330/11950/20655/110323/19185/22146/66052/12865/20463/22145/66142/66218/69875/66413/66152/66495/26440/22334/13063/14775/12857/16573/333182/12864/407785/53598/21780/51897/19172/67264/12858/19167	56
