gene	mc_diff	mc_q	mc_ctrl	mc_mut	hmc_diff	hmc_q	hmc_ctrl	hmc_mut	coordinated_pattern	combined_effect
Ly6e	0.372204968944099	0.0180285046086702	0.307142857142857	0.679347826086957	-0.372204968944099	0.0153989584701517	0.692857142857143	0.320652173913043	TRUE	0.744409937888199
Lypla2	0.346955128205128	0.0479489528034997	0.583333333333333	0.930288461538462	-0.366666666666667	0.0310183111573974	0.366666666666667	0	TRUE	0.713621794871795
Fzd7	0.312127083843246	1.2920169834578e-07	0.0488095238095238	0.36093660765277	0.265250469119687	7.01230751590497e-06	0.129761904761905	0.395012373881591	FALSE	0.577377552962933
Tprn	0.229831103013905	0.00132457811614441	0.187751314568512	0.417582417582418	-0.218525983759513	0.00204543773796473	0.520723785957315	0.302197802197802	TRUE	0.448357086773418
Tssk5	0.23866319102892	0.00636717172242834	0.432692307692308	0.671355498721228	-0.202718211030232	0.00792663539826734	0.42948717948718	0.226768968456948	TRUE	0.441381402059151
Lgi3	0.215466246038094	0.000240116308586218	0.494175627240143	0.709641873278237	-0.220432699428301	7.75133352080564e-05	0.452732974910394	0.232300275482094	TRUE	0.435898945466394
Inpp5j	0.178495115995116	0.000778745820415949	0.619047619047619	0.797542735042735	-0.1841367859225	8.94477976527236e-05	0.326622540908255	0.142485754985755	TRUE	0.362631901917616
Sap30	0.238656687743644	2.72746342891198e-07	0.541650793650794	0.780307481394438	-0.118645738906608	0.00235589276654616	0.227047619047619	0.108401880141011	TRUE	0.357302426650253
Tmem238	0.201768377315756	2.55639276273926e-15	0.529905744698139	0.731674122013895	-0.14233218763899	2.47441579265141e-09	0.332883724709515	0.190551537070524	TRUE	0.344100564954747
Syt1	0.183930197132614	4.49998937144496e-304	0.587775352026628	0.771705549159241	-0.157649061450758	4.49998937144496e-304	0.276073561552892	0.118424500102134	TRUE	0.341579258583372
Pla2g3	0.171703633923202	0.00415838013556128	0.624383899233297	0.796087533156499	-0.168413465775327	0.00120810301946373	0.316401971522453	0.147988505747126	TRUE	0.340117099698529
Amer3	0.182206153981264	8.31251254095315e-07	0.155933407462318	0.338139561443582	0.151892826810107	0.000315513401608688	0.272887323943662	0.424780150753769	FALSE	0.334098980791371
Art5	-0.167899848463976	0.0248753404590834	0.741639344262295	0.573739495798319	0.149930431188869	0.020228694826602	0.15224043715847	0.302170868347339	FALSE	0.317830279652845
Gm42372	0.223487889156674	2.76712817902483e-09	0.400456343170064	0.623944232326738	-0.0814257145161198	0.0295223820221699	0.305552175235777	0.224126460719658	TRUE	0.304913603672794
Necap2	0.172344246442879	0.00139897898548845	0.482296650717703	0.654640897160582	-0.132545303846589	0.0096462666765553	0.354306220095694	0.221760916249105	TRUE	0.304889550289467
Ripply2	0.190237481194928	1.69527342746492e-06	0.263297872340426	0.453535353535354	-0.0985216910748826	0.0237603130746593	0.387158054711246	0.288636363636364	TRUE	0.288759172269811
Cdca4	0.133994215021553	0.00150259257702502	0.432953983176645	0.566948198198198	-0.14896155123456	1.69384456172282e-05	0.336405244928253	0.187443693693694	TRUE	0.282955766256113
Slc35c2	-0.134135716491931	0.00736938867575346	0.780970086192327	0.646834369700396	0.14812837159247	0.000556909346798749	0.147118472198749	0.295246843791219	FALSE	0.282264088084401
Gclm	0.156146540185565	5.7486188013825e-30	0.583259169047731	0.739405709233296	-0.123973333191738	6.82017669564732e-27	0.256627945102815	0.132654611911077	TRUE	0.280119873377303
Stk16	0.153692689196891	0.021050553906849	0.358778966131907	0.512471655328798	-0.122278002109935	0.0417651531717264	0.348128342245989	0.225850340136054	TRUE	0.275970691306826
Gprin1	0.177565323906989	5.60029282239524e-06	0.316073825503356	0.493639149410344	-0.0976959587373069	0.0137126943385166	0.340352348993289	0.242656390255982	TRUE	0.275261282644296
Slc25a44	0.188084333069166	3.09157205750693e-06	0.414959145191703	0.60304347826087	-0.0866364058699752	0.0377538833705012	0.345505971087366	0.258869565217391	TRUE	0.274720738939141
Rflnb	0.163792643403071	0.000225570221576829	0.542624468896394	0.706417112299465	-0.103122026970421	0.00521591029843976	0.251116679376838	0.147994652406417	TRUE	0.266914670373493
Mpp3	0.157528999801008	6.567974100489e-14	0.428650289000277	0.586179288801286	-0.102114158038006	5.58138344192963e-07	0.381930545469574	0.279816387431568	TRUE	0.259643157839014
Cdk20	0.121130901802408	0.00709885274996382	0.69111671570688	0.812247617509288	-0.137799538587237	0.000252584376364895	0.242608939330251	0.104809400743014	TRUE	0.258930440389645
Pithd1	0.14332740328267	5.94007914318216e-09	0.591515208885523	0.734842612168194	-0.11209059235309	5.04658532206629e-08	0.245371071563802	0.133280479210712	TRUE	0.25541799563576
Galnt7	0.168949277198525	1.51066452822207e-211	0.444681645034645	0.61363092223317	-0.0863721340287709	2.3856069655401e-64	0.356955025161748	0.270582891132977	TRUE	0.255321411227296
4833439L19Rik	0.16114539879728	0.000157440132862487	0.43974210322898	0.60088750202626	-0.090022272432034	0.00775564116333959	0.231931414918661	0.141909142486627	TRUE	0.251167671229314
1700123L14Rik	-0.167677804944571	0.000111934148916895	0.82655325443787	0.658875449493298	0.0833621067074684	0.0238973588932802	0.119822485207101	0.203184591914569	FALSE	0.25103991165204
Mcu	0.147763427756045	2.26065535127975e-191	0.560659770247152	0.708423198003197	-0.103181486732032	6.60758366396433e-115	0.305106904427541	0.201925417695509	TRUE	0.250944914488077
Paqr9	0.191528976740734	2.00557964687664e-14	0.390478528181032	0.582007504921765	-0.057653219702002	0.0370600341659853	0.328833251513664	0.271180031811662	TRUE	0.249182196442736
Cuedc2	0.130716708723793	2.65997045805434e-05	0.490601120733571	0.621317829457364	-0.11593313509223	9.68493906889388e-05	0.381049414161997	0.265116279069767	TRUE	0.246649843816023
Gpr68	0.168160341562967	1.88550262144259e-12	0.545577032174406	0.713737373737374	-0.0779898916222767	0.000732304435313547	0.288191911824297	0.21020202020202	TRUE	0.246150233185244
Slc39a3	0.152798531394738	0.000186529156833133	0.451598876103827	0.604397407498564	-0.0914046727427198	0.00569784441658465	0.24514985282312	0.1537451800804	TRUE	0.244203204137457
Xk	0.121643172744591	3.78462554086253e-06	0.666920125977454	0.788563298722045	-0.118162831033095	6.18525980465035e-08	0.236492253956418	0.118329422923323	TRUE	0.239806003777687
Slc5a5	0.116941529235382	0.0336648389847303	0.633058470764618	0.75	-0.12072178196616	0.00503168315688368	0.235007496251874	0.114285714285714	TRUE	0.237663311201542
Tmem177	0.157253314073801	0.00012432966829023	0.402852049910873	0.560105363984674	0.0801132521974307	0.0396222139481436	0.169934640522876	0.250047892720306	FALSE	0.237366566271232
Syn2	0.149960657857046	8.83856624927036e-84	0.482125610445288	0.632086268302335	-0.0851204942495088	4.25440559579786e-32	0.338103713321371	0.252983219071862	TRUE	0.235081152106555
Gnai2	0.117535873927109	4.12688774660339e-07	0.628538934974578	0.746074808901688	-0.11666847383165	3.05271897658799e-11	0.211058335563286	0.0943898617316366	TRUE	0.234204347758759
Max	0.162624957878486	1.13627859420803e-18	0.412887200682473	0.575512158560959	-0.0697190174665511	0.00014832826750973	0.34844292375125	0.278723906284699	TRUE	0.232343975345037
Rps6ka5	0.127804487237224	9.46813758378864e-127	0.622101487492852	0.749905974730076	-0.101596197255059	1.80240201371416e-105	0.255392336058097	0.153796138803038	TRUE	0.229400684492284
Arhgap26	0.138229191563247	8.85640346406078e-254	0.61387984344392	0.752109035007167	-0.0896847412278744	6.35305780059072e-137	0.260406269547747	0.170721528319873	TRUE	0.227913932791122
Plekhf1	0.164610050748213	3.10344448265957e-08	0.500128144670207	0.66473819541842	-0.0620282041542559	0.0242481156394015	0.245817357964448	0.183789153810192	TRUE	0.226638254902469
Chac2	0.121767598913491	6.23800779138383e-05	0.647808240868178	0.769575839781669	-0.103468981178706	0.000148072320546865	0.236105867020694	0.132636885841988	TRUE	0.225236580092197
Cd83	0.136352942789747	3.8903499159492e-12	0.653885841170324	0.79023878396007	-0.0870374603127613	1.9503941671422e-06	0.254052377220481	0.167014916907719	TRUE	0.223390403102508
Syne4	0.139146381373381	0.000257635924013275	0.545734126984127	0.684880508357508	-0.0841980278780942	0.0163268534242315	0.265079365079365	0.180881337201271	TRUE	0.223344409251475
Rnf122	0.161740525815992	3.239192596302e-14	0.463760052227069	0.625500578043061	-0.058724826214727	0.00445529033897926	0.30351790854328	0.244793082328553	TRUE	0.220465352030719
Kank2	0.155751800354501	4.76990582192686e-11	0.471560175794456	0.627311976148957	-0.0645523753306364	0.00671954102474038	0.311410675381264	0.246858300050627	TRUE	0.220304175685137
Wipf3	0.142509781164221	1.07102811943014e-46	0.572482655916446	0.714992437080666	-0.0772653894691789	1.2192134284438e-17	0.274453602421732	0.197188212952553	TRUE	0.219775170633399
Flrt3	0.159908992956269	4.11366838874465e-32	0.494894915749194	0.654803908705463	-0.0591425765042662	3.28177402809314e-07	0.215368849904825	0.156226273400559	TRUE	0.219051569460535
Lrrn1	0.140984645320972	2.46750330107218e-36	0.458261907489383	0.599246552810356	-0.0779367678145376	1.54027710852983e-12	0.372171434299133	0.294234666484596	TRUE	0.21892141313551
Rfk	0.120589868881362	0.00041977687877242	0.593083427994447	0.713673296875809	-0.0962910530830102	5.0582916027156e-05	0.187381673608482	0.0910906205254714	TRUE	0.216880921964372
Itgb5	0.120307636847554	6.27684962570557e-35	0.657694335688194	0.778001972535748	-0.0965479303620208	1.1283689913637e-28	0.244526081220042	0.147978150858022	TRUE	0.216855567209575
Nr4a1	0.134922502706322	7.83308839688763e-05	0.546979933447615	0.681902436153937	-0.0817337420459572	0.0108950967697298	0.304366239790259	0.222632497744302	TRUE	0.216656244752279
Pim2	0.125454017057672	0.0176922830126075	0.507463487972509	0.632917505030181	-0.0903769437933443	0.0198386098662277	0.233354810996564	0.142977867203219	TRUE	0.215830960851017
Usp2	0.139196841662994	5.26620982991216e-12	0.422400513478819	0.561597355141813	-0.075925248980276	6.10642949917054e-05	0.310691362552723	0.234766113572447	TRUE	0.21512209064327
Kcnc4	0.110952352365973	9.34189491274097e-06	0.746669294442255	0.857621646808227	-0.10375513119624	4.02251801191134e-06	0.203199316778347	0.0994441855821074	TRUE	0.214707483562212
Ccer2	0.104221781305115	0.0466685204523707	0.774250440917108	0.878472222222222	-0.109442640692641	0.00586010829793762	0.150793650793651	0.0413510101010101	TRUE	0.213664421997755
Prag1	0.143292991235068	7.93271528531567e-37	0.355929129277938	0.499222120513006	-0.0691469364234398	6.85793972956599e-10	0.363617494218994	0.294470557795554	TRUE	0.212439927658508
Trp53bp2	0.129154721510786	2.07676802591069e-43	0.620481144791074	0.74963586630186	-0.0832712837005908	8.33951399973906e-23	0.260657501213563	0.177386217512972	TRUE	0.212426005211377
Sem1	0.143010056105177	1.97534788926246e-17	0.444810881696173	0.58782093780135	-0.0692874404857594	4.16094036293788e-05	0.353852291016135	0.284564850530376	TRUE	0.212297496590937
Klhl33	0.131089364672811	0.000661697327030649	0.490947992100066	0.622037356772877	-0.0774075881478593	0.0298634092808459	0.291310072416063	0.213902484268204	TRUE	0.208496952820671
Dffb	-0.153891957272586	6.14865998989322e-05	0.736625252203462	0.582733294930876	0.0542592580018782	0.0365609227491163	0.0831687373898269	0.137427995391705	FALSE	0.208151215274464
Zfp608	0.128609620417748	3.47901605108614e-94	0.469563795576994	0.598173415994742	-0.0776866311537925	4.34446570298163e-43	0.315008872217855	0.237322241064062	TRUE	0.206296251571541
Ccndbp1	0.136854689765432	1.03278633292751e-05	0.525426011988954	0.662280701754386	-0.068803461978851	0.0196852954750725	0.327136795312184	0.258333333333333	TRUE	0.205658151744283
Atp5o	0.12218150570623	0.0129276167815884	0.426838102136907	0.549019607843137	-0.0823132376186916	0.0120359898384142	0.242641554992153	0.160328317373461	TRUE	0.204494743324922
Pnmal1	0.12120038133481	3.01896921239187e-05	0.626714984889412	0.747915366224222	-0.0823911423825012	0.00192527601748954	0.25823059024899	0.175839447866489	TRUE	0.203591523717311
Chka	0.138959681843707	1.03272755699606e-35	0.448090309469308	0.587049991313015	-0.0644813449478126	1.49967822864578e-09	0.32925653491846	0.264775189970647	TRUE	0.20344102679152
Cox6a1	0.112747526951983	0.015313896861015	0.376023583360629	0.488771110312612	-0.089861600642806	0.018967031798031	0.279315427448411	0.189453826805605	TRUE	0.202609127594789
Rnaseh2c	0.119202975023871	0.00734051113416705	0.573030303030303	0.692233278054174	-0.0827925188870463	0.0303935031899898	0.261666666666667	0.17887414777962	TRUE	0.201995493910917
Reep6	0.113614641857162	0.0174233658549288	0.64721437368688	0.760829015544041	-0.0862161236470493	0.0498594516724737	0.270376005216257	0.184159881569208	TRUE	0.199830765504211
Tmem181a	0.116220944127518	0.000332346094293607	0.575355632449058	0.691576576576577	-0.0829248106237725	0.00854670970426825	0.318915801614764	0.235990990990991	TRUE	0.199145754751291
Exoc8	0.0941893806606566	0.0196871874000343	0.634893920848633	0.72908330150929	-0.104592045874422	0.00252253334594445	0.285648714810282	0.181056668935859	TRUE	0.198781426535079
Clk1	0.10921571675269	6.88776632415257e-08	0.405595930232558	0.514811646985248	-0.0891632943273226	2.51183888993431e-06	0.342678052325581	0.253514757998259	TRUE	0.198379011080013
Arhgap26	0.138229191563247	8.85640346406078e-254	0.61387984344392	0.752109035007167	-0.0596566811536082	4.37340066480364e-72	0.224223648510785	0.164566967357177	TRUE	0.197885872716856
Fkbp8	0.105746850850299	0.0333993316497698	0.562606060606061	0.66835291145636	-0.0916586861414448	0.0107687974193521	0.246060606060606	0.154401919919161	TRUE	0.197405536991744
