gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Eef2k	0.0874490654282774	-0.0456324037911153	1.5523210933403e-146	5.55348653468977e-56	0.133081469219393	2	2	0
Smim18	0.0673043622038936	-0.0653247741437074	1.2596748485863e-07	1.65496432787944e-10	0.132629136347601	4	2	-2
Plcxd2	0.0748294936939558	-0.0576346826055423	6.47296724350775e-95	2.14450417267838e-87	0.132464176299498	0	1	1
Ccng1	0.0892068059145688	-0.0430688432059666	4.26773677843923e-29	1.51674915134288e-12	0.132275649120535	0	0	0
Plekha1	0.0763963397276335	-0.0558369191244849	8.46072957666142e-96	1.43333743211681e-73	0.132233258852118	1	1	0
Slc20a2	0.0762080144138633	-0.0556047310806561	3.27027667663427e-233	1.77370879532367e-168	0.131812745494519	0	0	0
Grk3	0.0714971988682866	-0.0601971752717273	1.29352728757148e-195	1.15558424317699e-191	0.131694374140014	0	0	0
Marveld2	0.0763507212432364	-0.0552465364604909	8.88099251066331e-68	3.51025777564077e-57	0.131597257703727	0	0	0
Rnft1	0.0734031013566471	-0.058181296823287	2.77299362373588e-21	1.69026373200524e-22	0.131584398179934	0	0	0
Acot13	0.0820775282645317	-0.0491138472289116	2.66261281142836e-44	3.30005943934874e-29	0.131191375493443	0	0	0
Atoh8	0.0850042046332685	-0.0461562183752398	5.01322324807244e-58	2.87942271514976e-21	0.131160423008508	10	10	0
Eid3	0.0489779952646638	-0.0820464447946581	0.0160779475782305	3.72733547810957e-07	0.131024440059322	0	0	0
Ldlrap1	0.0850320949640696	-0.0457280950895592	6.54368317312171e-65	1.24353715601501e-26	0.130760190053629	0	0	0
Dnttip2	0.067666932302339	-0.0630234921061006	1.11302190219875e-19	2.11549739980731e-28	0.13069042440844	0	0	0
Dhrs11	0.0774738084106077	-0.0530573856982547	1.24408469573103e-12	5.71188493996531e-09	0.130531194108862	0	0	0
Fem1a	0.0817709401026555	-0.0487326261492502	6.00393569377761e-16	3.37933924838537e-07	0.130503566251906	0	0	0
Rnmt	0.101877727686119	-0.0285077172040366	1.8599365746882e-104	2.04679952546682e-13	0.130385444890156	0	0	0
Fam104a	0.0905297126815466	-0.0398483236175347	5.38401946234495e-62	5.28665497822603e-16	0.130378036299081	0	0	0
Rassf8	0.0685610367392558	-0.0618086455461246	1.91568815216634e-115	1.22362583857093e-120	0.13036968228538	12	9	-3
Slc9a3r1	0.0749835875297784	-0.0553660574659713	3.3528866952359e-25	1.75520279416083e-20	0.13034964499575	0	0	0
