term	value	aic	auc	lr_test_p
Interaction model summary	NA	11359.6187200082	0.860656187944583	8.88961381232337e-05
k119ub:baseline_hmc (raw)	OR=0.172 [0.071, 0.414], p = 8.65e-05	NA	NA	NA
k119ub_z:baseline_hmc_z (standardized)	beta=-0.151, p = 8.65e-05	NA	NA	NA
K119ub OR in Low 5hmC tertile	OR=0.458 [0.397, 0.527], p < 2.2e-16, n=3999	NA	0.708299028864726	NA
K119ub OR in Mid 5hmC tertile	OR=0.237 [0.212, 0.266], p < 2.2e-16, n=3976	NA	0.781865598802511	NA
K119ub OR in High 5hmC tertile	OR=0.436 [0.400, 0.475], p < 2.2e-16, n=3962	NA	0.72339283304814	NA
