Gene_Name	mean_ctrl_pc1	mean_mut_pc1	n_bins	ctrl_label	mc_diff	mc_sig	mc_direction	hmc_diff	hmc_sig	hmc_direction
Setd1b	1.172	1.184	1	A.1	0.0172941613958413	TRUE	Hypermethylated	-0.0252748408321468	TRUE	Hypomethylated
Setd3	1.50888888888889	1.48144444444445	3	A.1	0.0424863404467747	TRUE	Hypermethylated	-0.0493412335970782	TRUE	Hypomethylated
Setd4	0.992833333333331	0.944333333333335	2	B.2	0.00601293788693369	FALSE	Hypermethylated	-0.0154529965317877	TRUE	Hypomethylated
Setd5	1.48333333333333	1.417	1	A.1	0.0285035424356077	TRUE	Hypermethylated	-0.0294858091988348	TRUE	Hypomethylated
Setd6	1.38766666666667	1.31933333333333	1	A.1	0.0163519147980927	FALSE	Hypermethylated	-0.0420049832868404	TRUE	Hypomethylated
Setd7	1.85066666666667	1.78633333333333	1	A.1	0.0788199054321356	TRUE	Hypermethylated	-0.0223893406492485	TRUE	Hypomethylated
Setdb1	1.418	1.313	1	A.1	0.0186444625539239	TRUE	Hypermethylated	-0.0208956598433878	TRUE	Hypomethylated
Setmar	0.0995333333333332	-0.0248	5	A.1	0.00630946792449372	FALSE	Hypermethylated	-0.00973956429629311	TRUE	Hypomethylated
Setx	1.61955555555555	1.58944444444444	3	A.1	0.0198455903332858	TRUE	Hypermethylated	-0.0231224188906848	TRUE	Hypomethylated
Sez6	1.404	1.38166666666667	1	A.1	-0.0495832520387062	TRUE	Hypomethylated	0.00797245194699175	FALSE	Hypermethylated
Sez6l	1.387	1.39566666666667	1	A.1	0.0102308273245134	TRUE	Hypermethylated	-0.0231889227581048	TRUE	Hypomethylated
Sez6l2	1.07466666666667	0.906	1	A.1	0.0254561849805034	TRUE	Hypermethylated	-0.0186699152910075	TRUE	Hypomethylated
Sf3a3	1.289	1.28266666666667	1	A.1	0.0125023449531864	TRUE	Hypermethylated	-0.00861270589758725	TRUE	Hypomethylated
Sf3b1	1.15633333333333	1.05366666666667	1	A.1	0.0355021587660692	TRUE	Hypermethylated	-0.0384459717921014	TRUE	Hypomethylated
Sf3b2	1.33966666666667	1.28033333333333	1	A.1	0.0198560519587739	TRUE	Hypermethylated	-0.027528953034012	TRUE	Hypomethylated
Sf3b5	0.453	0.353666666666667	1	A.2	0.0521257811579779	TRUE	Hypermethylated	0.00754104977391226	FALSE	Hypermethylated
Sfmbt1	1.68166666666667	1.58266666666667	1	A.1	0.0223217290458927	TRUE	Hypermethylated	-0.0242518446672864	TRUE	Hypomethylated
Sfmbt2	-1.03575	-0.929250000000001	4	B.2	-0.0064571340706927	TRUE	Hypomethylated	0.00107870102574556	FALSE	Hypermethylated
Sfn	1.301	1.27266666666667	1	A.1	-0.0492953604366648	FALSE	Hypomethylated	0.0157833689956116	FALSE	Hypermethylated
Sfpq	1.46233333333333	1.41433333333333	2	A.1	0.0193907258058543	TRUE	Hypermethylated	-0.0249442535236848	TRUE	Hypomethylated
Sfr1	-0.0678333333333335	-0.143	2	A.1	0.0305013536724968	TRUE	Hypermethylated	-0.0322551650121615	TRUE	Hypomethylated
Sfrp1	-0.495083333333333	-0.431916666666667	4	B.1	-0.0233196302106603	TRUE	Hypomethylated	0.00336015687501583	FALSE	Hypermethylated
Sfrp2	-0.865111111111111	-0.875555555555557	3	B.2	-0.0117191946479843	FALSE	Hypomethylated	0.00481655904295206	FALSE	Hypermethylated
Sfrp5	1.60233333333333	1.61633333333333	1	A.1	-0.096304322244316	TRUE	Hypomethylated	-0.0346409350452549	TRUE	Hypomethylated
Sfswap	1.349	1.36916666666666	6	A.1	0.0385549454096639	TRUE	Hypermethylated	-0.0408723377460475	TRUE	Hypomethylated
Sft2d3	1.26133333333333	1.137	1	A.2	0.0190013515138579	FALSE	Hypermethylated	-0.0205480338232962	TRUE	Hypomethylated
Sftpd	-1.17033333333333	-1.2555	2	B.2	0.000768577869474596	FALSE	Hypermethylated	-0.00278096036351604	FALSE	Hypomethylated
Sfxn4	-0.248666666666667	0.0986666666666667	1	A.1	0.00723860450934055	FALSE	Hypermethylated	-0.0109713685725648	TRUE	Hypomethylated
Sfxn5	1.3625	1.51533333333333	2	A.1	-0.0192924945183391	TRUE	Hypomethylated	0.00224968990001942	FALSE	Hypermethylated
Sgcd	-1.14440350877193	-1.14742105263158	19	B.2	-0.00667032487832209	TRUE	Hypomethylated	0.0113464838069836	TRUE	Hypermethylated
Sgcg	1.48433333333333	1.46666666666667	1	A.1	0.00843445957650757	TRUE	Hypermethylated	-0.0110840832110905	TRUE	Hypomethylated
Sgcz	-1.05004761904762	-1.03471428571429	7	B.2	-0.0517187694221879	TRUE	Hypomethylated	0.00366384474517919	TRUE	Hypermethylated
Sgip1	1.10433333333333	1.14808333333334	4	A.1	0.00139174747918014	FALSE	Hypermethylated	-0.0143727820051468	TRUE	Hypomethylated
Sgk1	1.0188	0.985266666666667	5	A.1	0.076575825600841	TRUE	Hypermethylated	-0.052528889186772	TRUE	Hypomethylated
Sgk3	0.174166666666667	0.218	2	A.2	-0.00123719713687886	FALSE	Hypomethylated	-0.00334678120699787	TRUE	Hypomethylated
Sgms1	1.04725	1.02258333333333	4	A.1	0.0388184917796379	TRUE	Hypermethylated	-0.0317888715214878	TRUE	Hypomethylated
Sgms2	0.62125	0.730083333333333	4	A.1	-0.00498779276649286	FALSE	Hypomethylated	-0.00589394541600424	FALSE	Hypomethylated
Sgo2b	-0.794833333333333	-0.865722222222222	6	B.2	-0.0281706914656329	TRUE	Hypomethylated	-0.00355130318229994	FALSE	Hypomethylated
Sgpp1	1.481	1.39216666666666	2	A.1	0.0498310498337572	TRUE	Hypermethylated	-0.03133568227131	TRUE	Hypomethylated
Sgpp2	1.24233333333333	1.14633333333333	1	A.1	0.048924232910907	TRUE	Hypermethylated	-0.0419653932179215	TRUE	Hypomethylated
Sgsh	1.25	1.28933333333333	1	A.1	-0.00673868947252698	FALSE	Hypomethylated	0.00690492785372615	FALSE	Hypermethylated
Sgsm1	1.33733333333334	1.29866666666667	3	A.1	0.00467351247223513	FALSE	Hypermethylated	-0.015920165234409	TRUE	Hypomethylated
Sgsm3	1.45416666666667	1.42216666666667	2	A.1	0.0257387602173417	TRUE	Hypermethylated	-0.0298297942593343	TRUE	Hypomethylated
Sgtb	1.18616666666667	1.10733333333333	2	A.1	-0.00449201770704644	FALSE	Hypomethylated	-0.0098466181824931	TRUE	Hypomethylated
Sh2b2	1.32555555555556	1.36733333333333	3	A.1	-0.0206060628928203	TRUE	Hypomethylated	0.00434792328843767	FALSE	Hypermethylated
Sh2d1a	0.954527777777778	0.958055555555556	12	NA	-0.00126848667561408	FALSE	Hypomethylated	0.000855022446978354	FALSE	Hypermethylated
Sh2d1b1	0.392	0.528	1	A.1	0.00998734938048629	FALSE	Hypermethylated	0.000692837418834011	FALSE	Hypermethylated
Sh2d2a	1.399	1.452	1	A.1	0.000527579439381087	FALSE	Hypermethylated	-0.0115423719228988	TRUE	Hypomethylated
Sh2d4a	-0.952533333333333	-0.997466666666666	5	B.2	-0.00915210308435122	TRUE	Hypomethylated	0.00189746299983683	FALSE	Hypermethylated
Sh2d4b	-0.995625	-0.965395833333333	16	B.2	-0.00479669741098643	FALSE	Hypomethylated	0.00412635079189514	TRUE	Hypermethylated
Sh2d5	1.39466666666667	1.34966666666667	1	A.1	-0.0181852577206493	TRUE	Hypomethylated	-0.0139414596736145	TRUE	Hypomethylated
Sh2d6	1.34333333333333	1.35866666666667	1	A.1	0.00295280636743411	FALSE	Hypermethylated	0.0206598283137789	TRUE	Hypermethylated
Sh3bgr	1.60633333333333	1.64366666666667	1	A.1	0.0293296073209474	TRUE	Hypermethylated	-0.00961576303541756	TRUE	Hypomethylated
Sh3bgrl	0.300444444444444	0.519777777777778	3	NA	-0.00498823792604786	FALSE	Hypomethylated	0.00157774815265227	FALSE	Hypermethylated
Sh3bgrl2	0.0672222222222221	-0.415666666666667	3	A.2	0.0170733345645645	TRUE	Hypermethylated	-0.0286289662495535	TRUE	Hypomethylated
Sh3bgrl3	1.367	1.38433333333333	1	A.1	0.0376127193619687	FALSE	Hypermethylated	-0.0357134515087786	FALSE	Hypomethylated
Sh3bp2	1.50966666666667	1.55433333333333	1	A.1	-0.0160465330842307	TRUE	Hypomethylated	0.000483884118737107	FALSE	Hypermethylated
Sh3bp4	0.996666666666667	1.177	4	A.2	-0.0137653093196766	TRUE	Hypomethylated	0.00246327528497567	FALSE	Hypermethylated
Sh3d19	0.944833333333333	0.832833333333334	2	A.2	0.00860215775723372	TRUE	Hypermethylated	-0.0174890119040841	TRUE	Hypomethylated
Sh3d21	1.496	1.45	1	A.1	0.010861126692258	FALSE	Hypermethylated	-0.0108017790022735	TRUE	Hypomethylated
Sh3gl2	0.230888888888889	0.153444444444445	15	B.1	0.00555646864866399	TRUE	Hypermethylated	-0.00594562100453205	TRUE	Hypomethylated
Sh3gl3	-0.0216666666666665	0.161666666666667	4	B.1	-0.0203093949041108	TRUE	Hypomethylated	0.0121869877875336	TRUE	Hypermethylated
Sh3glb1	0.823333333333333	0.722333333333331	2	A.1	0.0217175971274944	TRUE	Hypermethylated	-0.0177286792206104	TRUE	Hypomethylated
Sh3kbp1	0.86788888888889	0.941277777777777	6	NA	-0.0212518485971966	TRUE	Hypomethylated	0.0174076227537142	TRUE	Hypermethylated
Sh3pxd2a	0.672133333333334	0.7526	5	A.1	-0.0152316051051311	TRUE	Hypomethylated	0.00458095246913778	TRUE	Hypermethylated
Sh3pxd2b	-0.029888888888889	0.158444444444444	3	A.2	-0.0181545707677971	TRUE	Hypomethylated	0.0130614937425404	TRUE	Hypermethylated
Sh3rf1	-0.707833333333334	-0.556333333333333	2	B.1	-0.0220229746068737	TRUE	Hypomethylated	0.0124600354016009	TRUE	Hypermethylated
Sh3rf2	-0.945166666666666	-0.981000000000001	2	B.2	-0.0149622744318587	TRUE	Hypomethylated	0.0137566284765872	TRUE	Hypermethylated
Sh3rf3	-0.536	-0.570833333333333	6	B.2	0.00113207959855433	FALSE	Hypermethylated	-0.00823980059524529	TRUE	Hypomethylated
Sh3tc1	1.30266666666667	1.51766666666667	1	A.1	-0.0183437294395399	TRUE	Hypomethylated	0.00658043344688128	TRUE	Hypermethylated
Sh3tc2	0.953750000000001	0.968999999999999	4	A.1	-0.000858748875559812	FALSE	Hypomethylated	-0.01141615867984	TRUE	Hypomethylated
Sh3yl1	-0.297666666666667	-0.490833333333333	2	B.1	0.000566734970109839	FALSE	Hypermethylated	-0.0120280236368743	TRUE	Hypomethylated
Shank1	1.183	1.03533333333333	1	A.1	-0.0123795846342971	TRUE	Hypomethylated	-0.0110290319982856	TRUE	Hypomethylated
Shank2	0.390416666666666	0.954416666666667	4	B.1	-0.0309497927248928	TRUE	Hypomethylated	0.0243811751429043	TRUE	Hypermethylated
Shb	0.849555555555556	1.41788888888889	3	A.1	-0.0242548416611875	TRUE	Hypomethylated	0.0821177251995776	TRUE	Hypermethylated
Shc3	0.231777777777778	0.486777777777778	3	B.1	-0.0130513645130764	TRUE	Hypomethylated	0.00275527559717803	FALSE	Hypermethylated
Shc4	0.592666666666667	0.500666666666667	1	A.1	-0.00220440350014484	FALSE	Hypomethylated	-0.00425215835810566	TRUE	Hypomethylated
Shcbp1	-0.8714	-0.8864	5	B.2	0.00183833111433662	FALSE	Hypermethylated	-0.00633582213900068	TRUE	Hypomethylated
She	1.25766666666666	1.33033333333334	2	A.1	-0.00962608790028852	TRUE	Hypomethylated	0.000156545402521274	FALSE	Hypermethylated
