metric	n_neuronal	n_nonneuronal	mean_neuronal	mean_nonneuronal	median_neuronal	median_nonneuronal	wilcox_p	wilcox_q	sig
MeCP2 fold	15	57	0.861764329993998	0.683748216875154	0.676482334921322	0.621286537733874	0.496867927597258	0.496867927597258	ns
K119ub log2FC	15	57	0.411055533333333	0.772376719298246	0.413917	0.738787	0.00123470044033487	0.0111123039630138	*
5mC diff	15	57	0.0596797910610736	0.0493158465770437	0.0449532342746497	0.0396612621891825	0.36743973141713	0.413369697844271	ns
5hmC diff	15	57	-0.0306424204373515	-0.0142850807319556	-0.0354883642830997	-0.0112052711172921	0.0388275422242256	0.116482626672677	ns
K27me3 fold	5	12	1.56721598700754	0.919643402940855	1.61725370075357	0.168309538293051	0.328377504848093	0.413369697844271	ns
K27ac fold	13	43	-0.529502628165519	-0.855896857918269	-0.312415507972862	-0.900654501860723	0.0647741260923419	0.145741783707769	ns
K119ub fold (DiffBind)	14	49	0.674825057337025	0.780567695819303	0.618094742204413	0.807952003349081	0.297383574687787	0.413369697844271	ns
ATAC fold	15	51	0.0589861120643823	-0.0485118914990152	0.0433085367152246	-0.0199723747992926	0.277311911796029	0.413369697844271	ns
Delta ratio	15	57	-0.0525078067712411	-0.0314701930375883	-0.0498729723360912	-0.0219472700212053	0.0184136969372615	0.0828616362176768	ns
