shift	n	mean_mc	mean_hmc	mean_total	ratio	total_pct
B to A	427	-0.010363191239173	0.0128969344752406	0.00253374323606769	80.3539109163349	0.253374323606769
Stable	15465	0.00941942886524839	-0.0106967710394425	-0.00127734217419409	88.0586190965094	-0.127734217419409
A to B	202	0.0244403571715281	-0.0224929227178257	0.00194743445370241	108.657987572949	0.194743445370241
