group	n	slope	ci_lo	ci_hi	r_squared	differs_from_neg1
All genes	20915	-0.958947703645684	-0.977818515377246	-0.940076891914123	0.321755048406515	TRUE
Non-neuronal	16797	-0.949085630747269	-0.969968603359654	-0.928202658134883	0.320884416977612	TRUE
Neuronal (broad)	4118	-0.995458742856268	-1.03920968779487	-0.95170779791767	0.325893876552285	FALSE
Synapse/axon	2099	-1.01990253308589	-1.07779306226878	-0.962012003902991	0.362752105636392	FALSE
Coordinated	6069	-1.28778678244663	-1.32319131054884	-1.25238225434442	0.455942796227234	TRUE
Neur + Coord	1442	-1.30246276973317	-1.37598585011919	-1.22893968934715	0.456103596551287	TRUE
MeCP2-Up	79	-0.924750834327815	-1.30940851763613	-0.540093151019495	0.229358891939595	FALSE
