met_group	n	median_fc	mean_fc	p_vs_zero	p_vs_bg	cliffs_delta
mC Up	3385	0.071328	0.112756301920236	3.28333114802807e-64	4.12585577836984e-09	0.0739546881730736
mC Down	524	-0.048899	-0.00854266412213741	0.046909493699367	1.35177919763957e-08	-0.149832249890196
hmC Down	4062	0.0276845	0.0597283399803053	6.93211260138771e-20	0.114701022075531	-0.0187854080006891
hmC Up	515	0.056912	0.0811914970873786	1.23495117517265e-07	0.206102557182799	0.033621573271474
All DMR Genes	5579	0.035331	0.072152476250224	3.66354227317298e-38	NA	NA
