mark	k119ub_level	n_neuronal	n_other	median_neuronal	median_other	wilcox_p
ATAC	K119ub High	1314	2570	0.166716414192737	0.108819140344839	2.90458194098011e-11
ATAC	K119ub Low	2272	8036	0.088987519199752	0.0831605514824303	0.00511664299921765
K27ac	K119ub High	668	1370	0.0468920712078891	-0.0155351315308491	2.14845024925405e-05
K27ac	K119ub Low	1515	4785	0.0445389313676423	0.0481404484030735	0.812859242005072
K27me3	K119ub High	809	1201	-0.0876255842766007	-0.0747370400896516	0.218819784770013
K27me3	K119ub Low	579	1580	-0.141356090238388	-0.0483613359231412	0.000280161958341663
