model	path	coefficient	ci_lo	ci_hi	p_value	proportion_mediated	vif
Model 2: DNMT3A-first (PC1 -> mC -> hmC)	a	0.0086299493140926	0.00817271740902014	0.00908718121916505	1.28674651759637e-287	NA	NA
Model 2: DNMT3A-first (PC1 -> mC -> hmC)	b	-0.327214648297698	-0.334816017612809	-0.319613278982586	0	NA	NA
Model 2: DNMT3A-first (PC1 -> mC -> hmC)	c (total)	-0.00657887248706477	-0.0068490124918	-0.00630873248232955	0	NA	NA
Model 2: DNMT3A-first (PC1 -> mC -> hmC)	c' (direct)	-0.00375502665742701	-0.00398932989961578	-0.00352072341523823	2.81333120663239e-210	NA	NA
Model 2: DNMT3A-first (PC1 -> mC -> hmC)	indirect (a*b)	-0.00282384582963777	-0.00309005940932492	-0.00255726753390203	0	0.429229451580031	1.08505403608261
