ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005875	microtubule associated complex	54/6233	151/28779	0.357615894039735	1.65118366991329	4.21833033996453	4.90567092527899e-05	0.000155922984596004	5.42098599736005e-05	Map2/Kifap3/Pea15a/Kif5c/Dync1i2/Kif18a/Katnbl1/Haus2/Map1a/Kif3b/Dynlrb1/Kif16b/Dctn3/Kif1b/Haus3/Katnal1/Dync1i1/Dctn1/Borcs5/Map1s/Katnb1/Dynlrb2/Fnta/Dync1li2/Dync1li1/Dync2h1/Fbxw11/Kif3a/Ywhae/Nudcd3/Ndel1/Pafah1b1/Kif3c/Actr10/Fntb/Dnal1/Dync1h1/Klc1/Dnah11/Kif13a/Map1b/Kif2a/Dnal4/Kif21a/Snx4/Dynlt1b/Dynlt1c/Dynlt1a/Dynlt1f/Klc4/Dctn4/Kif5b/Actr1a/Dynlt3	54
GO:0005637	nuclear inner membrane	24/6233	51/28779	0.470588235294118	2.17279942620398	4.40758050055025	4.95744702990212e-05	0.000156917538219216	5.45556371711716e-05	Nemp2/Kcnh1/Tor1aip1/Psen2/Lbr/Tmx4/Rnf13/Sigmar1/Zmpste24/Tmem201/Tmem120b/Sun1/Itpr1/Iffo1/Nutf2/Nemp1/Sirt1/Tmpo/Lemd3/Ern1/Sun2/Tra2b/Lemd2/Plpp6	24
GO:0000159	protein phosphatase type 2A complex	12/6233	18/28779	0.666666666666667	3.07813252045564	4.63715503907073	5.18512626399748e-05	0.000161455557651304	5.61333737608628e-05	Ppp2r5a/Ptpa/Ppp2r2d/Ppp2cb/Ppp2r1b/Ppp2r3a/Ppp2ca/Ppp2r5c/Ppp2r5e/Ppp2r2a/Ppp2r1a/Ppp2r5d	12
GO:0005666	RNA polymerase III complex	12/6233	18/28779	0.666666666666667	3.07813252045564	4.63715503907073	5.18512626399748e-05	0.000161455557651304	5.61333737608628e-05	Polr3f/Polr3k/Polr3gl/Crcp/Polr1d/Polr3e/Polr2l/Polr3g/Polr3a/Polr3d/Polr3h/Polr1c	12
GO:0033276	transcription factor TFTC complex	12/6233	18/28779	0.666666666666667	3.07813252045564	4.63715503907073	5.18512626399748e-05	0.000161455557651304	5.61333737608628e-05	Taf4/Taf12/Trrap/Taf6/Taf10/Taf5l/Usp22/Taf9/Atxn7/Taf2/Taf5/Taf9b	12
GO:0090571	RNA polymerase II transcription repressor complex	12/6233	18/28779	0.666666666666667	3.07813252045564	4.63715503907073	5.18512626399748e-05	0.000161455557651304	5.61333737608628e-05	Etv3/Tbx15/Ddx20/Dr1/Lin54/Mxd1/Hdac2/Foxo3/Hdac5/Lin52/Max/Bin1	12
GO:0032589	neuron projection membrane	34/6233	83/28779	0.409638554216867	1.89138263305106	4.27598968610855	5.65752173785853e-05	0.000175451888712536	6.09994885863289e-05	Kcnh1/Adora1/Slc1a2/Kcnc4/Gper1/Cntnap2/Reg1/Gabarapl1/Atp2b2/Kcnc3/Kcnc1/Stx4a/Kcnj11/Slc9a5/Insr/Oprm1/Hcn2/Atp2b1/Vezt/Myo1c/Ppp1r9b/Sptbn1/Gabrg2/Gabra1/Unc5a/Hcn1/Cacna1d/Shisa8/Robo1/Grin2a/Clcn2/Robo2/Epb41l3/Mapk8ip3	34
GO:0019005	SCF ubiquitin ligase complex	29/6233	67/28779	0.432835820895522	1.99848902447493	4.30222471008492	5.93264721961743e-05	0.000183242248799474	6.37079688694061e-05	Tmem183a/Cacybp/Fbxo3/Fbxw7/Fbxl4/Fbxo42/Fbxl5/Fbxw8/Cul1/Dmac2/Fbxo27/Usp47/Fbxl19/Cul5/Arih1/Fbxl22/Fbxo9/Fbxo7/Fbxw11/Fbxl20/Fbxl3/Rbx1/Fbxo4/Spsb3/Fbxl16/Ccnf/Fbxl17/Cul2/Btrc	29
GO:0099091	postsynaptic specialization, intracellular component	27/6233	61/28779	0.442622950819672	2.0436781488271	4.29040736062979	6.59311072649016e-05	0.000202824209497649	7.0516043703319e-05	Tanc1/Ctnnd1/Zdhhc5/Tnik/Arhgef2/Lyn/Yes1/Cabp1/Exoc4/Ctnna2/Iqsec1/Sipa1l3/Lin7b/Dnm2/Snx1/Fyn/Anks1b/Tanc2/Akap1/Gphn/Dlg1/Grin2a/Dlgap1/Cript/Sh3gl1/Nr3c1/Cfl1	27
GO:0005790	smooth endoplasmic reticulum	19/6233	37/28779	0.513513513513513	2.37099396845907	4.387549507399	6.77343563929248e-05	0.000207538067987921	7.21549143890946e-05	Hspa5/Pdia3/Plcb4/Napepld/Itpr1/Pdia4/Ttyh1/Aqp8/Svip/Calr/Hyou1/Hsp90b1/Canx/Psen1/Rtn1/Dnajc3/Dmtn/App/Mapk8ip3	19
GO:0022624	proteasome accessory complex	15/6233	26/28779	0.576923076923077	2.66376852731738	4.46253990567584	6.93378137116915e-05	0.000210764941679189	7.32768039643189e-05	Psmd1/Psmd14/Psmd5/Psmd4/Psmc2/Sem1/Psmd8/Psmd11/Psmd3/Psmc5/Psmd12/Psmc1/Psmc6/Psmd6/Psmd2	15
GO:0030686	90S preribosome	15/6233	26/28779	0.576923076923077	2.66376852731738	4.46253990567584	6.93378137116915e-05	0.000210764941679189	7.32768039643189e-05	Imp4/Wdr3/Noc2l/Nol6/Mphosph10/Utp4/Kri1/Pwp2/Utp20/Utp6/Utp18/Bop1/Rrp36/Wdr36/Srfbp1	15
GO:0031011	Ino80 complex	11/6233	16/28779	0.6875	3.17432416171988	4.57415954767188	7.09851703593391e-05	0.000213440777293882	7.42071137217978e-05	Uchl5/Ino80d/Ino80/Gon4l/Ruvbl1/Tfpt/Ruvbl2/Nfrkb/Yy1/Actr8/Mcrs1	11
GO:0071565	nBAF complex	11/6233	16/28779	0.6875	3.17432416171988	4.57415954767188	7.09851703593391e-05	0.000213440777293882	7.42071137217978e-05	Ss18l1/Arid1a/Actl6b/Dpf1/Smarca4/Smarcc2/Smarcb1/Smarce1/Dpf3/Arid1b/Smarca2	11
GO:0030964	NADH dehydrogenase complex	25/6233	55/28779	0.454545454545455	2.09872671849248	4.28837432959637	7.13326879728902e-05	0.000213440777293882	7.42071137217978e-05	Ndufb3/Ndufs1/Ndufa10/Ndufs2/Ndufb5/Ndufc1/Ndufb2/Ndufa4/Ndufa5/Ndufa9/Dmac2/Ndufc2/Ndufab1/Ndufb7/Ndufa12/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufv3/Ndufa7/Ndufv2/Ndufv1/Ndufb8	25
GO:0045271	respiratory chain complex I	25/6233	55/28779	0.454545454545455	2.09872671849248	4.28837432959637	7.13326879728902e-05	0.000213440777293882	7.42071137217978e-05	Ndufb3/Ndufs1/Ndufa10/Ndufs2/Ndufb5/Ndufc1/Ndufb2/Ndufa4/Ndufa5/Ndufa9/Dmac2/Ndufc2/Ndufab1/Ndufb7/Ndufa12/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufv3/Ndufa7/Ndufv2/Ndufv1/Ndufb8	25
GO:0030016	myofibril	83/6233	260/28779	0.319230769230769	1.47395191844895	4.03643468275375	7.41735463718299e-05	0.000221077574010979	7.68622045139176e-05	Dst/Des/Cab39/Jph1/Sphkap/Hdac4/Atp2b4/Ppp1r12b/Nos1ap/Psen2/Ppp2r5a/Sptan1/Mybpc3/Fkbp1a/Neb/Fxr1/Tmod4/Ppp3ca/Ank2/Dnajb4/Tmod1/Capzb/Sri/Dnajb6/Grk3/Pyroxd1/Timp4/Rtn2/Pak1/Ilk/Parva/Bag3/Glrx3/Aldoa/Scn3b/Cryab/Fbxo22/Twf2/Fbxl22/Tpm1/Polr2m/Tmod3/Tmod2/Trpc1/Dag1/Ank3/Stk11/Ppp1r12a/Syne1/Sco1/Nbr1/Sptbn1/Sqstm1/Arf1/Jup/Psma6/Syne2/Calm1/Simc1/Mef2c/Homer1/Pde4d/Ggps1/Flnb/Kctd6/Ppp3cb/Slmap/Cacna1d/Fermt2/Mtmr12/Plec/Twf1/Kat2b/Myl12a/Calm2/Bin1/Dctn4/Rpl17/Myoz3/Synpo/Lman1/Mtm1/Smpx	83
