ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Pln/Atp1b1/Atp2a2/Tmem38a	4
GO:0010918	positive regulation of mitochondrial membrane potential	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Ndufc2/Bad/Mtln/Mfn2	4
GO:0010988	regulation of low-density lipoprotein particle clearance	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Apoc3/Ldlrap1/Hnrnpk/Ldlr	4
GO:0016081	synaptic vesicle docking	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Vamp2/Rims3/Ctbp2/Rims2	4
GO:0036258	multivesicular body assembly	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Chmp1b/Rab11a/Chmp3/Chmp2b	4
GO:0046512	sphingosine biosynthetic process	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Sptssb/Sphk2/Sptssa/Abca2	4
GO:0046520	sphingoid biosynthetic process	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Sptssb/Sphk2/Sptssa/Abca2	4
GO:0048308	organelle inheritance	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Mapk3/Golga2/Ywhaz/Pdcd10	4
GO:0048313	Golgi inheritance	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Mapk3/Golga2/Ywhaz/Pdcd10	4
GO:0048681	negative regulation of axon regeneration	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Rtn4rl1/Pten/Inpp5f/Cers2	4
