region	modality	lost_n	gained_n	lost_median	gained_median	W	p_value	fdr
CpG islands	mc	230	253	0	0	29231.5	0.927490849885173	0.927490849885173
CpG islands	hmc	230	253	0	0	29312.5	0.884078176995684	0.927490849885173
CpG shores	mc	794	947	0	-0.00684310648247932	450955	7.06167010360079e-13	1.88311202762688e-12
CpG shores	hmc	794	947	-0.00108593857287756	0.000383650734638824	325822.5	1.59609695904154e-06	3.19219391808308e-06
CpG shelves	mc	526	716	0.0114647271931633	-0.00692147576585506	242077.5	7.38916439917854e-18	5.91133151934283e-17
CpG shelves	hmc	526	716	-0.00174939580624059	0.00553963710395762	139328.5	4.44136328959606e-15	1.77654531583843e-14
Promoters	mc	286	326	1.58720211978491e-05	-0.00480730045459975	56027.5	1.6214704430953e-05	2.59435270895248e-05
Promoters	hmc	286	326	0	0	44651	0.367536776512199	0.490049035349599
