ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	is_neuronal
GO:0006816	calcium ion transport	52/1506	470/28832	0.11063829787234	2.11814303071402	5.73762514051623	3.09719293039165e-07	0.000129745993003214	0.000104922530798974	Micu3/Cxcl11/Trpm8/Myb/Plch2/Ryr2/Il16/Atp2b3/Cdh23/Chd7/Gnb5/Tmem38b/Grm7/Ctnnb1/Trpc6/Jph4/Cacna2d1/Asph/Cacnb2/Cxcr3/Trpm1/Ptpn22/Fyn/Cacna1a/Ntsr1/Casq1/Gpm6a/Jph3/Slc30a1/Asic1/Vdac1/Itgav/Slc35g1/Lyn/Gja1/Fmr1/Cav1/Camk2b/Cxcr4/Sec61a1/Cacng4/Serpine1/Cacnb4/Atp2c1/Mcu/F2r/Itpr2/Gja4/Ptk2b/Panx1/Ppp3ca/Plpp4	52	FALSE
GO:0007611	learning or memory	43/1506	357/28832	0.120448179271709	2.3059507999747	5.82885651104386	3.28889368295375e-07	0.000129745993003214	0.000104922530798974	Adcy1/Fgf13/Sgk1/Clstn2/Elavl4/Calb1/Tanc1/Ptchd1/Snap25/Kcnab1/Ptprz1/Adgrb3/Tacr1/Adcy8/Tac1/Chat/Fos/Ckap5/Grm7/Rag1/Jph4/Cx3cr1/Nr4a2/Prkar1b/Slc6a1/Ntsr1/Jph3/Btg2/Asic1/Syt4/Vdac1/Amph/Camk2n1/Sorcs3/Slc1a1/Grm4/Nfix/Lhx8/Lmx1a/Camk4/Pax6/Prkcz/Gucy2d	43	FALSE
GO:0060041	retina development in camera-type eye	31/1506	217/28832	0.142857142857143	2.73496490229558	6.02251641496698	3.69087257768621e-07	0.000129745993003214	0.000104922530798974	Max/Calb1/Tmem135/Neurod1/Nphp1/Nrp1/Col4a1/Lif/Irx6/Fos/Chd7/Ndp/Lama1/Bbs10/Neurod4/Dll1/Atoh7/Trpm1/Arl6/Man2a1/Gpm6a/Slc1a1/Vsx1/Rrm1/Atp8a2/Nfix/Mir23b/Rho/Pde6a/Pax6/Notch1	31	FALSE
GO:1904062	regulation of monoatomic cation transmembrane transport	41/1506	334/28832	0.122754491017964	2.35010457173303	5.8262317719684	3.7037214773442e-07	0.000129745993003214	0.000104922530798974	Fgf13/Dpp10/Cxcl11/Kcnab1/Ryr2/Nedd4l/Chd7/Gnb5/Tmem38b/Kcne2/Kcnip3/Dlg1/Cacna2d1/Asph/Cacnb2/Cxcr3/Pcsk9/Lrrc52/Ptpn22/Fyn/Ntsr1/Casq1/Jph3/Ndufa4/Slc30a1/Kcns2/Vdac1/Lyn/Kcne5/Fmr1/Cav1/Lrrc55/Pirt/Cacnb4/F2r/Gpd1l/Wnk2/Ptk2b/Kcnc1/Ppp3ca/Kcne4	41	FALSE
GO:0001654	eye development	52/1506	475/28832	0.109473684210526	2.09584678828545	5.65354442724575	4.29860158576974e-07	0.000141727422871996	0.000114611631135136	Fat1/Kera/Max/Pxdn/Mitf/Calb1/Tmem135/Neurod1/Wdr19/Nphp1/Nrp1/Col4a1/Lif/Cited2/Irx6/Fos/Chd7/Ndp/Map3k1/Crygf/Lama1/Bbs10/Neurod4/Ctnnb1/Ninj1/Dll1/Sp3/Fbn1/Dlg1/Atoh7/Trpm1/Gja8/Kdr/Arl6/Man2a1/Gpm6a/Slc1a1/Vsx1/Rrm1/Gja1/Atp8a2/Nfix/Mir23b/Hes5/Rho/Fbn2/Pde6a/Grhl2/Mab21l1/Pax6/Pknox1/Notch1	52	FALSE
GO:0150063	visual system development	52/1506	478/28832	0.108786610878661	2.08269293814977	5.60359051999473	5.21671925220422e-07	0.000152662298033539	0.000123454407311596	Fat1/Kera/Max/Pxdn/Mitf/Calb1/Tmem135/Neurod1/Wdr19/Nphp1/Nrp1/Col4a1/Lif/Cited2/Irx6/Fos/Chd7/Ndp/Map3k1/Crygf/Lama1/Bbs10/Neurod4/Ctnnb1/Ninj1/Dll1/Sp3/Fbn1/Dlg1/Atoh7/Trpm1/Gja8/Kdr/Arl6/Man2a1/Gpm6a/Slc1a1/Vsx1/Rrm1/Gja1/Atp8a2/Nfix/Mir23b/Hes5/Rho/Fbn2/Pde6a/Grhl2/Mab21l1/Pax6/Pknox1/Notch1	52	FALSE
GO:0050803	regulation of synapse structure or activity	46/1506	401/28832	0.114713216957606	2.19615635545929	5.66263250710644	5.31680295641214e-07	0.000152662298033539	0.000123454407311596	Rapgef4/Clstn2/Tanc1/Snap25/Rock2/Adgrb3/Ptprd/Arf6/Cdh8/Zfp804a/Nedd4l/Ppfia2/Dgkb/Rtn4r/Sema4d/Lrp4/Ctnnb1/Epha7/Elavl2/Fyn/Ywhaz/Slitrk4/Gpm6a/Il10ra/Slc30a1/Dock4/Asic1/Negr1/Adam10/Gpr158/Septin11/Pcdh8/Etv5/Il10/Cdh2/Camk2b/Dnm3/Crtac1/Actr3/Iqsec1/Hspa8/Lrrtm2/Numb/Ptk2b/Cbln1/Rims3	46	TRUE
GO:0006874	intracellular calcium ion homeostasis	41/1506	339/28832	0.12094395280236	2.31544226241543	5.71948411002892	5.49658993325105e-07	0.000152662298033539	0.000123454407311596	Tmem178/Tmtc4/Micu3/Calb1/Cxcl11/Tmem64/Trpm8/Sppl2c/Plch2/Ryr2/Adcy8/Rap1gds1/Atp2b3/Thada/Cd40/Cdh23/Chd7/Tmem38b/Trpc6/Xk/Asph/Cacnb2/Cxcr3/Efhc1/Cav2/Cacna1a/Ntsr1/Casq1/Hcrtr2/Jph3/Slc30a1/Itgav/Slc35g1/Lyn/Cav1/Cacnb4/Atp2c1/Mcu/F2r/Itpr2/Ptk2b	41	FALSE
GO:0010001	glial cell differentiation	38/1506	303/28832	0.125412541254125	2.40099229046411	5.75530166455653	5.71972927511922e-07	0.000152662298033539	0.000123454407311596	Ptprz1/Cntn1/Sh3tc2/Lif/Fa2h/9630013A20Rik/Ndp/Pou3f1/Eed/Nkx6-1/Nrros/Ckap5/Bmp2/Neurod4/Ctnnb1/Dll1/Daam2/Nkx6-2/Arhgef10/Clu/Pparg/Lef1/Rnf112/Gpm6b/Ptprj/Lyn/Cdh2/Nfix/B4galt5/Hes5/Cxcr4/Pfkfb3/Kcnj10/Actr3/Hdac11/Pax6/Phox2b/Notch1	38	FALSE
GO:0086011	membrane repolarization during action potential	9/1506	22/28832	0.409090909090909	7.8319449474828	7.52555226656068	7.56718238111718e-07	0.000192791169300735	0.000155905681019572	Kcna1/Kcne2/Dlg1/Cacna2d1/Kcnd3/Kcnj5/Kcne5/Cav1/Kcne4	9	FALSE
GO:0007272	ensheathment of neurons	29/1506	205/28832	0.141463414634146	2.70828231788294	5.7623941930587	1.0652838654335e-06	0.000248788169406449	0.000201189137041959	Mir204/Ptprz1/Cntn1/Mall/Sh3tc2/Fa2h/9630013A20Rik/Epb41l3/Pou3f1/Ckap5/Ctnnb1/Xk/Dlg1/Nkx6-2/Fyn/Arhgef10/Clu/Kif14/Gpm6b/Tmem163/Sgms1os1/Cdh2/B4galt5/Mir23b/Hes5/Cxcr4/Kcnj10/Cdk18/Cldn11	29	TRUE
GO:0008366	axon ensheathment	29/1506	205/28832	0.141463414634146	2.70828231788294	5.7623941930587	1.0652838654335e-06	0.000248788169406449	0.000201189137041959	Mir204/Ptprz1/Cntn1/Mall/Sh3tc2/Fa2h/9630013A20Rik/Epb41l3/Pou3f1/Ckap5/Ctnnb1/Xk/Dlg1/Nkx6-2/Fyn/Arhgef10/Clu/Kif14/Gpm6b/Tmem163/Sgms1os1/Cdh2/B4galt5/Mir23b/Hes5/Cxcr4/Kcnj10/Cdk18/Cldn11	29	TRUE
GO:1905962	glutamatergic neuron differentiation	10/1506	29/28832	0.344827586206897	6.60163941933416	7.08515887801076	1.17888956941972e-06	0.0002643070414639	0.000213738883617739	Mtpn/Irx6/Ndp/Bbs10/Kndc1/Vsx1/Nfix/Rho/Pax6/Cbln1	10	TRUE
