ctrl_label	n_bins	mean_pc1	median_pc1	sd_pc1	mean_rank	median_rank	sd_rank
A.1	7297	1.16023584273598	1.27425	0.409107434679496	0.846602983262755	0.856121161127472	0.0977506022992691
A.2	3359	0.433327180708544	0.43775	0.497863132890311	0.570116226219239	0.569204880100968	0.0517276235360243
B.1	3281	-0.19538518066985	-0.241583333333333	0.461517502988624	0.393068055300357	0.391670172486327	0.0489818639322988
B.2	9903	-0.947203992617277	-1.044	0.303425723382715	0.133074393344512	0.122002524190156	0.0894137581260829
