chromatin_state	n_total	n_mc_hyper	n_mc_hypo	n_mc_sig	pct_hyper	pct_hypo	pct_sig	or_state	p_state	q_state	sig_label
Active_Enhancer	49	32	3	35	65.3061224489796	6.12244897959184	71.4285714285714	3.37542934123877	3.45233205416385e-05	3.85848876641842e-05	***
Active_Promoter	6356	4555	342	4897	71.664568911265	5.38074260541221	77.0453115166772	9.96379738208636	0	0	***
Bivalent_Promoter	150	54	59	113	36	39.3333333333333	75.3333333333333	1.0057487954821	1	1	ns
Other	10972	2741	1210	3951	24.9817717827197	11.0280714546117	36.0098432373314	0.362474594305678	1.11890229703141e-262	1.41727624290645e-262	***
Poised_Enhancer	92	23	13	36	25	14.1304347826087	39.1304347826087	0.594745765173487	0.0294001394196306	0.0310334804984989	*
Polycomb	56	1	14	15	1.78571428571429	25	26.7857142857143	0.0323809618006081	9.61729875622495e-10	1.14205422730171e-09	***
Repressed_Promoter	3240	96	1621	1717	2.96296296296296	50.0308641975309	52.9938271604938	0.0423388279815052	0	0	***
