gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score
1700001K19Rik	-0.279436	0.457765	46.982215	FALSE	-0.073481	-0.094035	10	0	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.4518488151323882	-1.067972216986376
1700001L05Rik	0.118206	0.95593	3.598531	FALSE	-0.028858	-0.08432	6	0	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.6421116023723945	-1.2582350042263821
1700001O22Rik	0.972422	0.086279	7.398984	FALSE	-0.192901	0.334234	10	3	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.05733214652867331	-0.5587912553253143
1700003E16Rik	-0.220752	0.839942	8.168685	FALSE	0.10688	0.222552	16	2	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.30944272788973376	-0.9255661297437214
1700003M07Rik	-0.783961	0.278929	9.782634	FALSE	0.242076	0.160848	10	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.26700367382462636	-0.34911972802936125
1700008O03Rik	-0.142497	0.769906	32.319961	FALSE	0.147102	0.523637	11	0	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.13794484947798344	-0.7540682513319711
1700010I14Rik	0.142969	0.915738	8.704775	FALSE	-0.127678	-0.086473	9	2	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.22076456978701425	-0.8368879716410018
1700010L04Rik	-0.294644	0.901226	1.873634	FALSE	-0.041649	0.099542	6	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.5875735544691402	-1.2036969563231277
1700012C14Rik	-1.223393	0.218478	3.02499	FALSE	-0.757153	-0.769224	5	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	2.463180212004953	1.8470568101509655
1700016P03Rik	0.083286	0.961934	33.25538	FALSE	-0.206674	-0.778907	9	0	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.11605722930339953	-0.500066172550588
1700017B05Rik	-0.354845	0.115424	123.474073	FALSE	-0.052103	0.101609	6	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.5429999673547142	-1.159123369208702
1700017N19Rik	-1.394173	0.32043	1.886931	FALSE	-0.13438	-0.025793	5	2	1	FALSE	NA	1	1	0	0.386921155820101	-0.386921155820101	TRUE	TRUE	2	0	0.9044788099717969	2.2040909050323063	-0.192188696356664	2.916381018647439
1700019A02Rik	-0.960592	1.2e-5	66.904595	TRUE	-0.156442	-0.315254	11	4	4	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.09812111658638815	-0.7142445184403757
1700019D03Rik	0.287193	0.18176899999999999	129.856104	FALSE	0.091461	0.208147	13	6	3	FALSE	NA	1	1	0	0.313062917143718	-0.313062917143718	TRUE	TRUE	2	0	0.9044788099717969	1.716891779201607	-0.3751859974245848	2.2461845917488192
1700025G04Rik	-0.026949	0.950143	4518.728659	FALSE	0.096519	-0.555538	11	2	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.3536197831884297	-0.9697431850424173
1700028E10Rik	-0.001012	0.999193	7.93143	FALSE	0.08292	0.086418	3	1	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	-0.4116029677272739	-0.027726369581261512
1700028J19Rik	1.005886	0.271012	4.134035	FALSE	0.085311	0.084074	7	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.40140826265834406	-1.0175316645123318
1700029H14Rik	0.286376	0.616629	21.522236	FALSE	-0.172677	0.141257	11	2	2	TRUE	Control	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	-0.028898600152228598	0.35497799799378377
1700030J22Rik	-0.576874	0.175807	14.314119	FALSE	-0.224415	-0.157127	6	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.1917010028826065	-0.4244223989713811
