gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	go_group
Cntnap2	-1.261873	0	12921.788188	TRUE	-0.209111	-0.244363	4	1	2	TRUE	Control	8	8	0	0.601466608445091	-0.40044901179874526	TRUE	TRUE	3	1	9.111300164559866	3.6193203884734033	0.12644806838871192	13.85706862142198	Synapse Assembly
Zmynd11	0.21776	0.010368	2332.988134	FALSE	0.074321	0.112513	9	2	2	FALSE	NA	7	1	6	1.01311171109921	0.4565485226857296	TRUE	TRUE	2	0	7.938897113904428	6.334699711886706	-0.4482672374419236	13.825329588349211	Other
Gm28401	-0.917426	0.07266	16.613416	FALSE	-1.550919	-4.802725	13	4	5	FALSE	NA	4	4	0	0.585277781779022	-0.45451373265036227	TRUE	TRUE	2	0	4.421687961938113	3.512532271923644	5.8476261608732685	13.781846394735025	Other
Dhx32	-0.422497	0	328.042409	FALSE	-0.112545	-0.257367	9	1	4	FALSE	NA	9	0	9	0.625802372293926	0.4385036080177322	TRUE	TRUE	2	0	10.283703215215304	3.7798490320757034	-0.28528839739392137	13.778263849897085	Other
Tmem132b	0.643302	4.1e-5	112.159532	TRUE	-0.053912	0.02828	11	2	2	TRUE	Mutant	7	1	6	0.855457298738027	0.3080505518635374	TRUE	TRUE	3	1	7.938897113904428	5.294746779590725	-0.5352867839713207	13.698357109523831	Other
Nkain3	1.676183	0	271.779684	TRUE	0.12957	0.292666	8	3	4	TRUE	Control	4	0	4	1.28734035539557	0.8988979998210865	TRUE	TRUE	3	1	4.421687961938113	8.14362391822099	-0.21269749241753916	13.352614387741564	Other
Ggh	-0.195672	0.4232	101.388797	FALSE	0.076141	-0.03412	13	3	4	FALSE	NA	5	1	4	1.28734035539557	0.6078244268225304	TRUE	TRUE	2	0	5.594091012593551	8.14362391822099	-0.44050715244591676	13.297207778368623	Other
Tigit	-1.804208	3.51e-4	10.385155	TRUE	0.240158	0.627423	8	8	0	FALSE	NA	8	7	1	0.608249329950787	-0.31581571665326064	TRUE	TRUE	2	0	9.111300164559866	3.6640619914082806	0.25882573809806536	13.034187894066212	Other
Epha5	2.508837	0	866.392238	TRUE	0.692434	1.773786	7	3	3	TRUE	Mutant	4	0	4	0.870564439075675	0.720470261029924	TRUE	TRUE	3	1	4.421687961938113	5.3943996510673005	2.1872324423035443	13.003320055308958	Axon Guidance
Plxna2	-0.139804	0.302467	3354.262735	FALSE	3.108156	5.844856	6	6	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	12.487346753690105	12.871223351836116	Synapse Assembly
Svep1	-1.985089	0	1330.944619	TRUE	-0.748093	-1.695216	6	1	2	TRUE	Mutant	6	3	3	0.424993429859573	-0.04956084363373031	TRUE	TRUE	3	1	6.76649406324899	2.455231183528397	2.4245503383435127	12.6462755851209	Other
Tpk1	-0.604286	0	1022.32656	TRUE	-0.458261	-1.093614	7	2	5	TRUE	Mutant	5	5	0	0.77147728872594	-0.5968829648479574	TRUE	TRUE	3	1	5.594091012593551	4.740780313582579	1.188769594078324	12.523640920254454	Other
Gm15663	-1.066948	1e-6	39.41557	TRUE	-1.366688	-2.10319	4	1	2	FALSE	NA	4	2	2	0.503813035789609	0.089168399230147	TRUE	TRUE	2	0	4.421687961938113	2.9751575153177416	5.062105161478033	12.458950638733887	Other
Onecut2	1.775246	0	336.642287	TRUE	0.367239	0.53629	9	3	2	FALSE	NA	4	2	2	1.13832226024143	-0.2927341910232385	TRUE	TRUE	2	0	4.421687961938113	7.1606396636117875	0.8006715410527576	12.382999166602659	Cell Fate Commitment
Grik4	0.487827	1.28e-4	427.614867	FALSE	0.093073	0.384718	7	1	1	TRUE	Mutant	7	1	6	0.572901318228105	0.33744762776765697	TRUE	TRUE	3	1	7.938897113904428	3.430892060473403	-0.36831277928526446	12.001476395092565	Other
Cdh8	-1.206488	0	3350.01147	TRUE	-0.139419	-0.66483	5	1	2	FALSE	NA	8	8	0	0.499289638027787	-0.37154266231062627	TRUE	TRUE	2	0	9.111300164559866	2.945319335111463	-0.17070349399684082	11.885916005674488	Other
Rsrc1	0.231127	0.157789	879.242315	FALSE	0.115595	0.036821	12	5	7	FALSE	NA	6	5	1	0.850380542318386	-0.5008984435763508	TRUE	TRUE	2	0	6.76649406324899	5.261258419537328	-0.2722838593511627	11.755468623435156	Other
Myc	0.681368	0.345076	10.747098	FALSE	0.454143	1.349085	8	3	1	TRUE	Mutant	4	0	4	0.818645046401275	0.5001840365403267	TRUE	TRUE	3	1	4.421687961938113	5.05191811917671	1.1712113358291176	11.64481741694394	Other
Kcnn2	0.179644	0.316009	1966.006077	FALSE	-0.084388	-0.050228	7	2	2	TRUE	Mutant	7	1	6	0.517557164787109	0.33145516392926944	TRUE	TRUE	3	1	7.938897113904428	3.065819406975165	-0.40534373433489035	11.599372786544704	Other
Stxbp5l	-0.423583	0.002794	5227.20261	FALSE	-0.539133	-0.844398	10	4	3	TRUE	Mutant	6	6	0	0.364168266982651	-0.32626180401750066	TRUE	TRUE	3	1	6.76649406324899	2.05400355187595	1.5335902500107756	11.354087865135714	Other
Khdrbs3	1.923649	0	322.459433	TRUE	0.210786	0.593014	12	5	4	FALSE	NA	6	4	2	0.722260810886389	-0.06767165464130931	TRUE	TRUE	2	0	6.76649406324899	4.416128312538279	0.13358990485481712	11.316212280642086	Other
Dlgap2	2.235078	0	341.548891	TRUE	0.1976	0.428651	4	1	2	TRUE	Control	6	0	6	0.564881609870098	0.4361166441031682	TRUE	TRUE	3	1	6.76649406324899	3.37799078674336	0.07736766268045134	11.2218525126728	Other
Fam133b	0.141767	0.332456	445.703585	FALSE	-0.07624	0.057046	16	4	5	FALSE	NA	5	0	5	0.970849948973045	0.8380551342937856	TRUE	TRUE	2	0	5.594091012593551	6.0559238578597885	-0.4400850379323977	11.209929832520942	Other
Nav3	-0.559932	0.007851	3818.866906	TRUE	0.030961	-0.221815	4	2	0	TRUE	Control	5	4	1	0.844265986118768	-0.4152806910071284	FALSE	TRUE	2	1	5.594091012593551	5.220924308019324	-0.6331448667973384	11.181870453815538	Other
Vps13a	-0.014057	0.974258	1509.522649	FALSE	-0.229309	-0.206455	13	4	5	FALSE	NA	5	4	1	0.838938214949579	-0.3434172705673054	TRUE	TRUE	2	0	5.594091012593551	5.185780152096135	0.21256795671252812	10.992439121402214	Other
Cenpc1	0.050276	0.853615	473.095848	FALSE	-0.061301	0.036654	3	0	2	TRUE	Mutant	6	2	4	0.580489103657753	0.15085064683427865	TRUE	TRUE	3	1	6.76649406324899	3.480944194054778	-0.5037816916441261	10.743656565659641	Other
