Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Concordant	GO:0030832	regulation of actin filament length	11/578	166/28832	0.0662650602409639	3.30545712260808	4.26070383542986	0.000550528016982675	0.0146637555140756	0.0116616071173718	Actn2/Add3/Carmil1/Cit/Daam2/Dbn1/Esam/Fmn1/Pak3/Snx9/Svil	11
Concordant	GO:0031623	receptor internalization	11/578	166/28832	0.0662650602409639	3.30545712260808	4.26070383542986	0.000550528016982675	0.0146637555140756	0.0116616071173718	Angpt1/Arc/Cacng8/Cblb/Grk3/Gsg1l/Itgb3/Ldlrap1/Ntf3/Ptpn5/Snca	11
Concordant	GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	11/578	166/28832	0.0662650602409639	3.30545712260808	4.26070383542986	0.000550528016982675	0.0146637555140756	0.0116616071173718	Arc/Cacng8/Cblb/Cntnap2/Grid1/Grip1/Gsg1l/Itgb3/Nptxr/Prkn/Zdhhc2	11
Concordant	GO:0042060	wound healing	19/578	403/28832	0.0471464019851117	2.35177346372792	3.90867399921802	0.000568021836506422	0.0149452086861293	0.0118854376573231	Angpt1/Ano5/Cflar/Comp/Cx3cl1/Ext1/Fntb/Fzd7/Gp5/Itgb3/Itgb5/Jaml/Lyn/Mcam/Prrg3/Scnn1g/Slc12a2/Svep1/Tec	19
Concordant	GO:0050890	cognition	19/578	403/28832	0.0471464019851117	2.35177346372792	3.90867399921802	0.000568021836506422	0.0149452086861293	0.0118854376573231	Aph1c/Arc/Chrna4/Chrna7/Clstn2/Cnr1/Cntnap2/Dnah11/En1/Kcnab1/Mef2c/Pak6/Pde4d/Prkn/Shisa7/Slc8a3/Syt4/Tpbg/Trpm4	19
Concordant	GO:0045165	cell fate commitment	16/578	310/28832	0.0516129032258065	2.57457305502846	3.98664418892879	0.000582136041664182	0.0152237395138239	0.0121069441519951	Bcl11b/Ext1/Fzd7/Mef2c/Mitf/Myt1l/Nfia/Nfib/Ntf3/Onecut2/Otx2/Pml/Spry2/Stat6/Tenm4/Tgfbr1	16
Concordant	GO:0051354	negative regulation of oxidoreductase activity	4/578	20/28832	0.2	9.97647058823529	5.74364657957698	0.000599869174821894	0.0155710449124786	0.0123831448227554	Atp2b4/Cyp27b1/Prkn/Snca	4
Concordant	GO:1901888	regulation of cell junction assembly	16/578	311/28832	0.0514469453376206	2.5662946850766	3.97214502375415	0.000602633719671823	0.0155710449124786	0.0123831448227554	Arhgef15/Clstn2/Cntnap2/Elmo1/Fmn1/Il1rapl1/Il1rapl2/L1cam/Lrrn1/Mdga2/Mef2c/Nphp1/Prickle1/Sema4c/Snca/Tpbg	16
Concordant	GO:0050708	regulation of protein secretion	17/578	343/28832	0.0495626822157434	2.47230320699708	3.92337226213124	0.00062722921610563	0.016110083735094	0.0128118248402528	Acvr1c/Chrm3/Cnr1/Doc2b/Epha5/Gpr68/Mcu/Ndufaf2/Prkcb/Prkn/Slc12a2/Slc16a1/Syt4/Tgfb3/Trpm4/Unc13b/Wls	17
Concordant	GO:0099084	postsynaptic specialization organization	7/578	73/28832	0.0958904109589041	4.78323932312651	4.62905303598885	0.00065178706992619	0.0166417822883521	0.0132346673806252	Cit/Cntnap2/Csmd2/Dbn1/Itgb3/Nptxr/Prickle1	7
Concordant	GO:0031032	actomyosin structure organization	13/578	225/28832	0.0577777777777778	2.88209150326797	4.0536816311651	0.000664446382313979	0.0168652125863813	0.0134123542188457	Actn2/Arhgef15/Carmil1/Cflar/Fhdc1/Iqgap2/Itgb5/Kiss1r/Mef2c/Mybpc3/Rgcc/Tgfb3/Tgfbr1	13
Concordant	GO:0016055	Wnt signaling pathway	21/578	474/28832	0.0443037974683544	2.20997766195086	3.79911575499574	0.000668611868603716	0.0168716971521932	0.0134175111828139	Ccnd1/Daam2/Dact1/Ext1/Fzd7/Mitf/Ndp/Nkd1/Nkd2/Prickle1/Prkn/Sdc1/Tle2/Tle6/Tnn/Tpbg/Trpm4/Wls/Wwox/Zfp703/Znrf3	21
Concordant	GO:0014855	striated muscle cell proliferation	8/578	96/28832	0.0833333333333333	4.15686274509804	4.43130824387339	0.000702807204332798	0.0174838208428167	0.0139043132152424	Angpt1/Cflar/Fgf20/Mapk11/Mef2c/Tenm4/Tgfbr1/Trp73	8
Concordant	GO:0098900	regulation of action potential	7/578	74/28832	0.0945945945945946	4.71860095389507	4.5811013330636	0.000707637217988863	0.0174838208428167	0.0139043132152424	Cnr1/Cntnap2/Dsc2/Dsg2/Kcnc4/Scn9a/Trpm4	7
Concordant	GO:0034698	response to gonadotropin	5/578	36/28832	0.138888888888889	6.9281045751634	5.0904341764545	0.000717681952237917	0.0174838208428167	0.0139043132152424	Epha5/Epha8/Gclm/Inhba/Pde4d	5
Concordant	GO:0035265	organ growth	13/578	227/28832	0.0572687224669604	2.8566986265872	4.01686439398539	0.000721365242173099	0.0174838208428167	0.0139043132152424	Col9a1/Comp/Ext1/Fgf20/Heg1/Mapk11/Mef2c/Myocd/Spry2/Tenm4/Tgfbr1/Trp73/Wwc1	13
Concordant	GO:0001941	postsynaptic membrane organization	6/578	54/28832	0.111111111111111	5.54248366013072	4.77874384222905	0.000722213355044616	0.0174838208428167	0.0139043132152424	Cit/Dbn1/Dok7/Gdnf/Shisa7/Zdhhc2	6
Concordant	GO:0071526	semaphorin-plexin signaling pathway	6/578	54/28832	0.111111111111111	5.54248366013072	4.77874384222905	0.000722213355044616	0.0174838208428167	0.0139043132152424	Gdnf/Mef2c/Plxnc1/Plxnd1/Sema3a/Sema4c	6
Concordant	GO:0045859	regulation of protein kinase activity	21/578	477/28832	0.0440251572327044	2.19607843137255	3.76753958838914	0.000724418697021502	0.0174838208428167	0.0139043132152424	Angpt1/Card10/Ccnd1/Clspn/Dok7/Efna1/Heg1/Itgb3/Lyn/Map3k5/Myocd/Ntf3/Rgcc/Sez6/Shb/Slc8a3/Snca/Snx9/Spry2/Spry4/Tnfrsf11a	21
Concordant	GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	4/578	21/28832	0.19047619047619	9.50140056022409	5.57410008404201	0.000729336674787256	0.0174838208428167	0.0139043132152424	Chrm2/Chrm3/Prkcb/Rgs10	4
Concordant	GO:0051580	regulation of neurotransmitter uptake	4/578	21/28832	0.19047619047619	9.50140056022409	5.57410008404201	0.000729336674787256	0.0174838208428167	0.0139043132152424	Gdnf/Itgb3/Prkn/Snca	4
Concordant	GO:0030178	negative regulation of Wnt signaling pathway	11/578	172/28832	0.063953488372093	3.19015047879617	4.12053765495977	0.000739902554721507	0.017639113390184	0.0140278123198146	Dact1/Nkd1/Nkd2/Prickle1/Prkn/Tle2/Tle6/Tnn/Tpbg/Wwox/Znrf3	11
Concordant	GO:0006898	receptor-mediated endocytosis	15/578	287/28832	0.0522648083623693	2.60709161713466	3.91354527356405	0.00075214989497337	0.0178325648176379	0.0141816579387692	Angpt1/Arc/Cacng8/Cblb/Gas7/Grk3/Gsg1l/Itgb3/Ldlrap1/Ntf3/Ptpn5/Sdc1/Sh3gl3/Snca/Snx9	15
Concordant	GO:0034248	regulation of amide metabolic process	7/578	75/28832	0.0933333333333333	4.6556862745098	4.53400049284189	0.000767208550127006	0.0179918744228154	0.01430835167857	Chrna7/Efna1/Nsmaf/Rtn2/Snca/Spon1/Tpk1	7
Concordant	GO:0098926	postsynaptic signal transduction	7/578	75/28832	0.0933333333333333	4.6556862745098	4.53400049284189	0.000767208550127006	0.0179918744228154	0.01430835167857	Chrm2/Chrm3/Chrna4/Chrna7/Chrnb4/Prkcb/Rgs10	7
Concordant	GO:0046883	regulation of hormone secretion	17/578	350/28832	0.0485714285714286	2.42285714285714	3.83057421887733	0.000784606743787842	0.0182959395833692	0.0145501647964344	Acvr1c/Chrm3/Cnr1/Cyp27b1/Doc2b/Epha5/Gpr68/Il11/Inhba/Kiss1r/Mcu/Ndufaf2/Nucb2/Prkcb/Prkn/Slc16a1/Trpm4	17
Concordant	GO:0009306	protein secretion	20/578	447/28832	0.0447427293064877	2.23187261481774	3.75429949369029	0.000788654637892626	0.0182959395833692	0.0145501647964344	Acvr1c/Chrm3/Cnr1/Comp/Doc2b/Epha5/Gpr68/Mcu/Nagpa/Ndufaf2/Prkcb/Prkn/Ptprn2/Slc12a2/Slc16a1/Syt4/Tgfb3/Trpm4/Unc13b/Wls	20
Concordant	GO:0001702	gastrulation with mouth forming second	5/578	37/28832	0.135135135135135	6.74085850556439	4.99773202030836	0.000816277869965661	0.0187353138771374	0.0148995848605154	Dact1/Otx2/Prickle1/Tenm4/Zic3	5
Concordant	GO:0086091	regulation of heart rate by cardiac conduction	5/578	37/28832	0.135135135135135	6.74085850556439	4.99773202030836	0.000816277869965661	0.0187353138771374	0.0148995848605154	Dsc2/Dsg2/Kcnd3/Scn4b/Trpm4	5
Concordant	GO:0035592	establishment of protein localization to extracellular region	20/578	450/28832	0.0444444444444444	2.21699346405229	3.7215752661594	0.000855720556753028	0.0194592237456525	0.0154752867990065	Acvr1c/Chrm3/Cnr1/Comp/Doc2b/Epha5/Gpr68/Mcu/Nagpa/Ndufaf2/Prkcb/Prkn/Ptprn2/Slc12a2/Slc16a1/Syt4/Tgfb3/Trpm4/Unc13b/Wls	20
Concordant	GO:0030210	heparin proteoglycan biosynthetic process	3/578	10/28832	0.3	14.9647058823529	6.31718416636696	0.000865856537465884	0.0194592237456525	0.0154752867990065	Angpt1/Ext1/Ndst3	3
Concordant	GO:0032769	negative regulation of monooxygenase activity	3/578	10/28832	0.3	14.9647058823529	6.31718416636696	0.000865856537465884	0.0194592237456525	0.0154752867990065	Atp2b4/Cyp27b1/Snca	3
Concordant	GO:0035095	behavioral response to nicotine	3/578	10/28832	0.3	14.9647058823529	6.31718416636696	0.000865856537465884	0.0194592237456525	0.0154752867990065	Chrna4/Chrna7/Chrnb4	3
Concordant	GO:0042476	odontogenesis	10/578	149/28832	0.0671140939597315	3.34780892222661	4.10957961352177	0.000880381425913894	0.0196831391337744	0.0156533594135767	Aqp5/Aqp6/Bcl11b/Inhba/Lama5/Phex/Prkcb/Relt/Tnc/Wls	10
Concordant	GO:0017156	calcium-ion regulated exocytosis	7/578	77/28832	0.0909090909090909	4.53475935828877	4.44224320188894	0.000898211711879802	0.019978265653409	0.0158880639214767	Doc2b/Syn2/Syt1/Syt4/Syt6/Tspan18/Unc13b	7
Concordant	GO:0106027	neuron projection organization	9/578	124/28832	0.0725806451612903	3.62049335863378	4.18259909370792	0.0009064760392154	0.0200586877395613	0.0159520209870025	Arc/Chrna7/Cntnap2/Dbn1/Diaph2/Efna1/Epha5/Il1rapl1/Pak3	9
Concordant	GO:0048814	regulation of dendrite morphogenesis	8/578	100/28832	0.08	3.99058823529412	4.28476979144506	0.000920081670668489	0.0202558796374211	0.0161088412802324	Cdkl5/Cit/Dbn1/Grip1/Il1rapl1/Pak3/Sdc2/Wls	8
Concordant	GO:0016079	synaptic vesicle exocytosis	9/578	125/28832	0.072	3.59152941176471	4.15308716135462	0.000959819727735361	0.0210234625643557	0.0167192749795206	Cplx2/Doc2b/Prkcb/Snca/Sv2c/Syde1/Syt1/Syt4/Unc13b	9
Concordant	GO:1903844	regulation of cellular response to transforming growth factor beta stimulus	10/578	151/28832	0.0662251655629139	3.30346708219712	4.05907560914654	0.000975052143495086	0.0212492424201076	0.0168988303444656	Cflar/Cidea/Myocd/Nrep/Onecut2/Pmepa1/Sap30/Spry2/Tgfb3/Zfp703	10
Concordant	GO:0071692	protein localization to extracellular region	20/578	456/28832	0.043859649122807	2.18782249742002	3.65689240114392	0.00100469070258219	0.0217851275459404	0.0173250023296373	Acvr1c/Chrm3/Cnr1/Comp/Doc2b/Epha5/Gpr68/Mcu/Nagpa/Ndufaf2/Prkcb/Prkn/Ptprn2/Slc12a2/Slc16a1/Syt4/Tgfb3/Trpm4/Unc13b/Wls	20
Concordant	GO:1901342	regulation of vasculature development	16/578	327/28832	0.0489296636085627	2.44072674941536	3.74756155601362	0.00102488746288428	0.02203108571239	0.0175206048478115	Adam12/Atp2b4/Cemip2/Efna1/Ism1/Itgb3/Plxnd1/Pml/Prkcb/Ptgis/Rgcc/Slc12a2/Spry2/Tgfbr1/Tnn/Tspan18	16
Concordant	GO:0030879	mammary gland development	11/578	179/28832	0.0614525139664804	3.06539599079855	3.96459288388094	0.00102624524407657	0.02203108571239	0.0175206048478115	Ccnd1/Pgr/Pml/Slc12a2/Slc29a1/Stat6/Tgfa/Tgfb3/Tnfrsf11a/Umps/Zfp703	11
Concordant	GO:0051336	regulation of hydrolase activity	19/578	424/28832	0.044811320754717	2.23529411764706	3.66510797723447	0.00103696184161419	0.0221509423097289	0.0176159228955824	Aph1c/Bcl6/Cast/Cblb/Dock11/Efna1/Epha5/Gpr137b/Lyn/Mef2c/Ntf3/Rasgrp2/Rgs10/Snca/Snx9/Spry2/Syde1/Tbc1d2/Tmem132c	19
Concordant	GO:0014003	oligodendrocyte development	6/578	58/28832	0.103448275862069	5.16024340770791	4.53613968936057	0.00105807312849449	0.0223803213208516	0.0177983405515585	Cntnap2/Fa2h/Hdac11/Lyn/Prdm8/Tenm4	6
Concordant	GO:0051496	positive regulation of stress fiber assembly	6/578	58/28832	0.103448275862069	5.16024340770791	4.53613968936057	0.00105807312849449	0.0223803213208516	0.0177983405515585	Arhgef15/Carmil1/Kiss1r/Rgcc/Tgfb3/Tgfbr1	6
Concordant	GO:0043087	regulation of GTPase activity	12/578	208/28832	0.0576923076923077	2.87782805429864	3.88755127974921	0.00107002984819066	0.0225228233899643	0.0179116678053994	Bcl6/Cblb/Dock11/Epha5/Gpr137b/Ntf3/Rasgrp2/Rgs10/Snx9/Spry2/Syde1/Tbc1d2	12
Concordant	GO:0007369	gastrulation	12/578	209/28832	0.0574162679425837	2.86405854207712	3.86837811086359	0.00111507097297374	0.023356947807678	0.0185750197848461	Atoh8/Dact1/Ext1/Fzd7/Inhba/Itgb3/Mmp15/Otx2/Prickle1/Tenm4/Wls/Zic3	12
Concordant	GO:0006941	striated muscle contraction	11/578	181/28832	0.0607734806629834	3.0315242118947	3.92143661518825	0.0011230696957021	0.0233816182926822	0.0185946394179774	Arg2/Dsc2/Dsg2/Kcnd3/Mybpc3/Myh7b/Pde4d/Scn1a/Scn4b/Slc8a3/Trpm4	11
Concordant	GO:0046847	filopodium assembly	7/578	80/28832	0.0875	4.36470588235294	4.31034341594959	0.0011270861193228	0.0233816182926822	0.0185946394179774	Daam2/Dbn1/Dock11/Dpysl3/Spag6/Tgfb3/Tgfbr1	7
Concordant	GO:0097106	postsynaptic density organization	6/578	59/28832	0.101694915254237	5.0727816550349	4.47897215648654	0.00115819931979792	0.0239121055738183	0.019016518673086	Cit/Cntnap2/Csmd2/Dbn1/Itgb3/Prickle1	6
Concordant	GO:0086004	regulation of cardiac muscle cell contraction	5/578	40/28832	0.125	6.23529411764706	4.73902463115527	0.00117292525302143	0.0241008212704165	0.0191665981195482	Dsc2/Dsg2/Myh7b/Pde4d/Trpm4	5
Concordant	GO:0003407	neural retina development	8/578	104/28832	0.0769230769230769	3.83710407239819	4.14565390379825	0.00118813143868687	0.0242975694688807	0.0193230655531015	Atp2b4/Cabp4/Dscam/Fat3/Miat/Ndp/Sdk2/Zhx2	8
Concordant	GO:0003007	heart morphogenesis	15/578	301/28832	0.0498338870431894	2.48583154191909	3.70636448963453	0.00121332075789211	0.0246956559920022	0.019639650798055	Angpt1/Bmp5/Dnah11/Efna1/Ext1/Grhl2/Heg1/Ift57/Mef2c/Mybpc3/Parva/Plxnd1/Prickle1/Tgfbr1/Zic3	15
Concordant	GO:0030728	ovulation	4/578	24/28832	0.166666666666667	8.31372549019608	5.12674272994881	0.00123471314447961	0.0248962019552781	0.0197991384702584	Immp2l/Inhba/Pde4d/Pgr	4
Concordant	GO:0098719	sodium ion import across plasma membrane	4/578	24/28832	0.166666666666667	8.31372549019608	5.12674272994881	0.00123471314447961	0.0248962019552781	0.0197991384702584	Scnn1g/Slc12a2/Slc9a5/Trpm4	4
Concordant	GO:0035272	exocrine system development	6/578	60/28832	0.1	4.98823529411765	4.42308386212515	0.00126542166722493	0.0252791411762757	0.0201036775592264	Lama5/Nfib/Plxnd1/Sema3a/Tgfb3/Wls	6
Concordant	GO:0051489	regulation of filopodium assembly	6/578	60/28832	0.1	4.98823529411765	4.42308386212515	0.00126542166722493	0.0252791411762757	0.0201036775592264	Daam2/Dbn1/Dock11/Dpysl3/Tgfb3/Tgfbr1	6
Concordant	GO:0030072	peptide hormone secretion	16/578	334/28832	0.0479041916167665	2.38957379358929	3.65343562417865	0.0012765657781393	0.0253842457726779	0.0201872638211697	Acvr1c/Chrm3/Cnr1/Doc2b/Epha5/Exoc3l/Gpr68/Mcu/Ndufaf2/Nucb2/Prkcb/Prkn/Ptprn2/Slc16a1/Slc16a10/Trpm4	16
Concordant	GO:0007389	pattern specification process	21/578	500/28832	0.042	2.09505882352941	3.53295118135169	0.0013028227922198	0.0256572058799415	0.0204043401033383	Arc/Bmp5/Daam2/Dnah11/Emx1/En1/Ext1/Gdnf/Ift57/Lama5/Mdga2/Mef2c/Otx1/Otx2/Prickle1/Ripply2/Sema3a/Tgfbr1/Tmem107/Wls/Zic3	21
Concordant	GO:0007435	salivary gland morphogenesis	5/578	41/28832	0.121951219512195	6.0832137733142	4.65860329670785	0.00131407705665517	0.0256572058799415	0.0204043401033383	Lama5/Nfib/Plxnd1/Sema3a/Tgfb3	5
Concordant	GO:0060391	positive regulation of SMAD protein signal transduction	5/578	41/28832	0.121951219512195	6.0832137733142	4.65860329670785	0.00131407705665517	0.0256572058799415	0.0204043401033383	Atoh8/Bmp5/Inhba/Tgfb3/Tgfbr1	5
Concordant	GO:0086065	cell communication involved in cardiac conduction	5/578	41/28832	0.121951219512195	6.0832137733142	4.65860329670785	0.00131407705665517	0.0256572058799415	0.0204043401033383	Dsc2/Dsg2/Pde4d/Scn4b/Trpm4	5
Concordant	GO:0031503	protein-containing complex localization	14/578	273/28832	0.0512820512820513	2.55806938159879	3.69956293970938	0.00133336759439574	0.0259165818460254	0.0206106133605032	Arc/Cacng8/Cblb/Dbn1/Exoc3l/Grip1/Gsg1l/Ift57/Itgb3/Lca5/Lca5l/Nptxr/Pml/Zdhhc2	14
Concordant	GO:0030111	regulation of Wnt signaling pathway	16/578	336/28832	0.0476190476190476	2.37535014005602	3.62697669874801	0.00135739055203667	0.0262652028342521	0.0208878602767974	Daam2/Dact1/Fzd7/Nkd1/Nkd2/Prickle1/Prkn/Tle2/Tle6/Tnn/Tpbg/Trpm4/Wls/Wwox/Zfp703/Znrf3	16
Concordant	GO:0035567	non-canonical Wnt signaling pathway	6/578	61/28832	0.0983606557377049	4.90646094503375	4.36842342864137	0.00138006608910383	0.0264666007754802	0.0210480254993146	Daam2/Dact1/Fzd7/Nkd1/Prickle1/Znrf3	6
Concordant	GO:0042987	amyloid precursor protein catabolic process	6/578	61/28832	0.0983606557377049	4.90646094503375	4.36842342864137	0.00138006608910383	0.0264666007754802	0.0210480254993146	Aph1c/Chrna7/Efna1/Lyn/Rtn2/Spon1	6
Concordant	GO:0015833	peptide transport	17/578	369/28832	0.046070460704607	2.29810298102981	3.58951519230959	0.00139144662837039	0.026566779652293	0.0211276944969141	Acvr1c/Chrm3/Cnr1/Doc2b/Epha5/Exoc3l/Gpr68/Mcu/Ndufaf2/Nucb2/Prkcb/Prkn/Ptprn2/Slc16a1/Slc16a10/Slco3a1/Trpm4	17
Concordant	GO:0006851	mitochondrial calcium ion transmembrane transport	4/578	25/28832	0.16	7.98117647058824	4.99463097448121	0.00144679595276367	0.0272616791972717	0.0216803254700508	Mcu/Mcur1/Micu1/Slc8a3	4
Concordant	GO:0010842	retina layer formation	4/578	25/28832	0.16	7.98117647058824	4.99463097448121	0.00144679595276367	0.0272616791972717	0.0216803254700508	Dscam/Fat3/Ndp/Sdk2	4
Concordant	GO:0060080	inhibitory postsynaptic potential	4/578	25/28832	0.16	7.98117647058824	4.99463097448121	0.00144679595276367	0.0272616791972717	0.0216803254700508	Chrna4/Cx3cl1/Dbn1/Unc13b	4
Concordant	GO:0086001	cardiac muscle cell action potential	6/578	62/28832	0.0967741935483871	4.82732447817837	4.31494235970228	0.00150246385397022	0.0281875283907891	0.0224166231759401	Dsc2/Dsg2/Kcnd3/Scn1a/Scn4b/Trpm4	6
Concordant	GO:0120193	tight junction organization	8/578	108/28832	0.0740740740740741	3.69498910675381	4.01328715107937	0.00151502221518517	0.0282883474974702	0.0224968013274996	Esam/Ext1/Grhl2/Marveld2/Nphp1/Svep1/Tgfb3/Tgfbr1	8
Concordant	GO:0008361	regulation of cell size	12/578	217/28832	0.0552995391705069	2.75847113038764	3.71896453088851	0.00153520090501241	0.0282883474974702	0.0224968013274996	Aqp2/Cdkl5/Dbn1/Dscam/Fstl4/L1cam/Mgll/Sema3a/Slc12a2/Slc12a8/Trp73/Xk	12
Concordant	GO:0060041	retina development in camera-type eye	12/578	217/28832	0.0552995391705069	2.75847113038764	3.71896453088851	0.00153520090501241	0.0282883474974702	0.0224968013274996	Arhgef15/Atp2b4/Cabp4/Dscam/Fat3/Miat/Ndp/Nfia/Nfib/Nphp1/Sdk2/Zhx2	12
