resolution_kb	total_loops	significant_fdr05	pct_significant	up_in_mutant	down_in_mutant	median_logFC_all	median_logFC_sig	final_loops	final_up	final_down	pct_final	median_logFC_final
5	16584	6	0.0361794500723589	5	1	0.0750080346232085	0.864195984730278	2	2	0	0.0120598166907863	1.03378404284315
10	22616	54	0.238769013088079	34	20	0.0637161582293312	0.488479277990453	24	17	7	0.10611956137248	0.578112847886235
25	21675	96	0.442906574394464	40	56	0.0600564133017214	0.53032134985939	29	9	20	0.133794694348328	0.708515194831612
