loop_id	direction	logFC	FDR	anchor1_type	anchor2_type	anchor1_dist_to_boundary	anchor2_dist_to_boundary	min_dist_to_boundary	nearest_boundary_type	nearest_boundary_enriched	nearest_boundary_gap_score	near_boundary_10kb	near_boundary_25kb	near_boundary_50kb	near_boundary_100kb
loop_8846	down_in_mutant	-0.699352595907757	0.0223169101301851	Repressed_Promoter	Polycomb	279999	149999	149999	Merge	Matrix 1	-2.2291184859404223	FALSE	FALSE	FALSE	FALSE
loop_8847	down_in_mutant	-0.960055279119097	0.0265233094967848	Repressed_Promoter	Repressed_Promoter	0	279999	0	Split	Matrix 2	2.687119756065669	TRUE	TRUE	TRUE	TRUE
loop_9644	down_in_mutant	-0.595063304934702	0.0295775368310501	Repressed_Promoter	Repressed_Promoter	229999	0	0	Split	Matrix 2	3.0537445050002923	TRUE	TRUE	TRUE	TRUE
loop_9656	down_in_mutant	-0.690527358393859	0.0228820904134496	Repressed_Promoter	Repressed_Promoter	249999	0	0	Split	Matrix 2	3.0537445050002923	TRUE	TRUE	TRUE	TRUE
loop_9657	down_in_mutant	-0.705936081443634	0.0203861789965565	Repressed_Promoter	Repressed_Promoter	0	0	0	Complex	Matrix 1	-2.792310251314521	TRUE	TRUE	TRUE	TRUE
loop_10149	down_in_mutant	-0.540374045603432	0.0203861789965565	Repressed_Promoter	Repressed_Promoter	0	0	0	Strength Change	Matrix 1	-2.431868569017891	TRUE	TRUE	TRUE	TRUE
loop_10155	down_in_mutant	-0.726864890897287	0.0066738896651772	Repressed_Promoter	Repressed_Promoter	0	169999	0	Strength Change	Matrix 1	-2.431868569017891	TRUE	TRUE	TRUE	TRUE
loop_10524	down_in_mutant	-0.450751533510876	0.0132492221415787	Polycomb	Repressed_Promoter	129999	234999	129999	Strength Change	Matrix 1	-2.180368827775789	FALSE	FALSE	FALSE	FALSE
loop_10591	down_in_mutant	-0.70451688849716	0.0244189885990721	Repressed_Promoter	Repressed_Promoter	234999	79999	79999	Merge	Matrix 1	-2.109740988433691	FALSE	FALSE	FALSE	TRUE
loop_10875	down_in_mutant	-0.392411946958903	0.0223169101301851	Repressed_Promoter	Repressed_Promoter	989999	604999	604999	Merge	Matrix 1	-2.745244707765976	FALSE	FALSE	FALSE	FALSE
loop_10974	down_in_mutant	-0.783604647339721	0.0175119435369202	Repressed_Promoter	Polycomb	604999	49999	49999	Split	Matrix 2	2.1601849183009523	FALSE	FALSE	TRUE	TRUE
loop_12466	up_in_mutant	0.322412267368637	0.0139417069502811	Other	Other	309999	0	0	Complex	Matrix 2	2.212890645080554	TRUE	TRUE	TRUE	TRUE
loop_13141	down_in_mutant	-0.313251823856758	0.0269386986512202	Repressed_Promoter	Polycomb	209999	69999	69999	Split	Matrix 2	2.438529894089372	FALSE	FALSE	FALSE	TRUE
loop_13154	down_in_mutant	-0.431653425377823	0.0123851974764148	Repressed_Promoter	Repressed_Promoter	639999	339999	339999	Merge	Matrix 1	-2.0976468790114473	FALSE	FALSE	FALSE	FALSE
loop_13156	down_in_mutant	-0.417871141604092	0.008925482244469	Repressed_Promoter	Repressed_Promoter	209999	494999	209999	Complex	Matrix 1	-4.066608206893365	FALSE	FALSE	FALSE	FALSE
loop_13214	down_in_mutant	-0.565140239231705	0.0293576746073575	Repressed_Promoter	Polycomb	209999	614999	209999	Complex	Matrix 1	-4.066608206893365	FALSE	FALSE	FALSE	FALSE
loop_13659	down_in_mutant	-0.323979208919178	0.0223169101301851	Polycomb	Repressed_Promoter	524999	29999	29999	Split	Matrix 2	2.4324976612410154	FALSE	FALSE	TRUE	TRUE
loop_13852	down_in_mutant	-0.320293236725632	0.0290599662798142	Polycomb	Repressed_Promoter	644999	29999	29999	Split	Matrix 2	2.4324976612410154	FALSE	FALSE	TRUE	TRUE
loop_13925	down_in_mutant	-0.824127917492736	0.0103779633160752	Repressed_Promoter	Repressed_Promoter	369999	469999	369999	Split	Matrix 2	3.4925990754353013	FALSE	FALSE	FALSE	FALSE
loop_13932	down_in_mutant	-0.865475363360994	0.0158070326484489	Repressed_Promoter	Repressed_Promoter	444999	29999	29999	Split	Matrix 2	2.4324976612410154	FALSE	FALSE	TRUE	TRUE
loop_14489	down_in_mutant	-0.727688901185226	0.0043372173541328	Repressed_Promoter	Repressed_Promoter	149999	564999	149999	Split	Matrix 2	2.3781163701616053	FALSE	FALSE	FALSE	FALSE
loop_14494	down_in_mutant	-0.700795371355458	0.0269386986512202	Repressed_Promoter	Repressed_Promoter	564999	464999	464999	Merge	Matrix 1	-2.555679766985734	FALSE	FALSE	FALSE	FALSE
loop_14495	down_in_mutant	-0.864117141800103	0.0141387214545522	Repressed_Promoter	Repressed_Promoter	629999	464999	464999	Merge	Matrix 1	-2.555679766985734	FALSE	FALSE	FALSE	FALSE
loop_14905	down_in_mutant	-0.411381701206632	0.0269386986512202	Poised_Enhancer	Other	154999	19999	19999	Shifted	Matrix 2	3.0791251947890417	FALSE	TRUE	TRUE	TRUE
loop_14987	down_in_mutant	-0.778781102749481	0.014939203019758	Repressed_Promoter	Repressed_Promoter	369999	424999	369999	Strength Change	Matrix 2	2.4827311695408074	FALSE	FALSE	FALSE	FALSE
loop_16829	down_in_mutant	-0.342741506092882	0.0250977134593066	Poised_Enhancer	Other	4999	164999	4999	Split	Matrix 2	2.1904164167238456	TRUE	TRUE	TRUE	TRUE
loop_16957	up_in_mutant	0.326162073114353	0.0223169101301851	Other	Other	79999	29999	29999	Complex	Matrix 1	-2.1298403419428165	FALSE	FALSE	TRUE	TRUE
loop_17125	down_in_mutant	-0.393898176418541	0.0246313953525062	Repressed_Promoter	Repressed_Promoter	224999	0	0	Strength Change	Matrix 2	4.086435167912075	TRUE	TRUE	TRUE	TRUE
loop_18419	down_in_mutant	-0.78424084231532	0.0043372173541328	Repressed_Promoter	Repressed_Promoter	264999	149999	149999	Split	Matrix 2	2.3781163701616053	FALSE	FALSE	FALSE	FALSE
loop_18547	down_in_mutant	-0.792380989585652	0.0141657350120946	Repressed_Promoter	Repressed_Promoter	394999	424999	394999	Strength Change	Matrix 2	2.4827311695408074	FALSE	FALSE	FALSE	FALSE
loop_18550	down_in_mutant	-0.496167443089997	0.0182329710523233	Repressed_Promoter	Repressed_Promoter	9999	789999	9999	Complex	Matrix 1	-2.623201391873309	TRUE	TRUE	TRUE	TRUE
loop_18556	down_in_mutant	-1.08336338366207	0.0139417069502811	Repressed_Promoter	Repressed_Promoter	9999	394999	9999	Complex	Matrix 1	-2.623201391873309	TRUE	TRUE	TRUE	TRUE
loop_19055	down_in_mutant	-0.743509348991424	0.0043372173541328	Repressed_Promoter	Repressed_Promoter	189999	174999	174999	Shifted	Matrix 1	-2.1605507620408453	FALSE	FALSE	FALSE	FALSE
loop_19406	down_in_mutant	-0.36298208883314	0.0244189885990721	Polycomb	Active_Promoter	129999	389999	129999	Split	Matrix 2	2.76681748729421	FALSE	FALSE	FALSE	FALSE
loop_19460	up_in_mutant	0.336348861610065	0.0232482187122889	Repressed_Promoter	Poised_Enhancer	64999	0	0	Shifted	Matrix 1	-2.6409905563074703	TRUE	TRUE	TRUE	TRUE
loop_19960	down_in_mutant	-0.307621402787011	0.0168796871227422	Active_Promoter	Active_Promoter	9999	0	0	Shifted	Matrix 2	2.1212488988637523	TRUE	TRUE	TRUE	TRUE
loop_19964	up_in_mutant	0.301777018801198	0.0139417069502811	Other	Repressed_Promoter	169999	104999	104999	Strength Change	Matrix 1	-3.258552593486885	FALSE	FALSE	FALSE	FALSE
loop_19966	up_in_mutant	0.301266783171522	0.0155236594351187	Other	Active_Enhancer	89999	229999	89999	Merge	Matrix 1	-2.6007605543644554	FALSE	FALSE	FALSE	TRUE
loop_19978	up_in_mutant	0.322696976619866	0.0203861789965565	Other	Other	139999	1064999	139999	Shifted	Matrix 2	2.045034155032496	FALSE	FALSE	FALSE	FALSE
loop_20005	up_in_mutant	0.424925101425325	0.0061879592162724	Poised_Enhancer	Poised_Enhancer	289999	29999	29999	Split	Matrix 2	2.230343211100644	FALSE	FALSE	TRUE	TRUE
loop_20283	up_in_mutant	0.303057036407398	0.0203861789965565	Poised_Enhancer	Repressed_Promoter	384999	0	0	Strength Change	Matrix 2	2.690933464479578	TRUE	TRUE	TRUE	TRUE
loop_20287	up_in_mutant	0.349254024961772	0.0295775368310501	Other	Other	209999	64999	64999	Strength Change	Matrix 2	3.5982229258445355	FALSE	FALSE	FALSE	TRUE
loop_20331	up_in_mutant	0.454293877151007	0.0103779633160752	Other	Other	359999	54999	54999	Strength Change	Matrix 1	-2.840584823044025	FALSE	FALSE	FALSE	TRUE
loop_20543	up_in_mutant	0.392626232735604	0.0232482187122889	Other	Other	14999	554999	14999	Split	Matrix 2	2.3429592506581516	FALSE	TRUE	TRUE	TRUE
loop_20941	up_in_mutant	0.531699981651529	0.0203861789965565	Other	Other	794999	1059999	794999	Strength Change	Matrix 1	-2.2352538351434905	FALSE	FALSE	FALSE	FALSE
