threshold_bp	threshold_label	lost_near	lost_far	gained_near	gained_far	lost_prop_near	gained_prop_near	odds_ratio	odds_ratio_ci_low	odds_ratio_ci_high	p_value	observed_ratio	boot_mean	boot_ci_low	boot_ci_high	wilcox_p	wilcox_effect_r
10000	10kb	33	59	15	58	0.358695652173913	0.2054794520547945	2.152735376618923	1.0117512171224432	4.745303408859974	0.038515852845948155	0.572851805728518	0.5787888440702461	0.3018275764130126	0.9630900039969474	0.7038822033577912	0.029589589353648322
25000	25kb	37	55	23	50	0.40217391304347827	0.3150684931506849	1.4590708915760566	0.7312550030492593	2.948917125108896	0.25941706641975043	0.7834135505368381	0.7936396952410236	0.47616601435094585	1.181553047041337	0.7038822033577912	0.029589589353648322
50000	50kb	44	48	31	42	0.4782608695652174	0.4246575342465753	1.2402965227871678	0.6393885416215861	2.4177855327410094	0.5312325356723812	NA	NA	NA	NA	0.7038822033577912	0.029589589353648322
100000	100kb	54	38	45	28	0.5869565217391305	0.6164383561643836	0.8848707869374449	0.4487486472808061	1.7356283428335668	0.7503396734383488	NA	NA	NA	NA	0.7038822033577912	0.029589589353648322
