15	9	E	-2822793.3549298877	81
transitionprobs	4	13	9.165102790990336E-4
transitionprobs	4	14	3.014642851238458E-4
transitionprobs	4	15	2.4692669872091682E-5
transitionprobs	5	1	1.5860360226173977E-4
transitionprobs	5	2	1.0080225447903864E-5
transitionprobs	5	3	1.678385602961825E-4
transitionprobs	5	4	0.002531643565064251
transitionprobs	5	5	0.7608981531352711
transitionprobs	5	6	0.0039073720431390705
transitionprobs	5	7	0.0014764253498525716
transitionprobs	5	8	0.0032012438275707965
transitionprobs	5	9	1.717584393145666E-4
transitionprobs	5	10	4.6137293262850127E-4
transitionprobs	5	11	0.19057734481612834
transitionprobs	5	12	4.52309670063224E-4
transitionprobs	5	13	0.03462286855864936
transitionprobs	5	14	0.0012368954820160772
transitionprobs	5	15	1.260897922963946E-4
transitionprobs	6	1	6.144719317804806E-4
transitionprobs	6	2	1.8029275810673735E-5
transitionprobs	6	3	5.669427796136749E-5
transitionprobs	6	4	0.005210794060661964
transitionprobs	6	5	0.04216626074329686
transitionprobs	6	6	0.8002804588509582
transitionprobs	6	7	0.01803870474273188
transitionprobs	6	8	2.6390484781717993E-4
transitionprobs	6	9	0.0029491824651548247
transitionprobs	6	10	0.10055522371746259
transitionprobs	6	11	0.028861951633478572
transitionprobs	6	12	0.0
transitionprobs	6	13	3.036909139954441E-4
transitionprobs	6	14	4.187637926985487E-4
transitionprobs	6	15	2.618687461913006E-4
transitionprobs	7	1	6.05493663597521E-6
transitionprobs	7	2	1.336070043959011E-4
transitionprobs	7	3	6.98024989843147E-4
transitionprobs	7	4	0.0023432434372867906
transitionprobs	7	5	0.009522672638778514
transitionprobs	7	6	0.009966843587671208
transitionprobs	7	7	0.8523643205165585
transitionprobs	7	8	0.026527258585870475
transitionprobs	7	9	0.08563161982677008
transitionprobs	7	10	0.0031875601955839027
transitionprobs	7	11	0.009363806222466412
transitionprobs	7	12	0.0
transitionprobs	7	13	1.6025964794763367E-4
transitionprobs	7	14	9.472841019160021E-5
transitionprobs	7	15	0.0
transitionprobs	8	1	5.741523348632023E-5
transitionprobs	8	2	4.1343702287620304E-5
transitionprobs	8	3	0.0023528423890331472
transitionprobs	8	4	8.730527421537255E-4
transitionprobs	8	5	0.012431545360848674
transitionprobs	8	6	1.0189772023258908E-4
transitionprobs	8	7	0.017330721199310214
transitionprobs	8	8	0.8853119991560575
transitionprobs	8	9	0.013015237385066492
transitionprobs	8	10	2.676759528209009E-4
transitionprobs	8	11	0.06668394977633604
transitionprobs	8	12	2.4506513480424127E-4
transitionprobs	8	13	4.6693131041489124E-4
transitionprobs	8	14	7.434825268794269E-4
transitionprobs	8	15	7.684041026811213E-5
transitionprobs	9	1	1.1525571163697594E-4
transitionprobs	9	2	5.062553289328334E-4
transitionprobs	9	3	0.002476482806751054
transitionprobs	9	4	1.395029355468788E-4
transitionprobs	9	5	8.203395529237896E-4
transitionprobs	9	6	0.0016632644131496766
transitionprobs	9	7	0.09641026130723117
transitionprobs	9	8	0.021360171948153477
transitionprobs	9	9	0.8200847523378892
transitionprobs	9	10	0.01677222572760199
transitionprobs	9	11	0.03846313169837968
transitionprobs	9	12	5.32225961756988E-4
transitionprobs	9	13	6.559632762124402E-5
transitionprobs	9	14	5.245909719724733E-4
transitionprobs	9	15	6.594297045265633E-5
transitionprobs	10	1	0.0010877061014365871
transitionprobs	10	2	6.722232274035157E-4
transitionprobs	10	3	0.002804304744249746
transitionprobs	10	4	0.010671650235724783
transitionprobs	10	5	0.006332645920717275
transitionprobs	10	6	0.10097590126988026
transitionprobs	10	7	0.005032368570594701
transitionprobs	10	8	5.646133978331684E-4
transitionprobs	10	9	0.02783922880916127
transitionprobs	10	10	0.7228887839649158
transitionprobs	10	11	0.11694605226333946
transitionprobs	10	12	0.002894722336740602
transitionprobs	10	13	1.4867732952634255E-4
transitionprobs	10	14	0.001012276805745911
transitionprobs	10	15	1.2884502273062605E-4
transitionprobs	11	1	9.061630855784463E-4
transitionprobs	11	2	1.9576056501235505E-4
transitionprobs	11	3	5.422275189193491E-4
transitionprobs	11	4	1.035582174333922E-4
transitionprobs	11	5	0.006040156659225037
transitionprobs	11	6	8.3976129910684E-5
transitionprobs	11	7	5.1439789334099574E-5
transitionprobs	11	8	5.302379083847361E-4
transitionprobs	11	9	2.0321197049891654E-4
transitionprobs	11	10	3.4859087601552506E-4
transitionprobs	11	11	0.9882834850032773
transitionprobs	11	12	8.346419379688064E-4
