gene_id	enriched_in	symbol
102580	Control	Alg9
382137	Control	Fdxacb1
68721	Control	Cfap68
73673	Control	Rec114
102747	Control	Lrrc49
67557	Control	Larp6
22771	Control	Zic1
102465763	Control	Mir7656
331004	Control	Slc9a9
107993	Control	Bfsp2
81907	Control	Tmem108
108068	Control	Grm2
21767	Control	Tex264
100417434	Control	AA543401
208869	Control	Dock3
56395	Control	Tmem115
56808	Control	Cacna2d2
54214	Control	Golga4
17433	Control	Mobp
109332	Control	Cdcp1
14816	Control	Grm1
17684	Control	Cited2
215819	Control	Nhsl1
102635639	Control	Gm32926
215821	Control	Arfgef3
18634	Control	Pex7
432442	Control	Akap7
70503	Control	Ddo
71713	Control	Cdc40
14806	Control	Grik2
215999	Control	Mcu
216033	Control	Ctnna3
216028	Control	Lrrtm3
71371	Control	Arid5b
216188	Control	Aldh1l2
77976	Control	Nuak1
110312	Control	Pmch
75317	Control	Parpbp
102635316	Control	Gm32688
54712	Control	Plxnc1
12226	Control	Btg1
100417125	Control	Gm18409
100504202	Control	Gm20110
637578	Control	Alyreffm15
278279	Control	Tmtc2
327812	Control	Gm15663
260315	Control	Nav3
13008	Control	Csrp2
68876	Control	Atp23
77699	Control	9030616G12Rik
12808	Control	Cobl
216565	Control	Ehbp1
73873	Control	Fam161a
103573	Control	Xpo1
237711	Control	Eml6
327900	Control	Ubtd2
14172	Control	Fgf18
18148	Control	Npm1
20564	Control	Slit3
15944	Control	Irgm1
237759	Control	Col23a1
320027	Control	Fstl4
258065	Control	Or5af1
258529	Control	Or5af2
14457	Control	Gas7
93896	Control	Glp2r
71860	Control	Cfap52
11448	Control	Chrne
668433	Control	4930544D05Rik
109934	Control	Abr
56322	Control	Timm22
246104	Control	Rhbdl3
217012	Control	Unc45b
114714	Control	Rad51c
83560	Control	Tex14
110172	Control	Slc35b1
215512	Control	Fam117a
670464	Control	Krtap4-23
670482	Control	Krtap4-20
69464	Control	Krtap4-13
380730	Control	Lrrc37
100526469	Control	Mir3064
13207	Control	Ddx5
380732	Control	Milr1
50776	Control	Polg2
20606	Control	Sstr2
69806	Control	Slc39a11
237979	Control	Sdk2
69926	Control	Dnah17
69732	Control	2410018L13Rik
17933	Control	Myt1l
217480	Control	Dgkb
104886	Control	Rab15
110606	Control	Fntb
14776	Control	Gpx2
170721	Control	Papln
18222	Control	Numb
71349	Control	5430427M07Rik
75216	Control	Cep128
21432	Control	Tcl1
100040339	Control	Gm2721
94246	Control	Arid4b
76205	Control	Stard3nl
140580	Control	Elmo1
404335	Control	Or2b7
17084	Control	Ly86
15466	Control	Hrh2
12890	Control	Cplx2
22598	Control	Slc6a18
74338	Control	Slc6a19
17260	Control	Mef2c
320203	Control	Mir9-2hg
57748	Control	Jmy
238871	Control	Pde4d
73274	Control	Gpbp1
170625	Control	Snx18
13723	Control	Emb
554327	Control	2610042L04Rik
666329	Control	Gm3317
545013	Control	Gm5797
102631887	Control	Gm30108
12325	Control	Camk2g
100042055	Control	Gm10377
268739	Control	Arhgef40
69890	Control	Zfp219
219140	Control	Spata13
68245	Control	1700108J01Rik
69634	Control	Clybl
110821	Control	Pcca
223267	Control	Ggact
223435	Control	Trio
18163	Control	Ctnnd2
223455	Control	Marchf6
252967	Control	Ropn1l
626596	Control	Rgs22
78803	Control	Fbxo43
252973	Control	Grhl2
52589	Control	Ncald
170719	Control	Oxr1
210463	Control	Slc22a22
387609	Control	Zhx2
67819	Control	Derl1
211770	Control	Trib1
11514	Control	Adcy8
380993	Control	Zfat
20665	Control	Sox10
27660	Control	1700088E04Rik
69833	Control	Polr2f
64706	Control	Scube1
170736	Control	Parvb
64099	Control	Parvg
223828	Control	Pphln1
320709	Control	Tmem117
102635594	Control	Gm32885
22337	Control	Vdr
11827	Control	Aqp2
59033	Control	Slc4a8
268859	Control	Rbfox1
100124432	Control	Mir193b
723899	Control	Mir365-1
11450	Control	Adipoq
14167	Control	Fgf12
224116	Control	Muc20
381043	Control	Smbd1
77446	Control	Heg1
77782	Control	Polq
268890	Control	Lsamp
212547	Control	Nepro
58998	Control	Nectin3
66315	Control	Senp7
13837	Control	Epha3
77994	Control	Mir99ahg
74387	Control	Epcip
328734	Control	Pisd-ps2
50873	Control	Prkn
20517	Control	Slc22a1
240025	Control	Dact2
71682	Control	Wdr27
67045	Control	Riok2
30943	Control	Prss30
268934	Control	Grm4
26416	Control	Mapk14
627626	Control	Ptchd4
19765	Control	Ralbp1
70351	Control	Ppp4r1
68617	Control	Mtcl1
225027	Control	Srsf7
225164	Control	Mib1
269003	Control	Sap130
27528	Control	Nrep
56550	Control	Ube2d2a
71302	Control	Arhgap26
14815	Control	Nr3c1
69401	Control	Plac8l1
20358	Control	Sema6a
170826	Control	Ppargc1b
109575	Control	Tbx10
17995	Control	Ndufv1
60425	Control	Doc2g
66387	Control	Nudt8
71670	Control	Acy3
78891	Control	Scyl1
72289	Control	Malat1
18190	Control	Nrxn2
353211	Control	Prune2
18552	Control	Pcsk5
20409	Control	Ostf1
102465114	Control	Mir3084-2
107765	Control	Ankrd1
70567	Control	Fra10ac1
76952	Control	Nt5c2
94219	Control	Cnnm2
66866	Control	Nhlrc2
240675	Control	Vwa2
497097	Mutant	Xkr4
240725	Mutant	Sulf1
17978	Mutant	Ncoa2
78081	Mutant	Crisp4
21419	Mutant	Tfap2b
241035	Mutant	Pkhd1
226922	Mutant	Kcnq5
210933	Mutant	Adgrb3
226970	Mutant	Arhgef4
110895	Mutant	Slc9a4
67883	Mutant	Uxs1
78896	Mutant	Ecrg4
329152	Mutant	Hecw2
74013	Mutant	Rftn2
271697	Mutant	Cdk15
77341	Mutant	9530026F06Rik
18187	Mutant	Nrp2
70861	Mutant	Akr1cl
329178	Mutant	Unc80
13869	Mutant	Erbb4
54380	Mutant	Smarcal1
21961	Mutant	Tns1
435626	Mutant	Rufy4
98496	Mutant	Pid1
109032	Mutant	Sp110
70247	Mutant	Psmd1
26987	Mutant	Eif4e2
12778	Mutant	Ackr3
108679	Mutant	Cops8
19329	Mutant	Rab17
74019	Mutant	Traf3ip1
69030	Mutant	1810006J02Rik
70829	Mutant	Ccdc93
269109	Mutant	Dpp10
210356	Mutant	Nckap5
269116	Mutant	Nfasc
240754	Mutant	Lax1
320139	Mutant	Ptpn7
68724	Mutant	Arl8a
74091	Mutant	Npl
19734	Mutant	Rgs16
24014	Mutant	Rnasel
12290	Mutant	Cacna1e
73435	Mutant	Tex35
89867	Mutant	Sec16b
23850	Mutant	Pappa2
72025	Mutant	1600012P17Rik
12301	Mutant	Cacybp
64659	Mutant	Mrps14
381305	Mutant	Rc3h1
18514	Mutant	Pbx1
54418	Mutant	Fmn2
30928	Mutant	Zbtb18
19165	Mutant	Psen2
72978	Mutant	Cnih3
53791	Mutant	Tlr5
26381	Mutant	Esrrg
16510	Mutant	Kcnh1
67229	Mutant	Prpf18
170768	Mutant	Pfkfb3
20163	Mutant	Rsu1
65969	Mutant	Cubn
30963	Mutant	Hacd1
13418	Mutant	Dnajc1
208618	Mutant	Etl4
54519	Mutant	Apbb1ip
76857	Mutant	Spopl
54450	Mutant	Il36rn
71103	Mutant	Glt6d1
77704	Mutant	Lcn9
269254	Mutant	Setx
108168742	Mutant	Gm13427
227715	Mutant	Exosc2
68365	Mutant	Rab14
227801	Mutant	Dennd1a
76117	Mutant	Arhgap15
109129	Mutant	Mmadhc
319876	Mutant	Cobll1
329421	Mutant	Myo3b
14415	Mutant	Gad1
66748	Mutant	Erich2
68986	Mutant	Gad1os
108699	Mutant	Chn1
241494	Mutant	Zfp385b
228094	Mutant	Cerkl
241514	Mutant	Zfp804a
258167	Mutant	Or4p21
75786	Mutant	Ckap5
104418	Mutant	Dgkz
17242	Mutant	Mdk
228361	Mutant	Ambra1
192285	Mutant	Phf21a
241568	Mutant	Lrrc4c
74088	Mutant	Them7
214968	Mutant	Sema6d
20495	Mutant	Slc12a1
69976	Mutant	Galk2
241633	Mutant	Atp8b4
18795	Mutant	Plcb1
320684	Mutant	9630028H03Rik
94249	Mutant	Slc24a3
66877	Mutant	Crnkl1
67877	Mutant	Naa20
78774	Mutant	Cfap61
53626	Mutant	Insm1
99041	Mutant	Pax1dt
381393	Mutant	4921509C19Rik
16658	Mutant	Mafb
18803	Mutant	Plcg1
21969	Mutant	Top1
71389	Mutant	Chd6
277360	Mutant	Prex1
19223	Mutant	Ptgis
102466784	Mutant	Mir7004
11981	Mutant	Atp9a
228913	Mutant	Zfp217
76829	Mutant	Dok5
68175	Mutant	4930591A17Rik
12561	Mutant	Cdh4
108115	Mutant	Slco4a1
75149	Mutant	4930539M17Rik
241877	Mutant	Slc10a5
55980	Mutant	Impa1
81004	Mutant	Tbl1xr1
192167	Mutant	Nlgn1
665113	Mutant	Tnik
11747	Mutant	Anxa5
71342	Mutant	5430434I15Rik
26570	Mutant	Slc7a11
329650	Mutant	Med12l
66868	Mutant	Mfsd1
100505386	Mutant	Iqschfp
208426	Mutant	Iqcj
70652	Mutant	Tmem144
633285	Mutant	Rbm46
329693	Mutant	Fcrl5
18160	Mutant	Npr1
67781	Mutant	Ilf2
229593	Mutant	Golph3l
56205	Mutant	Ensa
14129	Mutant	Fcgr1
319154	Mutant	H3c13
319189	Mutant	H2bc18
68058	Mutant	Chd1l
236539	Mutant	Phgdh
17156	Mutant	Man1a2
329727	Mutant	Dennd2c
68183	Mutant	Bcas2
269473	Mutant	Lrig2
53975	Mutant	Ddx20
56543	Mutant	Kcnd3
229687	Mutant	Chil5
109959	Mutant	Amy2a5
19299	Mutant	Abcd3
109676	Mutant	Ank2
71643	Mutant	Zgrf1
23971	Mutant	Papss1
18033	Mutant	Nfkb1
22253	Mutant	Unc5c
229933	Mutant	Clca2
242259	Mutant	Slc44a5
329782	Mutant	4930570G19Rik
12395	Mutant	Runx1t1
73314	Mutant	Lrrc69
17389	Mutant	Mmp16
230125	Mutant	Slc25a51
242466	Mutant	Zfp462
16600	Mutant	Klf4
17841	Mutant	Mup2
373864	Mutant	Col27a1
329872	Mutant	Frem1
77739	Mutant	Adamtsl1
12578	Mutant	Cdkn2a
230514	Mutant	Leprot
72685	Mutant	Dnajc6
230594	Mutant	Tut4
100273	Mutant	Osbpl9
29864	Mutant	Rnf11
78933	Mutant	Agbl4
666048	Mutant	Trabd2b
100040736	Mutant	Foxd2os
30923	Mutant	Foxe3
140546	Mutant	Eri3
14201	Mutant	Fhl3
67205	Mutant	Utp11
70088	Mutant	Meaf6
635169	Mutant	CK137956
80912	Mutant	Pum1
13844	Mutant	Ephb2
73162	Mutant	Otud3
230868	Mutant	Igsf21
74202	Mutant	Fblim1
75330	Mutant	4930558F17Rik
108151	Mutant	Sema3d
100502967	Mutant	Speer4c1
75858	Mutant	Speer4cos
320118	Mutant	Fbxl13
67211	Mutant	Armc10
231134	Mutant	Dok7
54426	Mutant	Hgfac
70693	Mutant	Adgra3
116873	Mutant	Stim2
16599	Mutant	Klf3
213081	Mutant	Wdr19
231293	Mutant	Cwh43
69727	Mutant	Usp46
100313943	Mutant	Snora26
70036	Mutant	Dancr
319387	Mutant	Adgrl3
100041253	Mutant	Pramel60
320549	Mutant	Pramel48
71883	Mutant	Coq2
76199	Mutant	Med13l
78894	Mutant	Aacs
140904	Mutant	Caln1
319974	Mutant	Auts2
140709	Mutant	Col26a1
622474	Mutant	Smok3b
622486	Mutant	Smok3c
17295	Mutant	Met
16508	Mutant	Kcnd2
320405	Mutant	Cadps2
56463	Mutant	Snd1
232679	Mutant	Zc3hc1
243743	Mutant	Plxna4
243771	Mutant	Parp12
75379	Mutant	4930599N23Rik
434008	Mutant	Tmem178b
29807	Mutant	Tpk1
66797	Mutant	Cntnap2
26965	Mutant	Cul1
14056	Mutant	Ezh2
77485	Mutant	Stk31
15399	Mutant	Hoxa2
15400	Mutant	Hoxa3
15401	Mutant	Hoxa4
15402	Mutant	Hoxa5
15403	Mutant	Hoxa6
72628	Mutant	Hoxaas3
100041339	Mutant	Gm3279
232035	Mutant	Ccser1
14804	Mutant	Grid2
12386	Mutant	Ctnna2
74342	Mutant	Lrrtm1
100504740	Mutant	Gm20383
56284	Mutant	Mrpl19
66979	Mutant	Pole4
66284	Mutant	Gkn2
68888	Mutant	Gkn3
21366	Mutant	Slc6a6
243548	Mutant	Prickle2
232288	Mutant	Frmd4b
56353	Mutant	Rybp
72171	Mutant	Shq1
108073	Mutant	Grm7
74244	Mutant	Atg7
81896	Mutant	Ift122
214932	Mutant	Hdhd5
330409	Mutant	Cecr2
18205	Mutant	Ntf3
381812	Mutant	Cracr2a
68498	Mutant	Tspan11
14011	Mutant	Etv6
74525	Mutant	Fam234b
14812	Mutant	Grin2b
232449	Mutant	Dera
74071	Mutant	Lmntd1
330450	Mutant	Far2
67456	Mutant	Ergic2
100042891	Mutant	Vmn2r47
72716	Mutant	Gm45351
73090	Mutant	2900092C05Rik
321008	Mutant	Zswim9
100042966	Mutant	Vmn1r-ps79
100042968	Mutant	Vmn1r101
100043037	Mutant	Vmn1r250
100043058	Mutant	Gm10665
100043061	Mutant	Vmn1r256
100043536	Mutant	Vmn1r100
100043566	Mutant	Gm10668
101055864	Mutant	Gm4513
667094	Mutant	Vmn1r252
667464	Mutant	Vmn1r142
667469	Mutant	Vmn1r143
667472	Mutant	Vmn1r251
667485	Mutant	Vmn1r254
667504	Mutant	Vmn1r152
667512	Mutant	Vmn1r255
673977	Mutant	Vmn1r107
100043016	Mutant	Vmn1r131
100043083	Mutant	Vmn1r259
545929	Mutant	Gm5891
667586	Mutant	Vmn1r163
667599	Mutant	Vmn1r260
667543	Mutant	Vmn1r257
68947	Mutant	Chst8
233246	Mutant	Ano5
140919	Mutant	Slc17a6
14453	Mutant	Gas2
52480	Mutant	Snhg14
16001	Mutant	Igf1r
330578	Mutant	A530021J07Rik
23966	Mutant	Tenm4
101700	Mutant	Trim68
258749	Mutant	Or52i2
258358	Mutant	Or51d1
259097	Mutant	Or51e1
259091	Mutant	Or51f1e
100042856	Mutant	Gvin2
100417829	Mutant	Gvin-ps2
21676	Mutant	Tead1
56372	Mutant	1110004F10Rik
233781	Mutant	Xylt1
628779	Mutant	Hs3st4
74204	Mutant	Xpo6
14183	Mutant	Fgfr2
71007	Mutant	D7Ertd443e
12577	Mutant	Cdkn1c
18400	Mutant	Slc22a18
210274	Mutant	Shank2
102465762	Mutant	Mir7654
234023	Mutant	Arglu1
619321	Mutant	9530052E02Rik
100041895	Mutant	Defa37
665927	Mutant	Defa42
211323	Mutant	Nrg1
22427	Mutant	Wrn
67276	Mutant	Eri1
23965	Mutant	Tenm3
404315	Mutant	Or2z8
109136	Mutant	Mmaa
234479	Mutant	Gm4890
234515	Mutant	Inpp4b
330812	Mutant	Rnf150
26992	Mutant	Brd7
20538	Mutant	Slc6a2
214987	Mutant	Chtf8
21771	Mutant	Utp4
11906	Mutant	Zfhx3
234736	Mutant	Rfwd3
66531	Mutant	Cmc2
12554	Mutant	Cdh13
108148	Mutant	Galnt2
234814	Mutant	Mthfsd
195209	Mutant	Zfp469
22761	Mutant	Zfpm1
14802	Mutant	Gria4
102634431	Mutant	Gm32014
244682	Mutant	Cntn5
75747	Mutant	Sesn3
270120	Mutant	Fat3
235106	Mutant	Ntm
56379	Mutant	Kcnj1
67703	Mutant	Kirrel3
105244994	Mutant	Gm3867
258801	Mutant	Or8b44
73144	Mutant	Mir100hg
20660	Mutant	Sorl1
72169	Mutant	Trim29
100038560	Mutant	Gm10687
84004	Mutant	Mcam
114873	Mutant	Dscaml1
235379	Mutant	Gldn
110835	Mutant	Chrna5
21887	Mutant	Tle3
207667	Mutant	Skor1
225215	Mutant	Rsl24d1
66991	Mutant	Khdc3
12816	Mutant	Col12a1
74700	Mutant	4930524O08Rik
102502	Mutant	Pls1
245000	Mutant	Atr
73410	Mutant	1700065D16Rik
235542	Mutant	Ppp2r3a
24059	Mutant	Slco2a1
208583	Mutant	Nek11
208869	Mutant	Dock3
12530	Mutant	Cdc25a
235633	Mutant	Als2cl
73748	Mutant	Gadl1
207181	Mutant	Rbms3
208194	Mutant	Exog
13051	Mutant	Cx3cr1
