TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
6447000000.0	5382218979.9	4050114460.0	6250160687.9
6448000000.0	5382925954.1	4050513451.3	6251115109.1
6449000000.0	5383632894.8	4050912397.6	6252069525.8
6450000000.0	5384339801.9	4051311298.7	6253023937.9
6451000000.0	5385046675.4	4051710154.8	6253978345.4
6452000000.0	5385753515.4	4052108965.8	6254932748.4
6453000000.0	5386460321.8	4052507731.7	6255887146.8
6454000000.0	5387167094.7	4052906452.6	6256841540.7
6455000000.0	5387873834.0	4053305128.4	6257795929.9
6456000000.0	5388580539.7	4053703759.2	6258750314.6
6457000000.0	5389287211.9	4054102345.0	6259704694.8
6458000000.0	5389993850.5	4054500885.8	6260659070.3
6459000000.0	5390700455.6	4054899381.5	6261613441.3
6460000000.0	5391407027.1	4055297832.2	6262567807.7
6461000000.0	5392113565.1	4055696238.0	6263522169.6
6462000000.0	5392820069.6	4056094598.7	6264476526.9
6463000000.0	5393526540.5	4056492914.5	6265430879.6
6464000000.0	5394232977.8	4056891185.3	6266385227.8
6465000000.0	5394939381.7	4057289411.1	6267339571.3
6466000000.0	5395645752.0	4057687591.9	6268293910.4
6467000000.0	5396352088.8	4058085727.8	6269248244.8
6468000000.0	5397058392.0	4058483818.8	6270202574.7
6469000000.0	5397764661.7	4058881864.8	6271156900.0
6470000000.0	5398470897.9	4059279865.9	6272111220.7
6471000000.0	5399177100.6	4059677822.1	6273065536.9
6472000000.0	5399883269.8	4060075733.3	6274019848.5
6473000000.0	5400589405.4	4060473599.7	6274974155.5
6474000000.0	5401295507.5	4060871421.1	6275928458.0
6475000000.0	5402001576.1	4061269197.7	6276882755.9
6476000000.0	5402707611.3	4061666929.3	6277837049.2
6477000000.0	5403413612.9	4062064616.1	6278791338.0
6478000000.0	5404119581.0	4062462258.1	6279745622.2
6479000000.0	5404825515.6	4062859855.1	6280699901.8
6480000000.0	5405531416.7	4063257407.3	6281654176.9
6481000000.0	5406237284.3	4063654914.7	6282608447.4
6482000000.0	5406943118.4	4064052377.2	6283562713.3
6483000000.0	5407648919.0	4064449794.9	6284516974.7
6484000000.0	5408354686.1	4064847167.8	6285471231.5
