TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8380000000.0	6459565354.9	4482530107.2	8118868124.8
8381000000.0	6460164992.3	4482817688.3	8119819586.2
8382000000.0	6460764597.8	4483105237.6	8120771043.5
8383000000.0	6461364171.6	4483392755.2	8121722496.8
8384000000.0	6461963713.6	4483680241.0	8122673946.0
8385000000.0	6462563223.9	4483967695.2	8123625391.2
8386000000.0	6463162702.4	4484255117.7	8124576832.3
8387000000.0	6463762149.1	4484542508.4	8125528269.3
8388000000.0	6464361564.0	4484829867.5	8126479702.3
8389000000.0	6464960947.2	4485117194.9	8127431131.3
8390000000.0	6465560298.7	4485404490.6	8128382556.2
8391000000.0	6466159618.4	4485691754.7	8129333977.0
8392000000.0	6466758906.3	4485978987.1	8130285393.8
8393000000.0	6467358162.5	4486266187.8	8131236806.5
8394000000.0	6467957387.0	4486553356.8	8132188215.2
8395000000.0	6468556579.7	4486840494.2	8133139619.8
8396000000.0	6469155740.7	4487127600.0	8134091020.3
8397000000.0	6469754869.9	4487414674.1	8135042416.8
8398000000.0	6470353967.4	4487701716.6	8135993809.3
8399000000.0	6470953033.2	4487988727.4	8136945197.7
8400000000.0	6471552067.2	4488275706.6	8137896582.0
8401000000.0	6472151069.5	4488562654.2	8138847962.3
8402000000.0	6472750040.1	4488849570.2	8139799338.5
8403000000.0	6473348979.0	4489136454.6	8140750710.7
8404000000.0	6473947886.1	4489423307.3	8141702078.8
8405000000.0	6474546761.6	4489710128.5	8142653442.9
8406000000.0	6475145605.3	4489996918.0	8143604802.9
8407000000.0	6475744417.3	4490283676.0	8144556158.9
8408000000.0	6476343197.6	4490570402.4	8145507510.8
8409000000.0	6476941946.1	4490857097.2	8146458858.6
8410000000.0	6477540663.0	4491143760.4	8147410202.4
8411000000.0	6478139348.2	4491430392.1	8148361542.1
8412000000.0	6478738001.7	4491716992.2	8149312877.8
8413000000.0	6479336623.5	4492003560.7	8150264209.4
8414000000.0	6479935213.5	4492290097.7	8151215537.0
8415000000.0	6480533771.9	4492576603.1	8152166860.5
8416000000.0	6481132298.6	4492863077.0	8153118180.0
