direction	ctrl_label	N	group_total	label_total	expected	obs_exp	log2_obs_exp	timepoint
gained	B.2	162	1126	472	118.76469273743	1.36404175572749	0.447887808481535	250831
gained	B.1	170	1126	600	150.972067039106	1.126036116045	0.171253100600572	250831
lost	B.1	107	882	600	118.256983240223	0.904809145880574	-0.144314582613273	250831
gained	A.2	258	1126	1090	274.26592178771	0.9406928805384	-0.088204309282283	250831
gained	A.1	536	1126	2313	581.997318435754	0.920966442664406	-0.118779505219667	250831
unchanged	A.2	634	2467	1090	600.900558659218	1.05508305969067	0.0773565772139768	250831
unchanged	B.1	323	2467	600	330.77094972067	0.976506553168491	-0.0342983690630979	250831
unchanged	B.2	212	2467	472	260.206480446927	0.814737586995802	-0.295592628059784	250831
lost	B.2	98	882	472	93.0288268156425	1.05343691148776	0.0751039162348274	250831
unchanged	A.1	1298	2467	2313	1275.12201117318	1.0179418037069	0.025655084101806	250831
lost	A.2	198	882	1090	214.833519553073	0.921643886912563	-0.117718678103218	250831
lost	A.1	479	882	2313	455.880670391062	1.05071355534576	0.0713694165814501	250831
