loop_id	shift_detected	ctrl_peak_row	ctrl_peak_col	mut_peak_row	mut_peak_col	ctrl_centered	mut_centered
loop_113	TRUE	3	3	3	4	TRUE	FALSE
loop_114	FALSE	3	3	3	3	TRUE	TRUE
loop_115	FALSE	5	1	5	1	FALSE	FALSE
loop_116	FALSE	5	1	5	1	FALSE	FALSE
loop_117	TRUE	4	2	3	4	FALSE	FALSE
loop_118	FALSE	3	3	3	3	TRUE	TRUE
loop_119	FALSE	3	3	3	3	TRUE	TRUE
loop_120	FALSE	3	3	3	3	TRUE	TRUE
loop_121	FALSE	3	2	3	2	FALSE	FALSE
loop_122	FALSE	3	1	3	1	FALSE	FALSE
loop_123	FALSE	3	2	3	2	FALSE	FALSE
loop_124	FALSE	5	1	5	1	FALSE	FALSE
loop_125	FALSE	5	1	5	1	FALSE	FALSE
loop_126	FALSE	3	3	3	3	TRUE	TRUE
loop_127	FALSE	3	2	3	2	FALSE	FALSE
loop_128	TRUE	3	3	5	2	TRUE	FALSE
loop_129	TRUE	3	3	4	1	TRUE	FALSE
loop_130	FALSE	3	2	3	2	FALSE	FALSE
loop_131	FALSE	3	1	3	1	FALSE	FALSE
loop_132	TRUE	4	2	4	3	FALSE	FALSE
loop_133	TRUE	4	2	4	3	FALSE	FALSE
loop_134	TRUE	3	3	4	3	TRUE	FALSE
loop_135	FALSE	4	3	4	3	FALSE	FALSE
loop_136	FALSE	5	4	5	4	FALSE	FALSE
loop_137	TRUE	2	3	3	3	FALSE	TRUE
loop_138	FALSE	4	3	4	3	FALSE	FALSE
loop_139	TRUE	3	3	5	2	TRUE	FALSE
loop_140	TRUE	3	1	3	2	FALSE	FALSE
loop_141	TRUE	4	4	3	4	FALSE	FALSE
loop_142	TRUE	5	3	5	2	FALSE	FALSE
loop_143	FALSE	3	1	3	1	FALSE	FALSE
loop_144	FALSE	1	3	1	3	FALSE	FALSE
loop_145	FALSE	3	3	3	3	TRUE	TRUE
loop_146	FALSE	3	3	3	3	TRUE	TRUE
loop_147	FALSE	5	2	5	2	FALSE	FALSE
loop_148	FALSE	1	3	1	3	FALSE	FALSE
loop_149	TRUE	3	3	4	2	TRUE	FALSE
loop_150	TRUE	3	3	2	3	TRUE	FALSE
loop_151	TRUE	3	3	3	4	TRUE	FALSE
loop_152	FALSE	2	3	2	3	FALSE	FALSE
loop_153	TRUE	5	2	4	2	FALSE	FALSE
loop_154	TRUE	3	4	3	3	FALSE	TRUE
loop_155	TRUE	3	2	3	1	FALSE	FALSE
loop_156	TRUE	4	2	3	2	FALSE	FALSE
loop_157	FALSE	3	3	3	3	TRUE	TRUE
loop_158	TRUE	3	3	2	3	TRUE	FALSE
loop_159	TRUE	3	3	5	2	TRUE	FALSE
loop_160	TRUE	3	3	2	3	TRUE	FALSE
loop_161	TRUE	4	2	3	3	FALSE	TRUE
loop_162	TRUE	4	3	5	2	FALSE	FALSE
loop_163	TRUE	3	3	3	4	TRUE	FALSE
loop_164	FALSE	3	3	3	3	TRUE	TRUE
loop_165	TRUE	3	3	3	2	TRUE	FALSE
loop_166	TRUE	3	2	3	3	FALSE	TRUE
loop_167	FALSE	3	3	3	3	TRUE	TRUE
loop_168	FALSE	2	3	2	3	FALSE	FALSE
loop_169	FALSE	3	3	3	3	TRUE	TRUE
loop_170	TRUE	3	3	3	1	TRUE	FALSE
loop_171	FALSE	5	1	5	1	FALSE	FALSE
loop_172	FALSE	5	1	5	1	FALSE	FALSE
loop_173	FALSE	5	1	5	1	FALSE	FALSE
loop_174	FALSE	5	1	5	1	FALSE	FALSE
loop_175	FALSE	5	1	5	1	FALSE	FALSE
loop_176	FALSE	5	1	5	1	FALSE	FALSE
loop_177	FALSE	4	3	4	3	FALSE	FALSE
loop_178	FALSE	5	1	5	1	FALSE	FALSE
loop_179	TRUE	3	4	3	1	FALSE	FALSE
loop_180	FALSE	5	2	5	2	FALSE	FALSE
loop_181	FALSE	3	3	3	3	TRUE	TRUE
loop_182	FALSE	4	3	4	3	FALSE	FALSE
loop_183	FALSE	5	1	5	1	FALSE	FALSE
loop_184	FALSE	5	1	5	1	FALSE	FALSE
loop_185	FALSE	3	4	3	4	FALSE	FALSE
loop_186	FALSE	4	3	4	3	FALSE	FALSE
loop_187	FALSE	3	3	3	3	TRUE	TRUE
loop_188	TRUE	1	4	2	4	FALSE	FALSE
loop_189	FALSE	3	1	3	1	FALSE	FALSE
loop_190	FALSE	3	4	3	4	FALSE	FALSE
loop_191	FALSE	4	3	4	3	FALSE	FALSE
loop_192	FALSE	3	3	3	3	TRUE	TRUE
loop_193	FALSE	3	3	3	3	TRUE	TRUE
loop_194	TRUE	4	3	4	4	FALSE	FALSE
loop_195	FALSE	4	3	4	3	FALSE	FALSE
loop_196	TRUE	3	4	1	4	FALSE	FALSE
loop_197	TRUE	3	3	3	2	TRUE	FALSE
loop_198	TRUE	3	3	3	4	TRUE	FALSE
loop_199	TRUE	3	3	5	3	TRUE	FALSE
loop_200	FALSE	2	3	2	3	FALSE	FALSE
loop_201	TRUE	3	3	3	2	TRUE	FALSE
loop_202	TRUE	3	3	4	2	TRUE	FALSE
loop_203	FALSE	3	4	3	4	FALSE	FALSE
loop_204	TRUE	3	3	3	2	TRUE	FALSE
loop_205	TRUE	5	3	3	3	FALSE	TRUE
loop_206	TRUE	3	3	2	2	TRUE	FALSE
loop_207	FALSE	4	3	4	3	FALSE	FALSE
loop_208	FALSE	2	3	2	3	FALSE	FALSE
loop_209	FALSE	3	4	3	4	FALSE	FALSE
loop_210	FALSE	2	2	2	2	FALSE	FALSE
loop_211	FALSE	3	4	3	4	FALSE	FALSE
loop_212	TRUE	3	3	4	2	TRUE	FALSE
loop_213	FALSE	3	3	3	3	TRUE	TRUE
loop_214	TRUE	3	3	3	2	TRUE	FALSE
loop_215	FALSE	4	3	4	3	FALSE	FALSE
loop_216	FALSE	3	4	3	4	FALSE	FALSE
loop_217	FALSE	5	3	5	3	FALSE	FALSE
loop_218	FALSE	3	3	3	3	TRUE	TRUE
loop_219	FALSE	3	2	3	2	FALSE	FALSE
loop_220	FALSE	5	3	5	3	FALSE	FALSE
loop_221	FALSE	3	4	3	4	FALSE	FALSE
loop_222	TRUE	3	3	5	1	TRUE	FALSE
loop_223	FALSE	3	3	3	3	TRUE	TRUE
loop_224	FALSE	3	1	3	1	FALSE	FALSE
loop_225	TRUE	3	3	3	1	TRUE	FALSE
loop_226	FALSE	4	3	4	3	FALSE	FALSE
loop_227	TRUE	3	3	2	2	TRUE	FALSE
loop_228	FALSE	3	3	3	3	TRUE	TRUE
loop_229	TRUE	3	3	5	4	TRUE	FALSE
loop_230	FALSE	3	3	3	3	TRUE	TRUE
loop_231	TRUE	3	3	4	3	TRUE	FALSE
loop_232	TRUE	3	3	1	3	TRUE	FALSE
loop_233	FALSE	5	1	5	1	FALSE	FALSE
loop_234	FALSE	2	3	2	3	FALSE	FALSE
loop_235	FALSE	5	3	5	3	FALSE	FALSE
